jaar	gem_jaar	gem_og	gem_bg	og_jaar	bg_jaar	lengte_onder_p01_mean	lengte_onder_p05_mean	lengte_onder_p10_mean	lengte_onder_p30_mean	lengte_onder_p01_median	lengte_onder_p05_median	lengte_onder_p10_median	lengte_onder_p30_median	var_sim
1985	0.812653258401878	-0.773720796062386	0.411419900984339	0.430079899196633	1.53554099976491	0.155331388030943	0.349167922383794	0.68573917857675	5.55593730311032	1e-16	1e-16	0.0206620272088635	3.3316187130091	0.10540408864322
1986	1.33329654523666	-0.12604132978382	0.740262934013513	0.836048852866828	2.12628684489467	0.168176957797659	0.946440282030315	2.3056773943253	12.1107673408721	1e-16	0.377732301466665	1.48419422308109	11.0332505532646	0.0567029597162213
1987	2.10533999042354	0.275793515704432	1.18533664616693	1.31137668315118	3.38000250593566	0.00292672958958136	0.0180496989459204	0.0542661883668468	0.878931481711523	1e-16	1e-16	1e-16	0.23914573015217	0.0583369087789986
1988	3.5960621884613	0.857556892159958	1.68923952587934	2.35073950647284	5.50110432384076	0.00181142388535975	0.0312396864917421	0.116581323540569	1.89525004297649	1e-16	1e-16	1e-16	0.806852948502378	0.0470423893089505
1989	6.14172927037523	1.48230874710075	2.18324004794049	4.28401813981141	8.80501370431742	3.67034093384364	8.85941931523159	14.1545168205386	35.7296102333787	1.69813054006115	6.29716936044393	11.6442307336119	33.0730520708853	0.0337762427994139
1990	7.90176570244168	1.73968708019376	2.42798464536312	5.5559141852143	11.2380967622658	6.62113668493471	12.3865381813205	17.7582707031965	40.4494768572228	2.67069638015467	7.30836647578181	12.248689224368	34.3452906850581	0.0322941550776146
1991	7.45663370602745	1.64086179610038	2.38799959227273	5.11889223421325	10.8619958541499	1.52613219188164	3.78844697602137	6.44048181505593	21.0598927076176	0.143433336612315	1.41428677552277	3.42828180349691	16.1262060612396	0.0368338369766546
1992	6.39438869619383	1.37039702836592	2.30024423056762	3.99111159436999	10.2448167211586	0.0791348621586431	0.415883927818328	1.01825567765814	6.97958488296022	1e-16	0.0371918456236742	0.381009030851947	5.60850887599776	0.0578331462358822
1993	5.99637565433936	1.29684155002238	2.24771238500087	3.6879313281585	9.74978051066587	0.526895294811943	1.84430516386099	3.82970937261147	17.4084124600651	0.034095149930782	0.833992451979129	2.45116185472228	14.9817130829798	0.0615064152218519
1994	6.21646084794007	1.41067661838591	2.23544697078596	4.08602188408077	9.45770398943068	0.529186882015249	1.79711103863158	3.40593283524651	12.2031699785255	0.0177993464333691	0.695754938366494	1.96945045817789	9.94111689324358	0.0458372582367793
1995	6.69353799979214	1.56349610122339	2.26518338113318	4.68801326942663	9.55702306707444	2.15251211057678	5.20558662604182	8.38855578572853	23.6363149671191	0.996295024273785	3.41470689211015	6.26158235788	19.72768208968	0.0330152052996308
1996	6.43008379637222	1.53200855878407	2.23065374571773	4.50065365790431	9.18666059890086	4.44030031976038	9.05820187354009	13.7005562905907	33.9746444858017	1.75994155971744	6.15562808505363	10.8395436090064	30.1052211223532	0.0331323440591791
1997	4.98340311410028	1.27150379325687	1.97080460242403	3.47923609287876	7.13786185664571	1.50716214885978	3.67136290648755	6.31877838597474	21.0539226176171	0.0990066957849076	1.43751732236799	3.55314862745123	17.177135195428	0.0336049237869208
1998	3.49936547746117	0.866697865987864	1.64410746074318	2.33018454044649	5.25518839057298	0.313278114644293	1.01826020373636	2.02016485904942	9.1133277544629	1e-16	0.289001170474785	0.971615521387658	6.69352235816268	0.0430423176200576
1999	2.62357629764474	0.503661702845693	1.42972487704531	1.60640766657695	4.2848105949534	0.250624015792783	1.25582735904469	2.90435309686068	14.7191624198524	0.0087216250477482	0.569886025778766	1.86661326572476	12.4422829382486	0.0626373108152482
2000	2.26943810056927	0.268841574670377	1.35101059985897	1.28089467299409	4.02089992323607	0.0126159617778137	0.117195198685358	0.3947639590504	3.93193857853644	1e-16	1e-16	0.0364160137374157	2.54150097521953	0.0851607797652403
2001	2.53218236707298	0.409245281185872	1.42776589849008	1.48720293073589	4.31141400248759	0.159047554548666	0.817443593448819	1.88191589153298	9.40302152838797	1e-16	0.142625293450383	0.731290192443897	6.85605289705708	0.0737245507196145
2002	3.44881893168549	0.819392884696637	1.64642155560986	2.26060863820672	5.2615706330255	0.00652654608356437	0.0689058095951941	0.26998048482469	4.36966509589652	1e-16	1e-16	0.0131561322122273	3.00398747228832	0.0464441527918427
2003	5.19543983831461	1.32314637591166	2.00176552587034	3.69153478258593	7.31202513406584	4.07931969235254	9.34233277455356	14.5691503298265	35.952228473484	2.6237598017482	7.07805749289266	11.9694137410025	31.5448186235277	0.0304002326547625
2004	6.50167396489659	1.53465551297538	2.24773865932146	4.54162095782339	9.3076381182795	0.916712632779172	2.52859309526067	4.66552143105372	18.9520576904346	1e-16	0.399261012137639	1.50016782783553	12.8566787284974	0.0335068708972405
2005	7.22751335417243	1.63497216489614	2.35454219929517	5.03780742006621	10.3689849430676	1.95016555322726	5.81000340846245	10.3404460207491	32.0449120288129	0.481619775217307	2.84196833323956	6.20820888964092	25.2275912183975	0.0339093605189612
2006	7.16929608122158	1.60266201357773	2.35602409578482	4.92191170360366	10.4428541988241	2.29528127890149	5.38631343085948	8.66693721338607	25.5973102273522	1.52028624077942	4.13542865450506	6.98873014766313	21.144637377255	0.0368229589985351
2007	6.88435181298527	1.50126001945055	2.34405507302991	4.52216532879135	10.4804438668369	0.547446284443266	1.21705391282701	2.19669617775372	11.9435600440896	1e-16	0.0238942950419201	0.362048581427258	8.54670950606892	0.0459752469247447
2008	7.20941172838852	1.56981419594095	2.37737423600466	4.81804440306016	10.7876999714685	0.260048529859774	0.849874252386133	1.77008255841568	10.2663840112033	1e-16	1e-16	0.222528711391746	6.06863853755195	0.0422804313637468
2009	8.01520934183854	1.74319790337472	2.44873651920236	5.62062553535856	11.4299699187125	5.13110416056169	10.6470417325678	16.0352305173359	38.3567659908388	2.17081578044793	7.50203918226225	12.7581081965142	35.5470790489701	0.0327864819113776
2010	7.8512208288497	1.72757466172749	2.42816821965063	5.5127303766943	11.1816947848494	3.22896760743083	7.08659301193579	10.7437998380182	26.076857968442	1.94330487727194	5.48679225390292	8.71753596179773	24.1115041177649	0.032548763623025
2011	6.80282126855591	1.57498914626037	2.28690398811519	4.75792439642323	9.72658944448684	1.70324463473278	5.01132552578075	9.00721817825517	29.0387444497766	0.356231743038048	2.37307345831526	5.57889342643286	24.0268492541748	0.0332738355734203
2012	5.62411650697429	1.34874603689814	2.11367572343116	3.8311441310656	8.25619851457347	0.350365735596108	1.36320284366736	2.82683807089009	12.0077815984803	1e-16	0.376224354962696	1.58796925547496	9.87577475387598	0.0383640941466009
2013	5.06203539204308	1.22220858088343	2.02794891089796	3.36922518513966	7.60536945506494	0.648101437495985	2.66829860100797	5.45128842640279	19.516095322896	0.164574738587518	1.79795127588087	4.44456164244303	18.055208385601	0.0431379868553294
2014	5.11168668538183	1.21720072415388	2.0527248645456	3.34686158099874	7.80711724615531	0.168069570978994	0.865374860003064	2.0333018047561	11.3647171573773	1e-16	0.257032555565239	1.04925520973401	8.78964810265548	0.0466882645008129
2015	6.08499679612303	1.4106909878602	2.21460149182324	4.04990813756776	9.14272243988843	2.43666906021348	6.52027385225046	10.687368233083	29.4977973749706	1.20035916894072	4.87651880966657	8.22843192387104	24.1668055673922	0.0431477682090893
2016	7.96348102245975	1.65776204519415	2.48864918728419	5.23974497246815	12.103075689427	0.10200954564573	0.524086667317648	1.28005637725053	8.13158464770052	1e-16	0.000999740134040472	0.349661607576909	6.13697654870226	0.0456113147853743
