jaar	groep3n	gem_jaar	gem_og	gem_bg	og_jaar	bg_jaar	dag_onder_p01_mean	dag_onder_p05_mean	dag_onder_p10_mean	dag_onder_p30_mean	dag_onder_p01_median	dag_onder_p05_median	dag_onder_p10_median	dag_onder_p30_median
1985	1	59.1672987360722	46.6395611391294	76.1152427870895	13.455685854803	163.412275318096	0.277777777777778	2.36111111111111	7.01666666666667	58.5305555555556	0	0	2	57
1985	2	65.7801343788974	50.2313048614405	87.7948885088362	19.9005989326201	176.706247857888	0.805263157894737	3.15526315789474	8.99473684210526	65.0578947368421	0	0	2.5	65
1985	3	62.2569616634624	50.3412648569633	77.887187958728	34.573472494932	108.884848056572	1.9175	4.235	7.95	61.8	0	0	1	50
1986	1	75.4363769694284	60.7162508024218	94.8926164282123	43.2084176014334	134.592814432003	3.65789473684211	15.0710526315789	29.6526315789474	82.1473684210526	0	11.5	29	89
1986	2	83.5386620800836	64.8353131034956	109.497558470469	37.1998410244388	184.818762543682	4.11842105263158	16.6026315789474	32.85	92.4	0	13	31	95
1986	3	80.9616798784224	66.0157865837951	100.357724699224	52.742906397043	130.039255259819	2.83	12.815	26.335	85.975	0	11	25	91.5
1987	1	31.8070264737747	24.9939106986994	40.9096813410032	14.0431909859616	67.7597857964439	0.192105263157895	1.07368421052632	3.09473684210526	29.4315789473684	0	0	0	23
1987	2	16.6257417350473	12.3322571304099	22.7845340202848	-8.12323981834568	82.8742770526709	0.0894736842105263	0.271052631578947	0.781578947368421	14.5289473684211	0	0	0	6
1987	3	10.7998530247147	8.39767803939297	13.9945710699225	3.82680849562271	24.6363835766281	0	0.045	0.2575	9.815	0	0	0	4
1988	1	38.3039649012766	30.1770679503494	49.1592057875598	19.5258596862664	74.3195348599974	0.168421052631579	1.27631578947368	3.94736842105263	35.4368421052632	0	0	0	32
1988	2	26.9269353237018	20.3443850643427	36.2372188957827	-33.9411966715313	186.414792997733	0.0763157894736842	0.868421052631579	2.35789473684211	25.0842105263158	0	0	0	15
1988	3	25.5270159039571	20.4583352170817	32.173109924362	-4.32314888817228	90.0772264709194	0.0175	0.305	1.2975	25.105	0	0	0	18
1989	1	128.175813715595	103.326845260641	161.010435672053	97.7370544753006	174.707662955535	28.5789473684211	58.1552631578947	80.071052631579	138.589473684211	23.5	64	94.5	150
1989	2	155.459230278171	120.769179060535	203.616011299812	81.6288740452092	303.599025291624	41.4684210526316	78.3473684210526	104.836842105263	169.228947368421	38	79	104	171
1989	3	149.651954578433	122.228711359288	185.250001878631	110.788518355634	200.69767882115	40.7075	71.7425	94.7275	156.03	36	73	99.5	161.5
1990	1	151.957923422872	122.264169765962	191.199970423153	94.0305333849161	256.54622150384	29.6289473684211	55.0736842105263	77.9105263157895	155.302631578947	22	52	78.5	156.5
1990	2	182.885110417458	141.520629628362	240.507977422968	76.792250871238	413.461103387642	57.3815789473684	86.3394736842105	110.205263157895	186.565789473684	39	71	97	174
1990	3	164.656479693544	134.282384226889	204.187034485949	120.487549804531	230.930842273865	48.39	76.1225	96.67	166.365	44	76	97	165
1991	1	129.692158143207	104.321802243874	163.199139023116	80.0215175313217	233.704772899201	11.9763157894737	31.0026315789474	51.2447368421053	132.576315789474	5	25	46.5	135
1991	2	144.488314988267	111.705280913876	190.165495794262	25.2586678276235	431.415324464674	22.6947368421053	44.6342105263158	66.2684210526316	146.718421052632	9	32	59	134
1991	3	115.093400808812	93.731550532303	142.910086944774	77.5136776845481	181.161420929087	14.6425	30.0475	46.155	115.825	6	23	39	116
1992	1	78.6413820433437	62.5681190575502	100.004588273456	38.8991881024031	159.6262344983	1.65526315789474	8.08157894736842	18.1815789473684	74.3631578947368	0	6	16	80
1992	2	83.9791881338847	64.2660249067698	111.692453423066	-26.0725415079352	352.183020942225	3.1	10.3842105263158	19.6684210526316	79.6368421052632	0	2	9	75
1992	3	57.4583872523186	46.4037310345255	71.9613533852783	28.5543027083192	113.146454694857	0.5125	3.5025	8.525	55.4025	0	0	7	60.5
1993	1	100.941832784726	81.2149316475424	126.985610806078	70.2751092296845	158.190376447298	3.64473684210526	16.1	32.7842105263158	104.831578947368	1	14	30	107.5
1993	2	120.714763908027	93.5060695058896	158.550185576585	72.8620548808448	220.015881188983	13.8447368421053	32.928947368421	52.2736842105263	125.802631578947	3	23	48	126
1993	3	114.823390565413	93.654684220518	142.33466129234	82.0143194073543	168.046410417443	4.7525	19.44	37.835	118.28	3	18	38	120.5
1994	1	79.0168759384288	62.9842478166499	100.293519717965	50.4344293121443	131.053624319398	7.08684210526316	19.3921052631579	30.9815789473684	75.7605263157895	3	19	34	83
1994	2	80.3428239593175	61.4995217970723	106.823386256546	42.1554735814531	158.024902091193	9.33421052631579	20.2210526315789	30.7342105263158	76.3	0	12	29.5	82
1994	3	72.7889099777551	58.969439535893	90.8759699957691	47.3831556504522	114.476718189542	7.025	19.67	31.165	71.1625	3	19	36	78
1995	1	112.428593664413	90.2701815544929	141.713285803461	65.0725482283455	200.904218810378	17.5868421052632	34.6526315789474	50.9342105263158	113.178947368421	16	37	57	119
1995	2	126.414358574576	97.6293552327883	166.551702383143	57.6826313878269	275.63565918463	21.0078947368421	43.0289473684211	62	127.178947368421	16	40	59	133
1995	3	118.626200490662	96.6195494689237	147.287332239575	85.1835556221397	177.351074012936	24.4675	42.99	57.96	119.5525	27	46	60	122
1996	1	150.699393730399	121.313788352118	189.515771117615	103.846231291122	222.825934061082	31.2421052631579	57.6868421052632	80.9894736842105	155.244736842105	19	47	70	147
1996	2	171.371847579863	132.630732002924	225.323120478434	88.6793311330162	368.056431869489	42.2157894736842	71.4052631578947	94.7921052631579	175.376315789474	36	68	89	171.5
1996	3	144.106183817396	117.46613346909	178.783973429652	109.468533209202	199.687987879679	33.7975	61.3375	82.5925	145.3525	30	59	76.5	141
1997	1	126.481668773542	101.739529642538	159.152212262478	80.1018375598047	201.759759474514	14.4236842105263	32.1263157894737	51.0026315789474	129.284210526316	3	22	41	117
1997	2	148.14220503637	114.605982841034	194.846637359976	74.8960485271263	334.444385551615	24.7973684210526	48.5526315789474	70.5605263157895	151.476315789474	9	31.5	56	139.5
