jaar	mean	p02.5	p50	p97.5	simulatienr	groep3n
1987	8.59027075352978	4.32102960900428	8.53981233870085	17.6824132931314	20	2
1987	13.6361633891173	3.96221535224092	13.8422919059925	43.1742320168245	20	3
1987	18.068441056748	3.24440197444152	18.1953630011438	96.5958300823097	20	4
1988	6.15881664285855	2.91417266749313	6.15328247142415	13.0811054545646	1	2
1988	18.4400183511516	6.02516930133926	18.739245788745	51.9105704016272	1	3
1988	31.9373986229944	6.42619858184975	32.1823767044527	151.876302464969	1	4
1988	9.54183596370295	4.95140585471469	9.49034034090762	18.9842034691277	2	2
1988	30.6657655364632	8.86006855526016	31.1532817981287	97.3286649690069	2	3
1988	2.23152500005746	0.505104989020275	2.29803976958875	8.30143401453077	2	4
1988	11.2394265333294	4.51988446578561	11.2386798336115	27.9940941237343	3	2
1988	29.4474865464768	9.1891570624265	30.0010967952569	84.873349531236	3	3
1988	9.2528667595902	4.6810994462672	9.17078423669856	19.2519622915746	3	4
1988	13.4474624848953	6.15722758491731	13.4144258807513	29.7934727744638	4	2
1988	42.4592767567713	15.1836577526306	42.5747682937947	116.714979122297	4	3
1988	45.1423814726117	9.36041761375853	45.0722155117472	219.069884519703	4	4
1988	13.7497197323703	6.91713749717109	13.6252435619392	28.7980535507213	5	2
1988	34.1085258099769	14.4183075760638	33.6718649341819	86.945970879792	5	3
1988	9.9123987786556	3.26119641312466	9.88667106585759	30.5806390523618	5	4
1988	5.1250467303596	2.33548321640934	5.12573314993879	11.2350461011509	6	2
1988	35.0844059333018	12.4553879998801	35.3986078277441	94.1978414523757	6	3
1988	5.3768563434602	1.5399245906783	5.4362889055323	17.6554731694691	6	4
1988	12.5053034839571	5.91909974894642	12.4226299946595	27.4721365104333	7	2
1988	22.2707871487277	6.68339653099276	22.6642375249588	67.5557319938443	7	3
1988	6.08595997254506	2.52191433996352	6.06429827543578	14.9839826389172	7	4
1988	9.25744769205532	4.93443116600979	9.21319320828392	17.8663752708546	8	2
1988	47.8701566496375	17.3474716618474	47.7040661020881	134.559845721591	8	3
