unieknr	polygon_id	description_orig	patch_id	phab	certain	type	groupnr	rasterid	opp	geselecteerd_basis	geselecteerd_reserve
22111	653878_v2014	100% 91E0_vm	1	100	1	104	1	566	16558	0	1
21934	656762_v2014	100% 91E0_vm	1	100	1	104	1	566	9847	0	1
21935	657175_v2014	100% 91E0_vm	1	100	1	104	1	566	13948	0	1
21940	657793_v2014	100% 91E0_vm	1	100	1	104	1	566	4602	0	1
21929	657861_v2014	100% 91E0_vm	1	100	1	104	1	566	21508	1	1
21944	657862_v2014	100% 91E0_vm	1	100	1	104	1	566	10089	0	1
21947	658009_v2014	100% 91E0_vm	1	100	1	104	1	566	40608	0	1
22115	663516_v2014	70% 91E0_vm; 30% 6430,rbbhf	1	70	1	104	1	566	6512	0	1
50019	552263_v2018	100% 9190	1	100	1	99	5	582	32650	0	1
50021	552267_v2018	50% 9190; 40% 9120; 10% gh	1	50	1	99	5	582	62857	0	1
50022	552271_v2018	70% 9120; 30% 9190	2	30	1	99	5	582	48632	0	1
50023	552273_v2018	90% 9120; 10% 9190	2	10	1	99	5	582	256763	1	1
50028	552282_v2018	100% 9190	1	100	1	99	5	582	14124	0	1
50110	609129_v2018	100% 9190	1	100	1	99	5	582	51667	0	1
50027	552280_v2018	100% rbbppm	1	100	1	108	5	582	13455	0	1
50051	552347_v2018	100% rbbppm	1	100	1	108	5	582	5682	0	1
50101	590266_v2018	100% rbbppm	1	100	1	108	5	582	3736	0	1
50106	606344_v2018	100% rbbppm	1	100	1	108	5	582	17890	0	1
34637	486885_v2018	100% 9190	1	100	1	99	5	594	35327	1	1
34876	626776_v2014	70% 9190; 30% 4030	1	70	1	99	5	594	21580	0	1
20045	609696_v2014	90% gh; 10% rbbmc,bos	2	10	0	87	2	745	99422	1	1
19788	609678_v2014	60% rbbmr,bos; 20% 91E0; 20% gh	1	60	0	88	2	745	28952	0	1
19886	627574_v2014	100% rbbmr,bos	1	100	0	88	2	745	5690	0	1
14952	592277_v2016	70% 91E0_vm; 20% rbbsf; 10% 3150; 0% 7140_meso	4	0	1	80	1	758	295446	1	1
14882	644486_v2014	60% 7140_meso; 10% 3150; 10% rbbhc; 10% 6230_hmo; 10% 3140	1	60	1	80	1	758	130419	0	1
14940	552197_v2016	95% 91E0_vm; 5% gh	1	95	1	104	1	758	22078	0	1
14911	659415_v2014	100% 91E0_vm	1	100	1	104	1	758	6667	0	1
14914	660379_v2014	100% 91E0_vm	1	100	1	104	1	758	5351	0	1
14912	669478_v2014	80% 91E0_vm; 20% rbbsf	1	80	1	104	1	758	37568	0	1
1135	545826_v2016	80% gh; 20% 9190	2	20	1	99	5	814	224601	0	1
1138	589763_v2014	90% gh; 10% 9190	2	10	1	99	5	814	270116	0	1
1123	620509_v2014	50% 9190; 50% gh	1	50	1	99	5	814	25349	1	1
24084	543847_v2018	100% 9190	1	100	1	99	5	850	4411	0	1
24125	545199_v2018	100% 9190	1	100	1	99	5	850	12099	1	1
24226	548249_v2018	70% 9190; 30% gh	1	70	1	99	5	850	3544	0	1
24320	555340_v2018	100% 9190	1	100	1	99	5	850	3271	0	1
24384	608830_v2018	100% 9190	1	100	1	99	5	850	5303	0	1
24504	633089_v2014	100% 9190	1	100	1	99	5	850	2523	0	1
24503	636362_v2014	100% 9190	1	100	1	99	5	850	3088	0	1
36109	545101_v2018	100% 9130_end	1	100	1	95	4	857	9325	0	1
36483	628087_v2014	100% 9130_end	1	100	1	95	4	857	7634	0	1
36482	628088_v2014	100% 9130_end	1	100	1	95	4	857	29641	1	1
36516	642441_v2014	100% 9130_end	1	100	1	95	4	857	4594	0	1
36502	649057_v2014	100% 9130_end	1	100	1	95	4	857	3193	0	1
36334	654254_v2014	100% 9130_end	1	100	1	95	4	857	11885	0	1
36107	530089_v2018	100% 91E0_va	1	100	1	102	4	857	1467	0	1
36108	530090_v2018	100% 91E0_va	1	100	1	102	4	857	9707	0	1
36110	545489_v2018	100% 91E0_va	1	100	1	102	4	857	18953	0	1
36492	643137_v2014	70% 91E0_va; 30% 91E0_vn	1	70	1	102	4	857	28785	0	1
36532	643467_v2014	70% 91E0_va; 30% 91E0_vn	1	70	1	102	4	857	7955	0	1
36136	643672_v2014	100% 91E0_va	1	100	1	102	4	857	30435	0	1
36396	645506_v2014	100% 91E0_va	1	100	1	102	4	857	2461	0	1
36489	651601_v2014	100% 91E0_va	1	100	1	102	4	857	7895	0	1
36133	651810_v2014	100% 91E0_va	1	100	1	102	4	857	2700	0	1
36134	651882_v2014	100% 91E0_va	1	100	1	102	4	857	7979	0	1
36491	652876_v2014	70% 91E0_vn; 30% 91E0_va	2	30	1	102	4	857	10303	0	1
36506	667363_v2014	100% 91E0_va	1	100	1	102	4	857	8986	0	1
3418	104243_v2014	50% gh; 50% rbbmr	2	50	1	88	2	957	3265	0	1
3375	109290_v2014	100% rbbmr	1	100	1	88	2	957	4809	0	1
3396	111425_v2014	100% rbbmr	1	100	1	88	2	957	2452	0	1
3394	115387_v2014	100% rbbmr	1	100	1	88	2	957	1992	0	1
3395	115718_v2014	100% rbbmr	1	100	1	88	2	957	564	0	1
3343	591481_v2014	70% gh; 30% rbbmr	2	30	1	88	2	957	14805	0	1
3425	613580_v2014	80% gh; 20% rbbmr	2	20	1	88	2	957	21002	0	1
3355	625569_v2014	100% rbbmr	1	100	1	88	2	957	88091	0	1
3345	625683_v2014	100% rbbmr	1	100	1	88	2	957	10079	0	1
3409	625727_v2014	100% rbbmr	1	100	1	88	2	957	4038	0	1
3424	627555_v2014	100% rbbmr	1	100	1	88	2	957	10939	1	1
3377	631278_v2014	100% rbbmr	1	100	1	88	2	957	9367	0	1
40941	658261_v2014	90% gh; 10% rbbmr	2	10	1	88	2	998	27229	1	1
