unieknr	loc_code	x	y	rasterid	groupnr	area_code	area_name	loc_validitycode	loc_validity	loc_typecode	loc_typename	obswell_statecode	obswell_state	soilsurf_ost	measuringref_ost	tubelength	filterlength	filterdepth	typegroup_name	firstyear	lastyear	nryears	cat
36	KBRP040	146391	203727	297	2	KBR	Polders van Kruibeke	2	1	1	1	3	1	1.731	2.311	2.37	0.5	1.54	3	2004	2014	9	3
37	KBRP056	145855	202674	297	2	KBR	Polders van Kruibeke	2	1	1	1	4	2	1.574	2.394	2.6	0.5	1.53	3	2003	2014	10	3
38	LAVP080	169100	164579	262	3	LAV	Laanvallei	2	1	1	1	3	1	29.223	29.663	2.3	0	1.86	2	2011	2012	2	3
39	LDOP019	184754	191421	342	1	LDO	Langdonken	2	1	1	1	3	1	14.16	14.49	1.98	0.3	1.5	5	2004	2012	8	3
40	LDOP035	185221	191291	342	1	LDO	Langdonken	2	1	1	1	3	1	14.02	14.57	2.47	0.3	1.77	5	2005	2016	9	3
41	LDOP036	185321	190835	342	1	LDO	Langdonken	2	1	1	1	3	1	14.54	15.3	2.76	0.3	1.85	5	2005	2012	6	3
42	LDOP041	186424	191178	310	3	LDO	Langdonken	2	1	1	1	2	5	14.544	14.604	2.68	0.3	2.47	2	2005	2016	10	3
43	LDOP042	184750	191415	342	1	LDO	Langdonken	2	1	1	1	3	1	14.16	14.16	2.66	0.3	2.51	5	2007	2016	6	3
44	LEPP009	34664	204521	817	4	LEP	Lenspolder	2	1	1	1	4	2	4.91	5.19	2.44	0	2.16	4	2004	2013	6	3
45	LEPP011	34654	204481	817	4	LEP	Lenspolder	2	1	1	1	4	2	4.66	5.56	2.12	0	1.22	4	2004	2013	6	3
46	LEUP005	201075	186470	54	2	LEU	De Leunen	2	1	1	1	3	1	-0.74	0	2.07	0.3	1.18	3	NA	NA	0	3
47	LEUP006	201075	186405	54	2	LEU	De Leunen	2	1	1	1	3	1	-0.9	0	1.51	0.36	0.43	3	NA	NA	0	3
48	LEUP008	201300	186315	54	2	LEU	De Leunen	2	1	1	1	3	1	-0.79	0	1.57	0.3	0.63	3	NA	NA	0	3
49	LEUP009	201320	186255	54	2	LEU	De Leunen	2	1	1	1	3	1	-0.8	0	1.52	0.29	0.575	3	NA	NA	0	3
50	LOHP009	175532	213189	214	4	LOH	Lovenhoek	2	1	1	1	3	1	10.746	11.646	2.5	2	0.6	4	2013	2015	3	3
51	LOHP012	175820	212049	214	4	LOH	Lovenhoek	2	1	1	1	3	1	11.203	11.923	2.49	2	0.77	4	2013	2015	3	3
52	LOHP015	175526	211989	214	4	LOH	Lovenhoek	2	1	1	1	3	1	10.712	11.572	2.55	2	0.69	4	2013	2015	3	3
53	LOHP017	175233	213318	214	4	LOH	Lovenhoek	2	1	1	1	3	1	10.265	10.905	2.55	2	0.91	4	2014	2015	2	3
54	MANP029	220497	193374	722	1	MAN	Mangelbeekvallei	2	1	1	1	3	1	55.418	55.868	1.76	0.5	1.06	5	2008	2016	6	3
55	MATP003	224779	181757	306	1	MAT	De Maten	2	1	1	1	3	1	41.97	42.28	1.44	0.5	0.88	5	2011	2016	5	3
56	MATP004	225098	182066	306	3	MAT	De Maten	2	1	1	1	3	1	44.05	44.41	2.38	0.5	1.77	2	2011	2015	5	3
57	MATP005	226220	183183	306	3	MAT	De Maten	2	1	1	1	3	1	49.4	49.74	2.49	0.5	1.9	2	2011	2016	3	3
58	MATP006	226190	183227	306	3	MAT	De Maten	2	1	1	1	3	1	49.23	49.65	2.31	0.5	1.64	2	2011	2016	6	3
59	MATP010	225128	182769	306	1	MAT	De Maten	2	1	1	1	3	1	46.29	46.64	2.57	0.5	1.97	5	2012	2016	5	3
60	MATP011	225382	182289	306	3	MAT	De Maten	2	1	1	1	3	1	44.92	45.34	1.71	0.5	1.04	2	2012	2016	5	3
61	MATP013	226425	182603	306	1	MAT	De Maten	2	1	1	1	3	1	47.59	48.02	1.51	0.5	0.83	5	2012	2016	5	3
