unieknr	loc_code	x	y	rasterid	groupnr	area_code	area_name	loc_validitycode	loc_validity	loc_typecode	loc_typename	obswell_statecode	obswell_state	soilsurf_ost	measuringref_ost	tubelength	filterlength	filterdepth	typegroup_name	firstyear	lastyear	nryears	cat
179	VLBP001	134476	192715	169	3	VLB	Vlassenbroekse polder	2	1	1	1	3	1	1.66	2.69	2.68	0.6	1.35	2	2007	2010	3	3
180	VLBP008	134033	193680	169	3	VLB	Vlassenbroekse polder	2	1	1	1	4	2	2.3	3.44	2.44	0.3	1.15	2	2007	2007	1	3
181	VLBP011	134207	193027	169	3	VLB	Vlassenbroekse polder	2	1	1	1	4	2	2.13	2.5	2.41	0.3	1.89	2	2007	2009	2	3
182	VLBP012	134945	193069	169	3	VLB	Vlassenbroekse polder	2	1	1	1	4	2	1.91	2.46	3.02	0.5	2.22	2	2007	2011	2	3
183	VLBP025	135142	193040	169	3	VLB	Vlassenbroekse polder	2	1	1	1	4	2	1.77	2.02	1.73	0.35	1.305	2	2009	2011	3	3
184	VLBP026	135161	193053	169	3	VLB	Vlassenbroekse polder	2	1	1	1	3	1	1.75	2.08	1.68	0.35	1.175	2	2009	2011	3	3
185	VLBP125	135141	193047	169	3	VLB	Vlassenbroekse polder	2	1	1	1	3	1	1.65	2.05	3.28	0.35	2.705	2	2009	2011	3	3
186	VLBP126	135161	193053	169	3	VLB	Vlassenbroekse polder	2	1	1	1	3	1	1.81	2.14	3.1	0.35	2.595	2	2010	2011	2	3
187	VRIP039	166653	213046	918	1	VRI	Vrieselhof	1	2	1	1	3	1	8.247	8.417	2.03	0.3	1.71	5	2009	2009	1	3
188	WAHP711	144524	214863	41	2	WAH	Waaslandhaven	2	1	1	1	3	1	2.205	2.485	2.59	0.5	2.06	3	2003	2016	10	3
189	WALP101	186106	180247	934	4	WAL	Walenbos	2	1	1	1	4	2	25.416	25.516	1.03	0.38	0.74	4	2007	2012	6	3
190	WALP118	186105	180248	934	4	WAL	Walenbos	2	1	1	1	4	2	25.422	25.702	2.04	0.3	1.61	4	2007	2012	6	3
191	WALP161	186415	180016	934	4	WAL	Walenbos	2	1	1	1	3	1	30.11	30.21	1.12	0.3	0.87	4	2006	2015	10	3
192	WEBP036	200108	184654	166	2	WEB	Webbekomsbroek	2	1	1	1	3	1	20.43	20.57	2.4	0.3	2.11	3	2012	2013	2	3
193	WELP018	128284	176954	1017	3	WEL	Wellemeersen	2	1	1	1	4	2	8.86	9.24	3.01	0.3	2.48	2	NA	NA	0	3
194	WELP020	128401	177063	1017	3	WEL	Wellemeersen	2	1	1	1	4	2	8.69	9.26	3.01	0.3	2.29	2	NA	NA	0	3
195	WELP022	128519	176887	1017	3	WEL	Wellemeersen	2	1	1	1	4	2	8.2	8.67	1.64	0.3	1.02	2	NA	NA	0	3
196	WELP034	129060	176759	505	3	WEL	Wellemeersen	2	1	1	1	4	2	8.89	9.39	2.05	0.3	1.4	2	NA	NA	0	3
197	WELP035	129144	176660	505	3	WEL	Wellemeersen	2	1	1	1	7	7	9.06	9.36	1.96	0.3	1.51	2	NA	NA	0	3
198	WERP001	193281	194778	822	1	WER	De Werft	2	1	1	1	3	1	0	0.45	2.34	0	1.89	5	2008	2011	3	3
199	WERP002	193300	194752	822	1	WER	De Werft	2	1	1	1	3	1	0	0.55	2.32	0	1.77	5	2008	2011	3	3
200	WERP003	193271	194588	822	1	WER	De Werft	2	1	1	1	3	1	0	0.65	2.35	0	1.7	5	2008	2011	3	3
201	WERP004	193302	194696	822	1	WER	De Werft	2	1	1	1	3	1	0	0.72	2.34	0	1.62	5	2008	2011	3	3
202	WERP005	193360	194613	822	3	WER	De Werft	2	1	1	1	3	1	0	0.65	2.3	0	1.65	2	2008	2011	3	3
203	WERP007	193544	194610	822	3	WER	De Werft	2	1	1	1	3	1	0	0.9	2.68	0	1.78	2	2008	2011	3	3
204	WERP009	193488	194562	822	1	WER	De Werft	2	1	1	1	3	1	0	0.54	2.27	0	1.73	5	2008	2011	3	3
205	WERP011	193419	194740	822	1	WER	De Werft	2	1	1	1	3	1	0	0.42	1.9	0	1.48	5	2008	2011	3	3
206	WERP012	192332	194448	822	1	WER	De Werft	2	1	1	1	3	1	0	0.11	2.32	0	2.21	5	2008	2009	2	3
207	WESP001	23482	199360	177	4	WES	Westhoek	2	1	1	1	3	1	5.35	5.45	1.37	0.5	1.02	4	2008	2015	7	3
208	WESP003	23288	198961	177	4	WES	Westhoek	2	1	1	1	3	1	5.98	5.99	1.92	0.5	1.66	4	2002	2012	11	3
209	WESP005	23086	198942	177	4	WES	Westhoek	2	1	1	1	3	1	5.49	5.57	2.05	0.5	1.72	4	2002	2012	11	3
210	WESP007	23034	198650	177	4	WES	Westhoek	2	1	1	1	3	1	5.95	5.98	2.1	0.5	1.82	4	2003	2012	10	3
211	WESP008	22617	198715	177	4	WES	Westhoek	2	1	1	1	3	1	5.85	6.25	1.85	0.5	1.2	4	2002	2012	11	3
212	WESP014	22737	199289	177	4	WES	Westhoek	2	1	1	1	3	1	5.22	6.07	1.69	0.5	0.59	4	2002	2012	11	3
213	WESP018	23813	199363	177	4	WES	Westhoek	2	1	1	1	3	1	5.47	5.44	1.77	0.5	1.55	4	2002	2012	10	3
214	WESP050	23967	198392	177	4	WES	Westhoek	2	1	1	1	3	1	5.77	5.8	2.95	0	2.92	4	2002	2012	11	3
215	WESP057	23258	199248	177	4	WES	Westhoek	2	1	1	1	3	1	5.3	5.34	2.04	0	2	4	2002	2012	11	3
216	WESP073	23786	199218	177	4	WES	Westhoek	2	1	1	1	3	1	5.77	5.79	1.85	0.5	1.58	4	2002	2012	11	3
217	WESP074	23953	199593	177	4	WES	Westhoek	2	1	1	1	3	1	4.94	4.98	1.55	0	1.51	4	2002	2012	11	3
218	WESP076	24198	199292	177	4	WES	Westhoek	2	1	1	1	3	1	6.82	6.84	2.55	0.5	2.28	4	2002	2012	11	3
219	WESP078	23436	199686	177	4	WES	Westhoek	2	1	1	1	3	1	6.41	6.41	3.02	0.5	2.77	4	2008	2015	8	3
220	WESP080	24394	199119	177	4	WES	Westhoek	2	1	1	1	3	1	5.87	5.91	1.53	0.5	1.24	4	2002	2012	11	3
221	WESP097	23408	198956	177	4	WES	Westhoek	2	1	1	1	3	1	6.01	6.57	2.53	0.5	1.72	4	2002	2012	11	3
222	WESP111	23304	198193	177	4	WES	Westhoek	2	1	1	1	3	1	5.39	5.39	1.6	0.5	1.35	4	2002	2012	11	3
223	WESP119	23171	198331	177	4	WES	Westhoek	2	1	1	1	3	1	5.87	5.9	2.17	0.5	1.89	4	2002	2012	11	3
224	WESP132	22965	199052	177	4	WES	Westhoek	2	1	1	1	3	1	5.47	5.49	3.1	0.5	2.83	4	2002	2012	11	3
225	WESP134	22885	198920	177	4	WES	Westhoek	2	1	1	1	3	1	5.59	5.69	1	0.5	0.65	4	2003	2012	9	3
226	WESP141	22742	198998	177	4	WES	Westhoek	2	1	1	1	3	1	5.5	5.57	3.18	0.5	2.86	4	2002	2012	11	3
227	ZABP002	191587	198621	822	3	ZAB	Zammelsbroek	2	1	1	1	4	2	14.741	14.891	3.24	0.3	2.94	2	2002	2009	3	3
228	ZABP003	191644	198520	822	3	ZAB	Zammelsbroek	2	1	1	1	4	2	14.776	14.866	2.02	0.3	1.78	2	2002	2009	3	3
229	ZABP004	191712	198448	822	3	ZAB	Zammelsbroek	2	1	1	1	3	1	14.78	15.47	2.49	0.4	1.6	2	2002	2009	3	3
230	ZABP005	191734	198418	822	3	ZAB	Zammelsbroek	2	1	1	1	4	2	14.7	15.56	1.64	0.4	0.58	2	2009	2009	1	3
231	ZABP006	191153	198420	822	3	ZAB	Zammelsbroek	2	1	1	1	3	1	14.529	14.989	3.58	0.3	2.97	2	2002	2009	3	3
232	ZABP013	191535	198711	822	3	ZAB	Zammelsbroek	2	1	1	1	7	7	14.77	14.97	2.49	0.4	2.09	2	2009	2009	1	3
233	ZABP014	191421	198803	822	3	ZAB	Zammelsbroek	2	1	1	1	3	1	14.82	16.04	2.72	0.4	1.3	2	2009	2009	1	3
234	ZABP022	193188	199206	822	1	ZAB	Zammelsbroek	2	1	1	1	3	1	15.76	16.05	1.54	0.4	1.05	5	2009	2009	1	3
235	ZABP023	193145	199376	822	3	ZAB	Zammelsbroek	2	1	1	1	1	6	15.7	16.58	2.66	0.4	1.58	2	2009	2009	1	3
236	ZEBP001	68884	222381	693	3	ZEB	Zeebrugge	2	1	1	1	3	1	2.91	3.22	0.925	0.3	0.465	2	2011	2011	1	3
237	ZEBP003	69183	221033	693	3	ZEB	Zeebrugge	2	1	1	1	3	1	2.68	2.91	1.21	0.3	0.83	2	2011	2011	1	3
238	ZEBP005	69921	220751	693	3	ZEB	Zeebrugge	2	1	1	1	3	1	2.57	2.99	2.08	0	1.66	2	2011	2011	1	3
239	ZEBP009	69111	219114	693	2	ZEB	Zeebrugge	2	1	1	1	3	1	3.02	3.6	3	1	1.92	3	NA	NA	0	3
240	ZEBP012	69544	221380	693	3	ZEB	Zeebrugge	2	1	1	1	4	2	2.6	3.1	2	1	1	2	2011	2011	1	3
241	ZEBP019	69725	220669	693	3	ZEB	Zeebrugge	2	1	1	1	3	1	2.63	3.06	1.43	1	0.5	2	2011	2011	1	3
242	ZEBP025	69823	220300	693	3	ZEB	Zeebrugge	2	1	1	1	4	2	2.51	2.94	1.43	1	0.5	2	2011	2011	1	3
243	ZEBP045	69280	220151	693	3	ZEB	Zeebrugge	2	1	1	1	3	1	2.6408	3.2408	1.6	1	0.5	2	2014	2014	1	3
244	ZEBP046	69422	220210	693	3	ZEB	Zeebrugge	2	1	1	1	3	1	2.6282	3.3782	1.75	1	0.5	2	2014	2014	1	3
245	ZEBP107	65882	224517	693	2	ZEB	Zeebrugge	2	1	1	1	3	1	5.83	5.83	2.045	0.5	1.795	3	NA	NA	0	3
246	ZEMP005	158392	184259	710	4	ZEM	Zemst	2	1	1	1	3	1	7.663	8.223	3.08	0	2.52	4	2005	2010	6	3
247	ZIEP022	238643	180318	1010	3	ZIE	Ziepbeekvallei	2	1	1	1	3	1	68.515	68.945	1.15	0.3	0.57	2	2006	2016	9	3
248	ZIEP066	239204	181332	1010	3	ZIE	Ziepbeekvallei	2	1	1	1	3	1	55.95	56.32	1.76	1	0.89	2	2005	2016	12	3
249	ZIEP166	239204	181332	1010	3	ZIE	Ziepbeekvallei	2	1	1	1	3	1	55.939	56.289	4.35	2	3	2	2005	2016	12	3
250	ZIEP179	239177	180268	1010	3	ZIE	Ziepbeekvallei	2	1	1	1	4	2	56.114	56.494	2.4	1	1.52	2	2007	2016	8	3
251	ZUVP019	142606	164589	441	4	ZUV	Zuunvallei	2	1	1	1	5	4	23.92	24.47	3.05	1	2	4	NA	NA	0	3
252	ZUVP020	142603	164595	441	4	ZUV	Zuunvallei	2	1	1	1	5	4	23.58	24	2.92	1	2	4	NA	NA	0	3
253	ZWAP141	216785	198435	950	1	ZWA	Zwarte Beek	2	1	1	1	3	1	52.52	52.86	2.45	0.3	1.96	5	2007	2016	10	3
254	ZWAP165	216814	198362	950	1	ZWA	Zwarte Beek	2	1	1	1	3	1	52.41	52.86	1.35	0.3	0.75	5	2007	2016	10	3
255	ZWAP196	214282	197080	950	1	ZWA	Zwarte Beek	2	1	1	1	3	1	42.28	42.72	1.5	0.3	0.91	5	2007	2016	10	3
256	ZWAP200	217985	197987	950	1	ZWA	Zwarte Beek	2	1	1	1	3	1	63.003	63.663	2.55	0.3	1.74	5	2005	2016	12	3
257	ZWAP202	220114	197295	210	3	ZWA	Zwarte Beek	2	1	1	1	3	1	68.26	68.78	2.72	0.3	2.05	2	2004	2016	12	3
258	ZWAP208	218005	198226	950	1	ZWA	Zwarte Beek	2	1	1	1	3	1	59.288	59.938	1.9	0.3	1.1	5	2004	2016	13	3
259	ZWAP216	218514	198727	950	1	ZWA	Zwarte Beek	2	1	1	1	3	1	57.93	58.78	2.14	0.3	1.14	5	2004	2015	11	3
260	ZWAP228	217381	197149	950	3	ZWA	Zwarte Beek	2	1	1	1	3	1	63.265	63.655	1.68	0.3	1.14	2	2004	2016	9	3
261	ZWAP229	220479	196611	210	3	ZWA	Zwarte Beek	2	1	1	1	3	1	70.19	70.5	2.5	0.3	2.04	2	2007	2016	10	3
262	ZWAP234	217054	198920	950	3	ZWA	Zwarte Beek	2	1	1	1	3	1	57.699	58.209	1.76	0.3	1.1	2	2008	2016	6	3
263	ZWAP300	213086	204149	630	3	ZWA	Zwarte Beek	2	1	1	1	3	1	44.593	45.208	1.58	0.3	0.815	2	2013	2016	4	3
264	ZWAP301	213467	203688	630	3	ZWA	Zwarte Beek	2	1	1	1	3	1	47.298	47.738	1.63	0.5	0.94	2	2013	2016	4	3
265	ZWAP303	213435	204022	630	3	ZWA	Zwarte Beek	2	1	1	1	3	1	45.684	46.214	1.58	0.5	0.8	2	2015	2015	1	3
266	ZWAP305	214503	203705	630	3	ZWA	Zwarte Beek	2	1	1	1	3	1	49.791	50.271	2	0.5	1.27	2	2015	2016	2	3
267	ZWAP306	215123	203590	630	3	ZWA	Zwarte Beek	2	1	1	1	3	1	51.375	51.915	1.9	0.5	1.11	2	2015	2016	2	3
