rasterid	groupnr	gew_aantal_meetptn	loc_code	n_tubes	n_tubes_lgl	aantal_cat1A	aantal_cat1B	area_code	area_name	x	y	typegroup_name	filterdepth	soilsurf_ost
478	3	1	GSCP068	22	0	0	1	GSC	Groot Schietveld	165075	228761	13	0.92	21.205
478	3	1	GSCP168	22	0	0	1	GSC	Groot Schietveld	165075	228761	13	2.67	21.085
985	4	1	HAYP001	7	0	0	1	HAY	Hayesbos	107209	163506	14	1.87	76.585
694	3	1	HBTP007	4	0	0	1	HBT	Helderbeekvallei Terril	212987	193133	13	1.76	33.971
694	3	1	HBTP008	4	0	0	1	HBT	Helderbeekvallei Terril	212972	193186	13	0.55	33.645
693	5	1	HEIP005	8	0	0	1	HEI	Heist	70784	226290	15	2.17	5.851
745	3	2	HIPP003	22	0	0	2	HIP	Hingense polders	142098	200326	13	2.55	2.21
745	3	2	HIPP004	22	0	0	2	HIP	Hingense polders	142171	200253	13	2.71	2.31
745	3	2	HIPP005	22	0	0	2	HIP	Hingense polders	142275	200052	13	2.2	2.31
745	3	2	HIPP008	22	0	0	2	HIP	Hingense polders	143006	200372	13	2.62	2.56
745	3	2	HIPP009	22	0	0	2	HIP	Hingense polders	143054	200215	13	2.6	2.36
745	3	2	HIPP011	22	0	0	2	HIP	Hingense polders	143593	200953	13	2.84	2.25
745	3	2	HIPP012	22	0	0	2	HIP	Hingense polders	143650	200788	13	2.64	2.13
745	3	2	HIPP015	22	0	0	2	HIP	Hingense polders	144325	201199	13	2.6	1.85
745	3	2	HIPP016	22	0	0	2	HIP	Hingense polders	144362	201030	13	2	2.1
745	3	2	HIPP021	22	0	0	2	HIP	Hingense polders	144238	200533	13	2.52	1.9
262	3	1	IJSP003	33	0	0	1	IJS	Ijsevallei	163141	164523	13	0.98	7.04
262	3	1	IJSP011	33	0	0	1	IJS	Ijsevallei	165317	164191	13	2.77	10.16
262	2	1	IJSP017	9	0	0	1	IJS	Ijsevallei	165468	164008	12	0.65	16.24
262	3	1	IJSP018	33	0	0	1	IJS	Ijsevallei	166990	166250	13	1.79	11.66
262	3	1	IJSP020	33	0	0	1	IJS	Ijsevallei	167025	166227	13	1.66	11.28
262	3	1	IJSP021	33	0	0	1	IJS	Ijsevallei	167035	166210	13	1.38	11.67
850	1	1	ITTP003	5	0	0	1	ITT	Itterbeekvallei	237518	199947	11	1.98	54.77
734	5	1	KALP316	4	0	0	1	KAL	Kalmthoutse heide	156088	229025	15	2.14	25.52
734	5	1	KALP319	4	0	0	1	KAL	Kalmthoutse heide	155060	233988	15	1.65	18.898
734	5	1	KALP327	4	0	0	1	KAL	Kalmthoutse heide	155590	232454	15	2.73	20.373
734	5	1	KALP357	4	0	0	1	KAL	Kalmthoutse heide	156460	234019	15	2.2	17.472
217	4	1	KLUP003	4	0	0	1	KLU	Kluysbos	119864	161359	14	0.93	45.12
694	3	1	LAAP003	4	0	0	1	LAA	Laambroeken	218524	190066	13	2.06	40.583
262	3	1	LAVP024	33	0	0	1	LAV	Laanvallei	166759	161765	13	1.87	37.5
262	3	1	LAVP048	33	0	0	1	LAV	Laanvallei	167652	163370	13	1.54	32.2
262	3	1	LAVP056	33	0	0	1	LAV	Laanvallei	168292	163913	13	2	30.74
262	3	1	LAVP059	33	0	0	1	LAV	Laanvallei	168181	164052	13	1.83	30.62
262	3	1	LAVP060	33	0	0	1	LAV	Laanvallei	168105	164098	13	1.87	31.41
262	3	1	LAVP072	33	0	0	1	LAV	Laanvallei	168486	165366	13	1.59	29.38
262	2	1	LAVP073	9	0	0	1	LAV	Laanvallei	168749	165502	12	2.04	28.46
262	2	1	LAVP080	9	0	0	1	LAV	Laanvallei	169110	164590	12	1.85	29.68
262	3	1	LAVP085	33	0	0	1	LAV	Laanvallei	169138	164207	13	1.69	0.63
262	3	1	LAVP136	33	0	0	1	LAV	Laanvallei	166759	161765	13	2.96	37.47
262	3	1	LAVP142	33	0	0	1	LAV	Laanvallei	167684	163351	13	1.34	31.28
54	3	1	LEUP001	21	0	0	1	LEU	De Leunen	201320	185975	13	0.75	20.67
54	3	1	LEUP101	21	0	0	1	LEU	De Leunen	201320	185975	13	1.43	20.32
822	3	1	MAYP029	14	0	0	1	MAY	Malesbroek	193479	201817	13	1.43	18.691
822	3	1	MAYP030	14	0	0	1	MAY	Malesbroek	193486	201836	13	2.39	18.063
217	3	1	MOEP011	8	0	0	1	MOE	Moenebroeken	116115	166574	13	2.59	0.45
217	3	1	MOEP012	8	0	0	1	MOE	Moenebroeken	116130	166513	13	2.46	0.62
217	3	1	MOEP013	8	0	0	1	MOE	Moenebroeken	116146	166429	13	1.77	0.41
217	3	1	MOEP016	8	0	0	1	MOE	Moenebroeken	116231	166332	13	2.53	25.77
217	3	1	MOEP030	8	0	0	1	MOE	Moenebroeken	116473	166514	13	1.5	22.71
758	1	1	MOGP003	1	0	0	1	MOG	Mosselgoren	188983	208897	11	1.63	14.721
54	2	1	MSBP001	9	0	0	1	MSB	Molenstedebroek	194922	187284	12	2.78	19.019
54	2	1	MSBP002	9	0	0	1	MSB	Molenstedebroek	194917	187270	12	2.0920000000001	19.1069999999999
54	2	1	MSBP003	9	0	0	1	MSB	Molenstedebroek	194861	187151	12	1.97	19.154
54	2	1	MSBP006	9	0	0	1	MSB	Molenstedebroek	194955	187335	12	2.136	18.91
54	2	1	MSBP007	9	0	0	1	MSB	Molenstedebroek	194938	187299	12	1.914	19.073
54	2	1	MSBP008	9	0	0	1	MSB	Molenstedebroek	194883	187199	12	1.6270000000001	19.3859999999999
54	2	1	MSBP009	9	0	0	1	MSB	Molenstedebroek	194851	187121	12	2.766	19.452
54	3	1	MSBP010	21	0	0	1	MSB	Molenstedebroek	195271	186803	13	2.851	19.76
54	2	1	MSBP013	9	0	0	1	MSB	Molenstedebroek	195275	186651	12	2.215	19.3709999999999
54	2	1	MSBP014	9	0	0	1	MSB	Molenstedebroek	195268	186601	12	2.2659999999999	19.376
57	4	1	NEIP001	2	0	0	1	NEI	Neigembos	128122	167393	14	1.48	0.31
57	4	1	NEIP002	2	0	0	1	NEI	Neigembos	128078	167410	14	1.1	0.45
217	3	1	NUCP001	8	0	0	1	NUC	De Nuchten	120026	166333	13	1.07	14.22
217	3	1	NUCP004	8	0	0	1	NUC	De Nuchten	119819	165933	13	1.85	13.3734
217	3	1	NUCP005	8	0	0	1	NUC	De Nuchten	120097	165667	13	1.95	13.2946
745	3	2	ORCP002	22	0	0	2	ORC	De Orchis	139863	196974	13	0.84	4.92
745	3	2	ORCP003	22	0	0	2	ORC	De Orchis	139866	197010	13	0.8	4.87
745	3	2	ORCP011	22	0	0	2	ORC	De Orchis	139864	196932	13	1.29	5.903
745	3	2	ORCP012	22	0	0	2	ORC	De Orchis	139863	196973	13	1.1	4.9
745	3	2	ORCP013	22	0	0	2	ORC	De Orchis	139861	197002	13	1.26	4.808
745	3	2	OUSP001	22	0	0	2	OUS	Oude Schelde	138780	199540	13	1.85	1.88
985	4	1	PARP001	7	0	0	1	PAR	Parike-bos	109868	163433	14	1.85	76.25
985	4	1	PARP002	7	0	0	1	PAR	Parike-bos	109810	163492	14	2.27	63.82
985	4	1	PARP003	7	0	0	1	PAR	Parike-bos	109730	163542	14	2.23	54.27
985	4	1	PARP004	7	0	0	1	PAR	Parike-bos	109688	163551	14	2.17	55.85
1	5	1	PJEP005	13	0	0	1	PJE	RMD 't Pompje	56765	212264	15	1.82	2.646
1	5	1	PJEP006	13	0	0	1	PJE	RMD 't Pompje	56357	212476	15	2.27	2.48
217	4	1	RASP001	4	0	0	1	RAS	Raspaillebos	120085	162768	14	2.57	69.404
217	4	1	RASP002	4	0	0	1	RAS	Raspaillebos	120111	162861	14	1.06	56.755
217	4	1	RASP003	4	0	0	1	RAS	Raspaillebos	120002	163028	14	1.32	40.862
822	3	1	ROCP001	14	0	0	1	ROC	Roost - Craeywinckel	192515	196189	13	2.96	16.16
822	3	1	ROCP002	14	0	0	1	ROC	Roost - Craeywinckel	192495	196279	13	2.3	15.52
822	1	1	ROCP004	17	0	0	1	ROC	Roost - Craeywinckel	192569	196343	11	2.02	15.36
822	1	1	ROCP005	17	0	0	1	ROC	Roost - Craeywinckel	192562	196406	11	2.09	15.42
822	1	1	ROCP006	17	0	0	1	ROC	Roost - Craeywinckel	192560	196450	11	2.3	15.49
822	1	1	ROCP008	17	0	0	1	ROC	Roost - Craeywinckel	191942	197374	11	2.26	15.03
822	3	1	ROCP011	14	0	0	1	ROC	Roost - Craeywinckel	191779	197287	13	2.24	15.01
262	2	1	RODP002	9	0	0	1	ROD	Rodebos & Laanvallei	167156	162286	12	1.66	32.74
262	2	1	RODP004	9	0	0	1	ROD	Rodebos & Laanvallei	167301	162414	12	1.3	32.79
262	3	1	RODP005	33	0	0	1	ROD	Rodebos & Laanvallei	167408	162470	13	1	32.83
262	2	1	RODP042	9	0	0	1	ROD	Rodebos & Laanvallei	167156	162287	12	0.4	33.03
262	3	1	RODP055	33	0	0	1	ROD	Rodebos & Laanvallei	167199	162280	13	2.5	32.83
262	3	1	RODP056	33	0	0	1	ROD	Rodebos & Laanvallei	167200	162279	13	0.7	32.57
166	2	1	ROTP003	18	0	0	1	ROT	Rotbroek	200403	185618	12	1.44	19.546
694	1	1	SANP006	4	0	0	1	SAN	Schansbeemden	216032	191815	11	2.14	36.79
745	3	2	SAUP003	22	0	0	2	SAU	Schauselbroek	140571	201273	13	2.7	2.11
745	3	2	SAUP004	22	0	0	2	SAU	Schauselbroek	140579	201399	13	3	2.16
745	3	2	SAUP005	22	0	0	2	SAU	Schauselbroek	142007	201371	13	2	1.4
745	3	2	SAUP006	22	0	0	2	SAU	Schauselbroek	142013	201247	13	1.5	1.94
745	3	2	SAUP008	22	0	0	2	SAU	Schauselbroek	141345	201073	13	2.25	2.63
745	3	2	SAUP009	22	0	0	2	SAU	Schauselbroek	141295	201308	13	2.14	2.39
89	4	1	SBBP002	5	0	0	1	SBB	Steenbergse bossen	109983	170962	14	1.34	52.147
390	4	1	SNOP022	8	0	0	1	SNO	Snoekengracht	183102	169452	14	1.56	57.54
390	4	1	SNOP025	8	0	0	1	SNO	Snoekengracht	183238	169448	14	1.02	56.63
390	4	1	SNOP028	8	0	0	1	SNO	Snoekengracht	183331	169488	14	1.24	56.62
390	4	1	SNOP029	8	0	0	1	SNO	Snoekengracht	183348	169465	14	1.17	56.49
390	4	1	SNOP031	8	0	0	1	SNO	Snoekengracht	183313	169446	14	0.91	56.65
390	4	1	SNOP032	8	0	0	1	SNO	Snoekengracht	183056	169524	14	2.05	58.18
390	4	1	SNOP033	8	0	0	1	SNO	Snoekengracht	183103	169551	14	1.77	58.25
390	4	1	SNOP129	8	0	0	1	SNO	Snoekengracht	183331	169489	14	3	56.61
1	5	1	SWEP004	13	0	0	1	SWE	Schorreweide	57388	213820	15	0.96	2.192
537	4	1	SWPP032	1	0	0	1	SWP	Scheldemeersen Wortegem-Petege	94675	169402	14	1.68	10.47
1014	1	1	TIEP013	3	0	0	1	TIE	Militair domein Tielen	188220	218314	11	2.16	18.685
1014	1	1	TIEP026	3	0	0	1	TIE	Militair domein Tielen	189050	217720	11	2.14	18.45
1014	1	1	TIEP028	3	0	0	1	TIE	Militair domein Tielen	187768	217760	11	1.25	19.409
694	1	1	TLAP001	4	0	0	1	TLA	Terlaemen & Weijerman	213998	188072	11	2.27	32.923
694	1	1	TLAP002	4	0	0	1	TLA	Terlaemen & Weijerman	214024	187912	11	0.78	33.076
694	1	1	TLAP003	4	0	0	1	TLA	Terlaemen & Weijerman	214025	187912	11	1.46	33.033
694	3	1	TLAP004	4	0	0	1	TLA	Terlaemen & Weijerman	214019	187879	13	2.21	33.295
985	4	1	TRIP001	7	0	0	1	TRI	Trimpontbos	108233	161429	14	1.32	60.88
985	4	1	TRIP002	7	0	0	1	TRI	Trimpontbos	108251	161454	14	1.43	58.16
46	5	1	TVGP043	3	0	0	1	TVG	Turnhouts Vennengebied	189364	226376	15	2.45	31.52
437	5	1	UKPP010	4	0	0	1	UKP	Uitkerkse Polder	62897	219857	15	1	2.38
437	5	1	UKPP018	4	0	0	1	UKP	Uitkerkse Polder	62808	222365	15	1	2.33
437	5	1	UKPP022	4	0	0	1	UKP	Uitkerkse Polder	62810	221027	15	1	2.98
693	5	1	UKPP024	8	0	0	1	UKP	Uitkerkse Polder	64131	220125	15	1	2.22
693	3	1	UKPP026	18	0	0	1	UKP	Uitkerkse Polder	64020	221053	13	2.04	2.26
693	5	1	UKPP027	8	0	0	1	UKP	Uitkerkse Polder	63740	220993	15	2.13	2.48
693	3	1	UKPP029	18	0	0	1	UKP	Uitkerkse Polder	64241	219799	13	2.5	2.2
693	5	1	UKPP030	8	0	0	1	UKP	Uitkerkse Polder	63295	219347	15	1	2.86
693	5	1	UKPP032	8	0	0	1	UKP	Uitkerkse Polder	63399	220470	15	1	2.48
693	5	1	UKPP033	8	0	0	1	UKP	Uitkerkse Polder	63326	220765	15	1	2.31
693	5	1	UKPP034	8	0	0	1	UKP	Uitkerkse Polder	63040	221589	15	1.85	3.09
693	5	1	UKPP039	8	0	0	1	UKP	Uitkerkse Polder	63031	220174	15	0.99	2.24
437	5	1	UKPP041	4	0	0	1	UKP	Uitkerkse Polder	62079	221594	15	0.849	2.894
54	3	1	VDBP004	21	0	0	1	VDB	Vallei van de Drie Beken	198401	189278	13	1.12	20.43
54	3	1	VDBP006	21	0	0	1	VDB	Vallei van de Drie Beken	197919	190065	13	1.16	20.29
438	3	1	VDBP009	17	0	0	1	VDB	Vallei van de Drie Beken	203293	191869	13	1.24	22.76
438	3	1	VDBP010	17	0	0	1	VDB	Vallei van de Drie Beken	203247	191935	13	1.12	22.37
438	3	1	VDBP011	17	0	0	1	VDB	Vallei van de Drie Beken	203554	192681	13	1.23	23.31
438	3	1	VDBP018	17	0	0	1	VDB	Vallei van de Drie Beken	202838	192210	13	2.06	22.487
438	3	1	VDBP019	17	0	0	1	VDB	Vallei van de Drie Beken	202833	192220	13	1.736	22.49
438	2	1	VDBP023	8	0	0	1	VDB	Vallei van de Drie Beken	202886	192471	12	1.156	23.19
438	2	1	VDBP024	8	0	0	1	VDB	Vallei van de Drie Beken	202735	192560	12	1.59	22.245
438	2	1	VDBP025	8	0	0	1	VDB	Vallei van de Drie Beken	202703	192573	12	1.99	22.405
438	2	1	VDBP026	8	0	0	1	VDB	Vallei van de Drie Beken	202693	192575	12	1.94	21.783
438	2	1	VDBP027	8	0	0	1	VDB	Vallei van de Drie Beken	202679	192578	12	1.89	22.383
438	3	1	VDBP028	17	0	0	1	VDB	Vallei van de Drie Beken	202523	192645	13	1.366	22.87
438	3	1	VDBP029	17	0	0	1	VDB	Vallei van de Drie Beken	202514	192646	13	1.656	22.68
54	3	1	VDBP034	21	0	0	1	VDB	Vallei van de Drie Beken	202187	191485	13	1.08	21.81
54	3	1	VDBP060	21	0	0	1	VDB	Vallei van de Drie Beken	197708	189509	13	1.13	19.5
54	3	1	VDBP061	21	0	0	1	VDB	Vallei van de Drie Beken	197714	189500	13	1.42	19.82
54	3	1	VDBP062	21	0	0	1	VDB	Vallei van de Drie Beken	197720	189487	13	2.22	19.89
54	3	1	VDBP063	21	0	0	1	VDB	Vallei van de Drie Beken	197727	189480	13	2.3	19.44
54	3	1	VDBP064	21	0	0	1	VDB	Vallei van de Drie Beken	197749	189457	13	0.95	19.73
54	3	1	VDBP065	21	0	0	1	VDB	Vallei van de Drie Beken	197795	189310	13	1.62	20
54	3	1	VDBP066	21	0	0	1	VDB	Vallei van de Drie Beken	197802	189303	13	1.15	20.02
438	2	1	VDBP503	8	0	0	1	VDB	Vallei van de Drie Beken	202669	192582	12	1.28	22.015
438	3	1	VDBP505	17	0	0	1	VDB	Vallei van de Drie Beken	202867	192277	13	1.36	21.85
438	3	1	VDBP506	17	0	0	1	VDB	Vallei van de Drie Beken	202732	191923	13	1.61	22.02
438	2	1	VDBP507	8	0	0	1	VDB	Vallei van de Drie Beken	202452	193007	12	0.99	23.07
54	3	1	VDBP513	21	0	0	1	VDB	Vallei van de Drie Beken	202202	191476	13	1.85	31.95
438	2	1	VDBP514	8	0	0	1	VDB	Vallei van de Drie Beken	202304	191370	12	1.77	21.76
54	3	1	VDBP530	21	0	0	1	VDB	Vallei van de Drie Beken	197658	189602	13	1.62	19.83
54	3	1	VDBP531	21	0	0	1	VDB	Vallei van de Drie Beken	197880	189431	13	0.72	19.78
54	3	1	VDBP533	21	0	0	1	VDB	Vallei van de Drie Beken	197694	189541	13	0.88	20.6
54	3	1	VDBP534	21	0	0	1	VDB	Vallei van de Drie Beken	197776	189450	13	1.69	19.52
310	2	1	VIEP104	8	0	0	1	VIE	Vierkensbroek-Demervallei	192297	188970	12	1.64	17.38
310	2	1	VIEP105	8	0	0	1	VIE	Vierkensbroek-Demervallei	192266	188817	12	2.16	17.12
310	2	1	VIEP106	8	0	0	1	VIE	Vierkensbroek-Demervallei	192282	188686	12	1.84	17.15
310	2	1	VIEP107	8	0	0	1	VIE	Vierkensbroek-Demervallei	192278	188526	12	2.04	17.387
310	2	1	VIEP117	8	0	0	1	VIE	Vierkensbroek-Demervallei	192297	188970	12	0.7	16.91
310	2	1	VIEP118	8	0	0	1	VIE	Vierkensbroek-Demervallei	192266	188817	12	0.81	17.09
310	2	1	VIEP173	8	0	0	1	VIE	Vierkensbroek-Demervallei	192713	188703	12	2.04	16.98
310	2	1	VIEP174	8	0	0	1	VIE	Vierkensbroek-Demervallei	192711	188697	12	2.07	16.92
486	2	1	VINP044	4	0	0	1	VIN	Het Vinne	203993	170797	12	1.46	26.181
486	2	1	VINP084	4	0	0	1	VIN	Het Vinne	203095	170251	12	2.13	26.64
470	1	1	VISP002	17	0	0	1	VIS	Visbeekvallei	181212	217908	11	0.64	17.203
470	1	1	VISP015	17	0	0	1	VIS	Visbeekvallei	180942	217539	11	1.141	17.511
470	1	1	VISP017	17	0	0	1	VIS	Visbeekvallei	181257	217859	11	1.59	17.991
470	1	1	VISP126	17	0	0	1	VIS	Visbeekvallei	179786	215239	11	1.33	14.31
470	1	1	VISP127	17	0	0	1	VIS	Visbeekvallei	179858	215225	11	1.38	14.31
470	1	1	VISP129	17	0	0	1	VIS	Visbeekvallei	179658	215050	11	1.38	14.14
470	1	1	VISP130	17	0	0	1	VIS	Visbeekvallei	179682	214953	11	1.238	13.918
470	1	1	VISP131	17	0	0	1	VIS	Visbeekvallei	179734	214940	11	1.23	14.048
470	1	1	VISP133	17	0	0	1	VIS	Visbeekvallei	179988	214348	11	1.34	14.742
470	1	1	VISP134	17	0	0	1	VIS	Visbeekvallei	179670	214348	11	1.516	14.726
470	1	1	VISP135	17	0	0	1	VIS	Visbeekvallei	179806	214291	11	1.45	10.426
470	1	1	VISP139	17	0	0	1	VIS	Visbeekvallei	179683	214373	11	1.432	14.752
470	1	1	VISP162	17	0	0	1	VIS	Visbeekvallei	179988	214347	11	2.454	13.604
470	1	1	VISP164	17	0	0	1	VIS	Visbeekvallei	179682	214373	11	2.341	13.691
470	1	1	VISP165	17	0	0	1	VIS	Visbeekvallei	179671	214348	11	2.382	13.682
470	1	1	VISP167	17	0	0	1	VIS	Visbeekvallei	179683	214954	11	2.241	13.901
470	1	1	VISP168	17	0	0	1	VIS	Visbeekvallei	179733	214939	11	2.07	14.16
918	1	1	VRIP009	4	0	0	1	VRI	Vrieselhof	166718	212654	11	2.5	8.45
918	1	1	VRIP011	4	0	0	1	VRI	Vrieselhof	166854	212640	11	1.72	8.13
918	1	1	VRIP013	4	0	0	1	VRI	Vrieselhof	166733	212477	11	1.76	8.16
918	5	1	VRIP024	1	0	0	1	VRI	Vrieselhof	167122	212402	15	3	8.98
918	1	1	VRIP039	4	0	0	1	VRI	Vrieselhof	166653	213046	11	1.86	8.417
41	2	1	WAHP711	2	0	0	1	WAH	Waaslandhaven	144524	214863	12	2.31	2.485
41	2	1	WAHP712	2	0	0	1	WAH	Waaslandhaven	144656	214876	12	1.84	2.452
134	5	1	WALP005	1	0	0	1	WAL	Walenbos	184748	179727	15	0.91	26.42
166	2	1	WEBP002	18	0	0	1	WEB	Webbekomsbroek	199612	185161	12	2.08	20.71
166	2	1	WEBP004	18	0	0	1	WEB	Webbekomsbroek	199637	185212	12	1.88	20.84
166	2	1	WEBP005	18	0	0	1	WEB	Webbekomsbroek	199821	185265	12	2.01	20.44
166	2	1	WEBP015	18	0	0	1	WEB	Webbekomsbroek	199889	184913	12	1.69	0.53
166	2	1	WEBP036	18	0	0	1	WEB	Webbekomsbroek	200108	184654	12	2.26	20.57
166	2	1	WEBP048	18	0	0	1	WEB	Webbekomsbroek	199637	184675	12	2.17	20.728
166	2	1	WEBP051	18	0	0	1	WEB	Webbekomsbroek	199872	184441	12	1.48	21.42
166	2	1	WEBP056	18	0	0	1	WEB	Webbekomsbroek	200010	184339	12	1.4	20.809
166	2	1	WEBP062	18	0	0	1	WEB	Webbekomsbroek	200217	184250	12	1.44	21.5
