loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	polygon_id	description_orig	patch_id	phab	certain	type	groupnr	rasterid	opp	filterdepth	soilsurf_ost	description	source.x	source.y	typegroup_name
ABEP033	ABE	Abeek	230608	203730	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27562	100% rbbhf	1	100	1	69	3	18	3279	1.32	54.834	100% rbbhf	habitatmap_stdized	habitatmap_stdized	13
ABEP034	ABE	Abeek	230678	203741	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27575	70% 7140_meso; 30% 3130_aom	1	70	1	80	1	18	3636	2.11	52.719	70% 7140_meso; 30% 3130_aom	habitatmap_stdized	habitatmap_stdized	11
ABEP035	ABE	Abeek	230667	203754	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27562	100% rbbhf	1	100	1	69	3	18	3279	1.64	53.448	100% rbbhf	habitatmap_stdized	habitatmap_stdized	13
ABEP035	ABE	Abeek	230667	203754	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27563	60% rbbsf; 40% rbbmr	1	60	1	109	3	18	2930	1.64	53.448	60% rbbsf; 40% rbbmr	habitatmap_stdized	habitatmap_stdized	13
ABEP035	ABE	Abeek	230667	203754	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27563	60% rbbsf; 40% rbbmr	2	40	1	88	2	18	2930	1.64	53.448	60% rbbsf; 40% rbbmr	habitatmap_stdized	habitatmap_stdized	12
ABEP036	ABE	Abeek	230650	203767	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27562	100% rbbhf	1	100	1	69	3	18	3279	2.32	53.88	100% rbbhf	habitatmap_stdized	habitatmap_stdized	13
ABEP037	ABE	Abeek	230642	203779	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27562	100% rbbhf	1	100	1	69	3	18	3279	1.31	55.212	100% rbbhf	habitatmap_stdized	habitatmap_stdized	13
ABEP041	ABE	Abeek	231078	204310	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27541	100% rbbmr	1	100	1	88	2	18	4717	1.4	50.664	100% rbbmr	habitatmap_stdized	habitatmap_stdized	12
ABEP041	ABE	Abeek	231078	204310	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27546	100% rbbmr	1	100	1	88	2	18	1550	1.4	50.664	100% rbbmr	habitatmap_stdized	habitatmap_stdized	12
ABEP042	ABE	Abeek	231054	204335	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27543	100% rbbhc	1	100	1	68	3	18	1102	1.5	51.709	100% rbbhc	habitatmap_stdized	habitatmap_stdized	13
