loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	filterdepth	soilsurf_ost	polygon_id	description_orig	description	source.x	patch_id	phab	certain	type	source.y	groupnr	typegroup_name	rasterid	opp
ABEP034	ABE	Abeek	230678	203741	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.11	52.719	27563	60% rbbsf; 40% rbbmr	2980	1	1	60	1	109	habitatmap_stdized	3	13	18	2930
ABEP034	ABE	Abeek	230678	203741	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.11	52.719	27563	60% rbbsf; 40% rbbmr	2980	1	2	40	1	88	habitatmap_stdized	2	12	18	2930
ABEP034	ABE	Abeek	230678	203741	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.11	52.719	27575	70% 7140_meso; 30% 3130_aom	3563	1	1	70	1	80	habitatmap_stdized	1	11	18	3636
ABEP035	ABE	Abeek	230667	203754	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.64	53.448	27562	100% rbbhf	270	1	1	100	1	69	habitatmap_stdized	3	13	18	3279
ABEP035	ABE	Abeek	230667	203754	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.64	53.448	27563	60% rbbsf; 40% rbbmr	2980	1	1	60	1	109	habitatmap_stdized	3	13	18	2930
ABEP035	ABE	Abeek	230667	203754	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.64	53.448	27563	60% rbbsf; 40% rbbmr	2980	1	2	40	1	88	habitatmap_stdized	2	12	18	2930
ABEP036	ABE	Abeek	230650	203767	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.32	53.88	27562	100% rbbhf	270	1	1	100	1	69	habitatmap_stdized	3	13	18	3279
ABEP037	ABE	Abeek	230642	203779	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.31	55.212	27562	100% rbbhf	270	1	1	100	1	69	habitatmap_stdized	3	13	18	3279
ABEP037	ABE	Abeek	230642	203779	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.31	55.212	27563	60% rbbsf; 40% rbbmr	2980	1	1	60	1	109	habitatmap_stdized	3	13	18	2930
ABEP037	ABE	Abeek	230642	203779	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.31	55.212	27563	60% rbbsf; 40% rbbmr	2980	1	2	40	1	88	habitatmap_stdized	2	12	18	2930
