OBJECTID,FID_stand,gml_parent,gml_pare_1,gml_id,id,id_xsi_nil,datum,datum_xsi_,putnummer,putnummer_,filternumm,filternu_1,x,x_xsi_nil,y,y_xsi_nil,relatief_p,relatief_1,trend,trend_xsi_,grafiek,grafiek_xs,tijdreeks,tijdreeks_,kleur,kleur_xsi_,geom,FID_habmap,plygn_d,dscrpt_,dscrptn,source,phab,certain,type,groupnr,typgrp_
1,VMMP138,,featureMembers,stand_freatisch.137,12418,0,05/05/2020,0,4-0269,0,1,0,133230.00000000000,0,218448.00000000000,0,P30-P70,0,gedaald,0,https://www.milieuinfo.be/dms/d/d/workspace/SpacesStore/434b6072-bea1-458b-9a2f-1f97cd6fcbc3/4-0269_1-quantiles.png,0,https://www.milieuinfo.be/dms/d/a/workspace/SpacesStore/0eb013df-aa69-4e9b-9fe6-c58b9a80248e/4-0269_1-quantiles.csv,0,#f2f2f2,0,,23295,619624_v2014,100% rbbmr,100% rbbmr,habitatmap_stdized,100.00000000000,1,rbbmr,2,types van nat milieu
2,VMMP154,,featureMembers,stand_freatisch.153,12434,0,05/05/2020,0,4-KPS-0004a,0,1,0,93961.50000000000,0,219569.11000000000,0,P30-P70,0,gedaald,0,https://www.milieuinfo.be/dms/d/d/workspace/SpacesStore/b74c0fb8-ae70-4bb5-a635-e470d82b7f62/4-KPS-0004a_1-quantiles.png,0,https://www.milieuinfo.be/dms/d/a/workspace/SpacesStore/4c1f59f7-a41b-44c7-abdd-da894a1ec0fd/4-KPS-0004a_1-quantiles.csv,0,#f2f2f2,0,,41198,450044_v2016,"70% rbbah, 30% rbbmr","70% rbbah, 30% rbbmr",habitatmap_stdized,30.00000000000,1,rbbmr,2,types van nat milieu
3,VMMP113,,featureMembers,stand_freatisch.112,12393,0,05/05/2020,0,4-0261,0,1,0,93483.00000000000,0,206661.00000000000,0,P10-P30,0,gedaald,0,https://www.milieuinfo.be/dms/d/d/workspace/SpacesStore/e34e0ad6-f338-4079-8756-7fd7a158f64b/4-0261_1-quantiles.png,0,https://www.milieuinfo.be/dms/d/a/workspace/SpacesStore/89267ea5-89e8-4fa2-b4b6-8602cdd5e07a/4-0261_1-quantiles.csv,0,#d09d6c,0,,7241,507277_v2018,100% 6430;rbbhf,100% 6430_hf;rbbhf,habitatmap_stdized + interpretation,100.00000000000,0,6430_hf,3,types van matig nat milieu
4,VMMP113,,featureMembers,stand_freatisch.112,12393,0,05/05/2020,0,4-0261,0,1,0,93483.00000000000,0,206661.00000000000,0,P10-P30,0,gedaald,0,https://www.milieuinfo.be/dms/d/d/workspace/SpacesStore/e34e0ad6-f338-4079-8756-7fd7a158f64b/4-0261_1-quantiles.png,0,https://www.milieuinfo.be/dms/d/a/workspace/SpacesStore/89267ea5-89e8-4fa2-b4b6-8602cdd5e07a/4-0261_1-quantiles.csv,0,#d09d6c,0,,7242,507277_v2018,100% 6430;rbbhf,100% 6430_hf;rbbhf,habitatmap_stdized + interpretation,100.00000000000,0,rbbhf,3,types van matig nat milieu
5,VMMP068,,featureMembers,stand_freatisch.67,12348,0,05/05/2020,0,2-0085,0,1,0,180002.98000000000,0,184658.98000000000,0,P0-P10,0,gedaald,0,https://www.milieuinfo.be/dms/d/d/workspace/SpacesStore/f18262e6-806c-474b-89d8-5baa06bbea1d/2-0085_1-quantiles.png,0,https://www.milieuinfo.be/dms/d/a/workspace/SpacesStore/ab4a52ec-87ab-4456-a85b-c030cf9331c2/2-0085_1-quantiles.csv,0,#6c3500,0,,20348,578135_v2018,"70% 91E0_vm, 20% rbbso, 10% 9190","70% 91E0_vm, 20% rbbso, 10% 9190",habitatmap_stdized,70.00000000000,1,91E0_vm,1,types van zeer nat milieu
6,VMMP068,,featureMembers,stand_freatisch.67,12348,0,05/05/2020,0,2-0085,0,1,0,180002.98000000000,0,184658.98000000000,0,P0-P10,0,gedaald,0,https://www.milieuinfo.be/dms/d/d/workspace/SpacesStore/f18262e6-806c-474b-89d8-5baa06bbea1d/2-0085_1-quantiles.png,0,https://www.milieuinfo.be/dms/d/a/workspace/SpacesStore/ab4a52ec-87ab-4456-a85b-c030cf9331c2/2-0085_1-quantiles.csv,0,#6c3500,0,,20349,578135_v2018,"70% 91E0_vm, 20% rbbso, 10% 9190","70% 91E0_vm, 20% rbbso, 10% 9190",habitatmap_stdized,20.00000000000,1,rbbso,3,types van matig nat milieu
7,VMMP068,,featureMembers,stand_freatisch.67,12348,0,05/05/2020,0,2-0085,0,1,0,180002.98000000000,0,184658.98000000000,0,P0-P10,0,gedaald,0,https://www.milieuinfo.be/dms/d/d/workspace/SpacesStore/f18262e6-806c-474b-89d8-5baa06bbea1d/2-0085_1-quantiles.png,0,https://www.milieuinfo.be/dms/d/a/workspace/SpacesStore/ab4a52ec-87ab-4456-a85b-c030cf9331c2/2-0085_1-quantiles.csv,0,#6c3500,0,,20350,578135_v2018,"70% 91E0_vm, 20% rbbso, 10% 9190","70% 91E0_vm, 20% rbbso, 10% 9190",habitatmap_stdized,10.00000000000,1,9190,5,types van droog milieu
