unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	typegroup_name	rasterid	gew_aantal_meetptn	geselecteerd	reserve	filterdepth	soilsurf_ost	selectie
1	ALMP002	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109744	185010	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	601	1	0	2	1.2	13.8	1
198	ZWAP304	ZWA	Zwarte Beek	214442	205517	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	630	1	0	2	1.66	45.423	1
60	MOSP016	MOS	De Most	212638	207858	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	1	11	630	1	0	3	1.08	40.501	1
201	ZWAP309	ZWA	Zwarte Beek	215657	205459	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	630	1	0	4	1.07	48.318	1
200	ZWAP306	ZWA	Zwarte Beek	215123	203590	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	630	1	0	2	1.36	51.915	1
196	ZWAP301	ZWA	Zwarte Beek	213467	203688	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	630	1	0	3	1.19	47.738	1
199	ZWAP305	ZWA	Zwarte Beek	214503	203705	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	630	1	0	4	1.52	50.271	1
195	ZWAP300	ZWA	Zwarte Beek	213086	204149	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	630	1	0	5	0.965	45.208	1
187	ZEBP046	ZEB	Zeebrugge	69422	220210	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	693	1	0	2	1	3.3782	1
117	UKPP026	UKP	Uitkerkse Polder	64020	221053	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	693	1	0	3	2.04	2.26	1
121	UKPP033	UKP	Uitkerkse Polder	63326	220765	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	15	693	1	0	2	1	2.31	1
116	UKPP024	UKP	Uitkerkse Polder	64131	220125	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	15	693	1	0	3	1	2.22	1
119	UKPP030	UKP	Uitkerkse Polder	63295	219347	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	15	693	1	0	4	1	2.86	1
122	UKPP034	UKP	Uitkerkse Polder	63040	221589	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	15	693	1	0	5	1.85	3.09	1
120	UKPP032	UKP	Uitkerkse Polder	63399	220470	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	15	693	1	0	6	1	2.48	1
44	LAAP003	LAA	Laambroeken	218524	190066	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	694	1	0	2	2.06	40.583	1
103	TLAP004	TLA	Terlaemen & Weijerman	214019	187879	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	694	1	0	3	2.21	33.295	1
41	HBTP008	HBT	Helderbeekvallei Terril	212972	193186	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	694	1	0	4	0.55	33.645	1
77	ORCP013	ORC	De Orchis	139861	197002	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	745	2	0	3	1.26	4.808	1
113	TYDP203	TYD	Ter Yde	33046	203477	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	817	1	0	2	1.4	5.858	1
104	TYDP004	TYD	Ter Yde	33126	203530	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	817	1	0	3	2.281	6.531	1
108	TYDP055	TYD	Ter Yde	32743	203672	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	817	1	0	4	1.56	6.762	1
111	TYDP071	TYD	Ter Yde	33667	203943	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	817	1	0	5	1.66	5.46	1
110	TYDP059	TYD	Ter Yde	32669	203788	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	817	1	0	6	1.53	6.38	1
115	TYDP206	TYD	Ter Yde	33673	203910	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	817	1	0	7	1.69	5.39	1
112	TYDP072	TYD	Ter Yde	33571	203880	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	817	1	0	8	1.675	5.51	1
105	TYDP012	TYD	Ter Yde	33155	203402	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	817	1	0	9	2.65	6.187	1
109	TYDP058	TYD	Ter Yde	32486	203672	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	817	1	0	10	1.96	6.726	1
106	TYDP031	TYD	Ter Yde	33253	203328	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	15	817	1	0	2	2.74	6.36	1
185	ZABP022	ZAB	Zammelsbroek	193188	199206	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	822	1	0	2	1.25	16.05	1
15	DEMP011	DEM	de Merode-Herselt	190657	194916	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	822	1	0	3	2	15.76	1
14	DEMP007	DEM	de Merode-Herselt	190806	194941	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	822	1	0	4	2.22	16.34	1
165	WERP011	WER	De Werft	193419	194740	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	822	1	0	5	1.48	0.42	1
158	WERP001	WER	De Werft	193281	194778	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	822	1	0	6	1.89	0.45	1
160	WERP003	WER	De Werft	193271	194588	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	822	1	0	7	1.7	0.65	1
161	WERP004	WER	De Werft	193302	194696	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	822	1	0	8	1.62	0.72	1
164	WERP009	WER	De Werft	193488	194562	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	822	1	0	9	1.73	0.54	1
159	WERP002	WER	De Werft	193300	194752	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	822	1	0	10	1.77	0.55	1
183	ZABP013	ZAB	Zammelsbroek	191535	198711	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	822	1	0	2	2.29	14.97	1
162	WERP005	WER	De Werft	193360	194613	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	822	1	0	3	1.65	0.65	1
181	ZABP004	ZAB	Zammelsbroek	191712	198448	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	822	1	0	4	1.8	15.47	1
180	ZABP003	ZAB	Zammelsbroek	191644	198520	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	822	1	0	5	1.93	14.866	1
163	WERP007	WER	De Werft	193544	194610	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	822	1	0	6	1.78	0.9	1
186	ZABP023	ZAB	Zammelsbroek	193145	199376	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	822	1	0	7	1.78	16.58	1
182	ZABP005	ZAB	Zammelsbroek	191734	198418	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	822	1	0	8	0.78	15.56	1
90	SCPP045	SCP	Scheps	206476	204589	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	886	1	0	2	1.83	30.55	1
86	SCPP027	SCP	Scheps	205749	204186	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	886	1	0	3	1.86	29.612	1
87	SCPP036	SCP	Scheps	205976	204000	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	886	1	0	2	1.78	29.94	1
132	VENP010	VEN	De Vennen	208440	206098	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	886	1	0	3	1.15	33.44	1
91	SCPP050	SCP	Scheps	207566	205767	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	886	1	0	4	1.52	31.827	1
131	VENP009	VEN	De Vennen	208455	206286	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	886	1	0	5	1.31	32.89	1
88	SCPP039	SCP	Scheps	206669	204706	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	886	1	0	6	1.7	30.8	1
130	VENP006	VEN	De Vennen	208317	206290	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	886	1	0	7	1.24	33.658	1
149	VRIP039	VRI	Vrieselhof	166653	213046	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	1	11	918	1	0	2	1.86	8.417	1
146	VRIP009	VRI	Vrieselhof	166718	212654	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	918	1	0	3	2.5	8.45	1
147	VRIP011	VRI	Vrieselhof	166854	212640	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	918	1	0	4	1.72	8.13	1
190	ZWAP208	ZWA	Zwarte Beek	218005	198226	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	950	2	0	3	1.25	59.938	1
189	ZWAP200	ZWA	Zwarte Beek	217985	197987	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	950	2	0	4	1.89	63.663	1
194	ZWAP234	ZWA	Zwarte Beek	217054	198920	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	950	1	0	2	1.25	58.209	1
78	PARP002	PAR	Parike-bos	109810	163492	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	985	1	0	2	2.27	63.82	1
