rasterid;groupnr;gew_aantal_meetptn;n_tubes;n_tubes_lg3;geom
   1;5;1;13;NA;list(c(54797.591973471, 54797.591973471, 62989.591973471, 62989.591973471, 54797.591973471, 218590.113583292, 210398.113583292, 210398.113583292, 218590.113583292, 218590.113583292))
  25;4;1; 1; 1;"list(c(95757.591973471, 95757.591973471, 100909.591973471, 100909.591973471, 100941.591973471, 100941.591973471, 100909.591973471, 100909.591973471, 100813.591973471, 100813.591973471, 100845.591973471, 100845.591973471, 100877.591973471, 100877.591973471, 100845.591973471, 100845.591973471, 100813.591973471, 100813.591973471, 100781.591973471, 100781.591973471, 100717.591973471, 100717.591973471, 100685.591973471, 100685.591973471, 100717.591973471, 100749.591973471, 100749.591973471, 100781.591973471, 
100813.591973471, 100813.591973471, 100845.591973471, 100845.591973471, 100877.591973471, 100909.591973471, 100909.591973471, 100941.591973471, 100941.591973471, 100973.591973471, 100973.591973471, 101005.591973471, 101005.591973471, 101037.591973471, 101037.591973471, 101069.591973471, 101101.591973471, 101101.591973471, 101133.591973471, 101165.591973471, 101165.591973471, 101197.591973471, 101197.591973471, 101229.591973471, 101229.591973471, 101197.591973471, 101197.591973471, 101165.591973471, 
101165.591973471, 101133.591973471, 101133.591973471, 101101.591973471, 101101.591973471, 101069.591973471, 101069.591973471, 101101.591973471, 101101.591973471, 101133.591973471, 101133.591973471, 101165.591973471, 101165.591973471, 101197.591973471, 101197.591973471, 101229.591973471, 101229.591973471, 101261.591973471, 101261.591973471, 101293.591973471, 101293.591973471, 101325.591973471, 101325.591973471, 101389.591973471, 101389.591973471, 101421.591973471, 101421.591973471, 101453.591973471, 
101453.591973471, 101485.591973471, 101485.591973471, 101517.591973471, 101517.591973471, 101549.591973471, 101549.591973471, 101581.591973471, 101581.591973471, 101613.591973471, 101613.591973471, 101645.591973471, 101645.591973471, 101677.591973471, 101677.591973471, 101709.591973471, 101709.591973471, 101741.591973471, 101741.591973471, 101773.591973471, 101773.591973471, 101805.591973471, 101805.591973471, 101837.591973471, 101837.591973471, 101869.591973471, 101869.591973471, 101901.591973471, 
101901.591973471, 101933.591973471, 101933.591973471, 101965.591973471, 101965.591973471, 101997.591973471, 101997.591973471, 102029.591973471, 102029.591973471, 102093.591973471, 102093.591973471, 102317.591973471, 102317.591973471, 102445.591973471, 102445.591973471, 102477.591973471, 102477.591973471, 102509.591973471, 102509.591973471, 102541.591973471, 102541.591973471, 102605.591973471, 102605.591973471, 102637.591973471, 102637.591973471, 102669.591973471, 102669.591973471, 102701.591973471, 
102701.591973471, 102733.591973471, 102733.591973471, 102765.591973471, 102797.591973471, 102797.591973471, 102829.591973471, 102829.591973471, 102861.591973471, 102861.591973471, 102893.591973471, 102893.591973471, 102925.591973471, 102925.591973471, 102957.591973471, 102957.591973471, 102989.591973471, 102989.591973471, 103021.591973471, 103021.591973471, 103053.591973471, 103053.591973471, 103085.591973471, 103085.591973471, 103117.591973471, 103117.591973471, 103149.591973471, 103149.591973471, 
103181.591973471, 103181.591973471, 103213.591973471, 103245.591973471, 103245.591973471, 103277.591973471, 103277.591973471, 103309.591973471, 103309.591973471, 103341.591973471, 103341.591973471, 103373.591973471, 103405.591973471, 103405.591973471, 103437.591973471, 103437.591973471, 103469.591973471, 103469.591973471, 103501.591973471, 103501.591973471, 103533.591973471, 103533.591973471, 103597.591973471, 103597.591973471, 103629.591973471, 103629.591973471, 103661.591973471, 103661.591973471, 
103725.591973471, 103725.591973471, 103757.591973471, 103757.591973471, 103725.591973471, 103725.591973471, 103693.591973471, 103693.591973471, 103661.591973471, 103661.591973471, 103629.591973471, 103629.591973471, 103597.591973471, 103597.591973471, 103565.591973471, 103565.591973471, 103533.591973471, 103533.591973471, 103501.591973471, 103501.591973471, 103469.591973471, 103469.591973471, 103501.591973471, 103501.591973471, 103565.591973471, 103565.591973471, 103661.591973471, 103661.591973471, 
103725.591973471, 103725.591973471, 103789.591973471, 103789.591973471, 103821.591973471, 103821.591973471, 103853.591973471, 103853.591973471, 103821.591973471, 103821.591973471, 103789.591973471, 103789.591973471, 103757.591973471, 103757.591973471, 103725.591973471, 103725.591973471, 103693.591973471, 103693.591973471, 103661.591973471, 103661.591973471, 103629.591973471, 103629.591973471, 103661.591973471, 103661.591973471, 103693.591973471, 103693.591973471, 103725.591973471, 103725.591973471, 
103757.591973471, 103757.591973471, 103789.591973471, 103789.591973471, 103821.591973471, 103821.591973471, 103917.591973471, 103949.591973471, 103949.591973471, 95757.591973471, 169438.113583292, 161246.113583292, 161246.113583292, 161278.113583292, 161278.113583292, 161342.113583292, 161342.113583292, 161374.113583292, 161374.113583292, 161406.113583292, 161406.113583292, 161438.113583292, 161438.113583292, 161470.113583292, 161470.113583292, 161502.113583292, 161502.113583292, 161566.113583292, 
161566.113583292, 161630.113583292, 161630.113583292, 161662.113583292, 161662.113583292, 161758.113583292, 161758.113583292, 161758.113583292, 161790.113583292, 161790.113583292, 161790.113583292, 161822.113583292, 161822.113583292, 161854.113583292, 161854.113583292, 161854.113583292, 161886.113583292, 161886.113583292, 161918.113583292, 161918.113583292, 161886.113583292, 161886.113583292, 161918.113583292, 161918.113583292, 161950.113583292, 161950.113583292, 161950.113583292, 161982.113583292, 
161982.113583292, 161982.113583292, 162014.113583292, 162014.113583292, 162046.113583292, 162046.113583292, 162078.113583292, 162078.113583292, 162142.113583292, 162142.113583292, 162174.113583292, 162174.113583292, 162206.113583292, 162206.113583292, 162238.113583292, 162238.113583292, 162270.113583292, 162270.113583292, 162302.113583292, 162302.113583292, 162334.113583292, 162334.113583292, 162366.113583292, 162366.113583292, 162430.113583292, 162430.113583292, 162462.113583292, 162462.113583292, 
162590.113583292, 162590.113583292, 162622.113583292, 162622.113583292, 162590.113583292, 162590.113583292, 162558.113583292, 162558.113583292, 162526.113583292, 162526.113583292, 162558.113583292, 162558.113583292, 162590.113583292, 162590.113583292, 162622.113583292, 162622.113583292, 162654.113583292, 162654.113583292, 162686.113583292, 162686.113583292, 162622.113583292, 162622.113583292, 162590.113583292, 162590.113583292, 162558.113583292, 162558.113583292, 162526.113583292, 162526.113583292, 
162494.113583292, 162494.113583292, 162526.113583292, 162526.113583292, 162558.113583292, 162558.113583292, 162590.113583292, 162590.113583292, 162622.113583292, 162622.113583292, 162654.113583292, 162654.113583292, 162718.113583292, 162718.113583292, 162750.113583292, 162750.113583292, 162782.113583292, 162782.113583292, 162910.113583292, 162910.113583292, 162878.113583292, 162878.113583292, 162910.113583292, 162910.113583292, 162878.113583292, 162878.113583292, 162846.113583292, 162846.113583292, 
162814.113583292, 162814.113583292, 162782.113583292, 162782.113583292, 162750.113583292, 162750.113583292, 162814.113583292, 162814.113583292, 162878.113583292, 162878.113583292, 162910.113583292, 162910.113583292, 162942.113583292, 162942.113583292, 162942.113583292, 162974.113583292, 162974.113583292, 163006.113583292, 163006.113583292, 163038.113583292, 163038.113583292, 163070.113583292, 163070.113583292, 163102.113583292, 163102.113583292, 163134.113583292, 163134.113583292, 163166.113583292, 
163166.113583292, 163198.113583292, 163198.113583292, 163230.113583292, 163230.113583292, 163262.113583292, 163262.113583292, 163294.113583292, 163294.113583292, 163358.113583292, 163358.113583292, 163390.113583292, 163390.113583292, 163390.113583292, 163422.113583292, 163422.113583292, 163454.113583292, 163454.113583292, 163486.113583292, 163486.113583292, 163518.113583292, 163518.113583292, 163518.113583292, 163550.113583292, 163550.113583292, 163582.113583292, 163582.113583292, 163614.113583292, 
163614.113583292, 163646.113583292, 163646.113583292, 163678.113583292, 163678.113583292, 163646.113583292, 163646.113583292, 163614.113583292, 163614.113583292, 163582.113583292, 163582.113583292, 163550.113583292, 163550.113583292, 163454.113583292, 163454.113583292, 163422.113583292, 163422.113583292, 163390.113583292, 163390.113583292, 163358.113583292, 163358.113583292, 163326.113583292, 163326.113583292, 163294.113583292, 163294.113583292, 163198.113583292, 163198.113583292, 163070.113583292, 
163070.113583292, 163006.113583292, 163006.113583292, 162846.113583292, 162846.113583292, 162814.113583292, 162814.113583292, 162846.113583292, 162846.113583292, 162814.113583292, 162814.113583292, 162782.113583292, 162782.113583292, 162750.113583292, 162750.113583292, 162718.113583292, 162718.113583292, 162686.113583292, 162686.113583292, 162622.113583292, 162622.113583292, 162590.113583292, 162590.113583292, 162558.113583292, 162558.113583292, 162526.113583292, 162526.113583292, 162494.113583292, 
162494.113583292, 162462.113583292, 162462.113583292, 162430.113583292, 162430.113583292, 162366.113583292, 162366.113583292, 162334.113583292, 162334.113583292, 162302.113583292, 162302.113583292, 162238.113583292, 162238.113583292, 162206.113583292, 162206.113583292, 162142.113583292, 162142.113583292, 162142.113583292, 169438.113583292, 169438.113583292))"
  41;2;1; 2; 2;list(c(136717.591973471, 136717.591973471, 144909.591973471, 144909.591973471, 136717.591973471, 218590.113583292, 210398.113583292, 210398.113583292, 218590.113583292, 218590.113583292))
  46;5;1; 3;NA;list(c(185869.591973471, 185869.591973471, 194061.591973471, 194061.591973471, 185869.591973471, 226782.113583292, 218590.113583292, 218590.113583292, 226782.113583292, 226782.113583292))
  53;5;1; 2;NA;list(c(71181.591973471, 71181.591973471, 79373.591973471, 79373.591973471, 71181.591973471, 226782.113583292, 218590.113583292, 218590.113583292, 226782.113583292, 226782.113583292))
  54;2;1; 9;NA;list(c(194061.591973471, 194061.591973471, 202253.591973471, 202253.591973471, 194061.591973471, 194014.113583292, 185822.113583292, 185822.113583292, 194014.113583292, 194014.113583292))
  54;3;1;21;NA;list(c(194061.591973471, 194061.591973471, 202253.591973471, 202253.591973471, 194061.591973471, 194014.113583292, 185822.113583292, 185822.113583292, 194014.113583292, 194014.113583292))
  57;4;1; 2; 2;list(c(120333.591973471, 120333.591973471, 128525.591973471, 128525.591973471, 120333.591973471, 169438.113583292, 161246.113583292, 161246.113583292, 169438.113583292, 169438.113583292))
  89;4;1; 5;NA;list(c(103949.591973471, 103949.591973471, 112141.591973471, 112141.591973471, 103949.591973471, 177630.113583292, 169438.113583292, 169438.113583292, 177630.113583292, 177630.113583292))
 113;5;1; 9;NA;"list(c(54317.591973471, 54317.591973471, 54285.591973471, 54285.591973471, 54253.591973471, 54221.591973471, 54221.591973471, 54189.591973471, 54189.591973471, 54157.591973471, 54157.591973471, 54125.591973471, 54093.591973471, 54093.591973471, 54061.591973471, 54061.591973471, 54029.591973471, 53997.591973471, 53997.591973471, 53965.591973471, 53965.591973471, 53933.591973471, 53933.591973471, 53901.591973471, 53869.591973471, 53869.591973471, 53837.591973471, 53837.591973471, 53805.591973471, 53773.591973471, 
53773.591973471, 53741.591973471, 53741.591973471, 53709.591973471, 53677.591973471, 53677.591973471, 53645.591973471, 53645.591973471, 53613.591973471, 53581.591973471, 53581.591973471, 53549.591973471, 53517.591973471, 53517.591973471, 53485.591973471, 53453.591973471, 53453.591973471, 53421.591973471, 53389.591973471, 53389.591973471, 53357.591973471, 53325.591973471, 53325.591973471, 53293.591973471, 53261.591973471, 53261.591973471, 53229.591973471, 53229.591973471, 53197.591973471, 53165.591973471, 
53165.591973471, 53133.591973471, 53133.591973471, 53101.591973471, 53069.591973471, 53069.591973471, 53037.591973471, 53037.591973471, 53005.591973471, 52973.591973471, 52973.591973471, 52941.591973471, 52941.591973471, 52909.591973471, 52909.591973471, 52877.591973471, 52845.591973471, 52845.591973471, 52813.591973471, 52813.591973471, 52781.591973471, 52781.591973471, 52749.591973471, 52749.591973471, 52717.591973471, 52685.591973471, 52685.591973471, 52653.591973471, 52621.591973471, 52621.591973471, 
52589.591973471, 52557.591973471, 52557.591973471, 52525.591973471, 52493.591973471, 52493.591973471, 52461.591973471, 52429.591973471, 52429.591973471, 52397.591973471, 52397.591973471, 52365.591973471, 52333.591973471, 52333.591973471, 52301.591973471, 52301.591973471, 52269.591973471, 52237.591973471, 52237.591973471, 52205.591973471, 52205.591973471, 52173.591973471, 52173.591973471, 52141.591973471, 52109.591973471, 52109.591973471, 52077.591973471, 52077.591973471, 52045.591973471, 52013.591973471, 
52013.591973471, 51981.591973471, 51917.591973471, 51917.591973471, 51885.591973471, 51853.591973471, 51853.591973471, 51821.591973471, 51789.591973471, 51789.591973471, 51757.591973471, 51757.591973471, 51725.591973471, 51725.591973471, 51693.591973471, 51693.591973471, 51661.591973471, 51629.591973471, 51629.591973471, 51597.591973471, 51597.591973471, 51565.591973471, 51533.591973471, 51533.591973471, 51501.591973471, 51469.591973471, 51469.591973471, 51437.591973471, 51405.591973471, 51405.591973471, 
51373.591973471, 51341.591973471, 51341.591973471, 51309.591973471, 51277.591973471, 51277.591973471, 51245.591973471, 51245.591973471, 51213.591973471, 51181.591973471, 51181.591973471, 51149.591973471, 51117.591973471, 51117.591973471, 51085.591973471, 51085.591973471, 51053.591973471, 51021.591973471, 51021.591973471, 50989.591973471, 50989.591973471, 50957.591973471, 50925.591973471, 50925.591973471, 50893.591973471, 50893.591973471, 50861.591973471, 50829.591973471, 50829.591973471, 50797.591973471, 
50765.591973471, 50765.591973471, 50733.591973471, 50733.591973471, 50701.591973471, 50669.591973471, 50669.591973471, 50637.591973471, 50605.591973471, 50605.591973471, 50573.591973471, 50573.591973471, 50541.591973471, 50509.591973471, 50509.591973471, 50477.591973471, 50445.591973471, 50445.591973471, 50413.591973471, 50381.591973471, 50381.591973471, 50349.591973471, 50349.591973471, 50317.591973471, 50285.591973471, 50285.591973471, 50253.591973471, 50221.591973471, 50221.591973471, 50189.591973471, 
50157.591973471, 50157.591973471, 50125.591973471, 50093.591973471, 50093.591973471, 50061.591973471, 50029.591973471, 50029.591973471, 49997.591973471, 49997.591973471, 49965.591973471, 49933.591973471, 49933.591973471, 49901.591973471, 49869.591973471, 49869.591973471, 49837.591973471, 49837.591973471, 49805.591973471, 49773.591973471, 49773.591973471, 49741.591973471, 49741.591973471, 49709.591973471, 49677.591973471, 49677.591973471, 49645.591973471, 49645.591973471, 49613.591973471, 49613.591973471, 
49581.591973471, 49549.591973471, 49549.591973471, 49517.591973471, 49485.591973471, 49485.591973471, 49453.591973471, 49421.591973471, 49421.591973471, 49389.591973471, 49357.591973471, 49357.591973471, 49325.591973471, 49261.591973471, 49261.591973471, 49197.591973471, 49197.591973471, 49101.591973471, 49101.591973471, 49069.591973471, 49037.591973471, 49037.591973471, 48941.591973471, 48941.591973471, 48717.591973471, 48717.591973471, 48685.591973471, 48685.591973471, 48653.591973471, 48653.591973471, 
48621.591973471, 48621.591973471, 48589.591973471, 48589.591973471, 48557.591973471, 48557.591973471, 48525.591973471, 48493.591973471, 48493.591973471, 48461.591973471, 48461.591973471, 48429.591973471, 48397.591973471, 48397.591973471, 48365.591973471, 48365.591973471, 48333.591973471, 48333.591973471, 48301.591973471, 48269.591973471, 48269.591973471, 48237.591973471, 48205.591973471, 48205.591973471, 48173.591973471, 48141.591973471, 48141.591973471, 48109.591973471, 48077.591973471, 48077.591973471, 
48045.591973471, 48013.591973471, 48013.591973471, 47981.591973471, 47949.591973471, 47949.591973471, 47917.591973471, 47885.591973471, 47885.591973471, 47853.591973471, 47853.591973471, 47821.591973471, 47789.591973471, 47789.591973471, 47757.591973471, 47757.591973471, 47725.591973471, 47693.591973471, 47693.591973471, 47661.591973471, 47661.591973471, 47629.591973471, 47629.591973471, 47597.591973471, 47597.591973471, 47565.591973471, 47565.591973471, 47533.591973471, 47501.591973471, 47501.591973471, 
47469.591973471, 47469.591973471, 47437.591973471, 47405.591973471, 47405.591973471, 47373.591973471, 47373.591973471, 47341.591973471, 47309.591973471, 47309.591973471, 47277.591973471, 47277.591973471, 47245.591973471, 47245.591973471, 47213.591973471, 47181.591973471, 47181.591973471, 47149.591973471, 47149.591973471, 47117.591973471, 47117.591973471, 47085.591973471, 47085.591973471, 47053.591973471, 47021.591973471, 47021.591973471, 46989.591973471, 46989.591973471, 46957.591973471, 46957.591973471, 
46925.591973471, 46893.591973471, 46893.591973471, 46861.591973471, 46861.591973471, 46829.591973471, 46829.591973471, 46797.591973471, 46765.591973471, 46765.591973471, 46733.591973471, 46733.591973471, 46701.591973471, 46701.591973471, 46669.591973471, 46669.591973471, 46637.591973471, 46605.591973471, 46605.591973471, 54765.591973471, 54797.591973471, 54797.591973471, 54317.591973471, 218590.113583292, 218558.113583292, 218558.113583292, 218526.113583292, 218526.113583292, 218526.113583292, 218494.113583292, 
218494.113583292, 218462.113583292, 218462.113583292, 218430.113583292, 218430.113583292, 218430.113583292, 218398.113583292, 218398.113583292, 218366.113583292, 218366.113583292, 218366.113583292, 218334.113583292, 218334.113583292, 218302.113583292, 218302.113583292, 218270.113583292, 218270.113583292, 218270.113583292, 218238.113583292, 218238.113583292, 218206.113583292, 218206.113583292, 218206.113583292, 218174.113583292, 218174.113583292, 218142.113583292, 218142.113583292, 218142.113583292, 
218110.113583292, 218110.113583292, 218078.113583292, 218078.113583292, 218078.113583292, 218046.113583292, 218046.113583292, 218046.113583292, 218014.113583292, 218014.113583292, 218014.113583292, 217982.113583292, 217982.113583292, 217982.113583292, 217950.113583292, 217950.113583292, 217950.113583292, 217918.113583292, 217918.113583292, 217918.113583292, 217886.113583292, 217886.113583292, 217854.113583292, 217854.113583292, 217854.113583292, 217822.113583292, 217822.113583292, 217790.113583292, 
217790.113583292, 217790.113583292, 217758.113583292, 217758.113583292, 217726.113583292, 217726.113583292, 217726.113583292, 217694.113583292, 217694.113583292, 217662.113583292, 217662.113583292, 217630.113583292, 217630.113583292, 217630.113583292, 217598.113583292, 217598.113583292, 217566.113583292, 217566.113583292, 217534.113583292, 217534.113583292, 217502.113583292, 217502.113583292, 217502.113583292, 217470.113583292, 217470.113583292, 217470.113583292, 217438.113583292, 217438.113583292, 
217438.113583292, 217406.113583292, 217406.113583292, 217406.113583292, 217374.113583292, 217374.113583292, 217374.113583292, 217342.113583292, 217342.113583292, 217310.113583292, 217310.113583292, 217310.113583292, 217278.113583292, 217278.113583292, 217246.113583292, 217246.113583292, 217246.113583292, 217214.113583292, 217214.113583292, 217150.113583292, 217150.113583292, 217118.113583292, 217118.113583292, 217118.113583292, 217086.113583292, 217086.113583292, 217054.113583292, 217054.113583292, 
217054.113583292, 217022.113583292, 217022.113583292, 217022.113583292, 216990.113583292, 216990.113583292, 216990.113583292, 216958.113583292, 216958.113583292, 216958.113583292, 216926.113583292, 216926.113583292, 216894.113583292, 216894.113583292, 216862.113583292, 216862.113583292, 216830.113583292, 216830.113583292, 216830.113583292, 216798.113583292, 216798.113583292, 216766.113583292, 216766.113583292, 216766.113583292, 216734.113583292, 216734.113583292, 216734.113583292, 216702.113583292, 
216702.113583292, 216702.113583292, 216670.113583292, 216670.113583292, 216670.113583292, 216638.113583292, 216638.113583292, 216638.113583292, 216606.113583292, 216606.113583292, 216574.113583292, 216574.113583292, 216574.113583292, 216542.113583292, 216542.113583292, 216542.113583292, 216510.113583292, 216510.113583292, 216478.113583292, 216478.113583292, 216478.113583292, 216446.113583292, 216446.113583292, 216414.113583292, 216414.113583292, 216414.113583292, 216382.113583292, 216382.113583292, 
216350.113583292, 216350.113583292, 216350.113583292, 216318.113583292, 216318.113583292, 216318.113583292, 216286.113583292, 216286.113583292, 216254.113583292, 216254.113583292, 216254.113583292, 216222.113583292, 216222.113583292, 216222.113583292, 216190.113583292, 216190.113583292, 216158.113583292, 216158.113583292, 216158.113583292, 216126.113583292, 216126.113583292, 216126.113583292, 216094.113583292, 216094.113583292, 216094.113583292, 216062.113583292, 216062.113583292, 216030.113583292, 
216030.113583292, 216030.113583292, 215998.113583292, 215998.113583292, 215998.113583292, 215966.113583292, 215966.113583292, 215966.113583292, 215934.113583292, 215934.113583292, 215934.113583292, 215902.113583292, 215902.113583292, 215902.113583292, 215870.113583292, 215870.113583292, 215838.113583292, 215838.113583292, 215838.113583292, 215806.113583292, 215806.113583292, 215806.113583292, 215774.113583292, 215774.113583292, 215742.113583292, 215742.113583292, 215742.113583292, 215710.113583292, 
215710.113583292, 215678.113583292, 215678.113583292, 215678.113583292, 215646.113583292, 215646.113583292, 215614.113583292, 215614.113583292, 215582.113583292, 215582.113583292, 215582.113583292, 215550.113583292, 215550.113583292, 215550.113583292, 215518.113583292, 215518.113583292, 215518.113583292, 215486.113583292, 215486.113583292, 215486.113583292, 215454.113583292, 215454.113583292, 215454.113583292, 215422.113583292, 215422.113583292, 215454.113583292, 215454.113583292, 215422.113583292, 
215422.113583292, 215422.113583292, 215390.113583292, 215390.113583292, 215422.113583292, 215422.113583292, 215390.113583292, 215390.113583292, 215358.113583292, 215358.113583292, 215326.113583292, 215326.113583292, 215038.113583292, 215038.113583292, 214974.113583292, 214974.113583292, 214942.113583292, 214942.113583292, 214942.113583292, 214910.113583292, 214910.113583292, 214878.113583292, 214878.113583292, 214878.113583292, 214846.113583292, 214846.113583292, 214814.113583292, 214814.113583292, 
214782.113583292, 214782.113583292, 214782.113583292, 214750.113583292, 214750.113583292, 214750.113583292, 214718.113583292, 214718.113583292, 214718.113583292, 214686.113583292, 214686.113583292, 214686.113583292, 214654.113583292, 214654.113583292, 214654.113583292, 214622.113583292, 214622.113583292, 214622.113583292, 214590.113583292, 214590.113583292, 214590.113583292, 214558.113583292, 214558.113583292, 214526.113583292, 214526.113583292, 214526.113583292, 214494.113583292, 214494.113583292, 
214462.113583292, 214462.113583292, 214462.113583292, 214430.113583292, 214430.113583292, 214398.113583292, 214398.113583292, 214366.113583292, 214366.113583292, 214334.113583292, 214334.113583292, 214302.113583292, 214302.113583292, 214302.113583292, 214270.113583292, 214270.113583292, 214238.113583292, 214238.113583292, 214238.113583292, 214206.113583292, 214206.113583292, 214174.113583292, 214174.113583292, 214174.113583292, 214142.113583292, 214142.113583292, 214110.113583292, 214110.113583292, 
214078.113583292, 214078.113583292, 214078.113583292, 214046.113583292, 214046.113583292, 214014.113583292, 214014.113583292, 213982.113583292, 213982.113583292, 213950.113583292, 213950.113583292, 213950.113583292, 213918.113583292, 213918.113583292, 213886.113583292, 213886.113583292, 213854.113583292, 213854.113583292, 213854.113583292, 213822.113583292, 213822.113583292, 213790.113583292, 213790.113583292, 213758.113583292, 213758.113583292, 213758.113583292, 213726.113583292, 213726.113583292, 
213694.113583292, 213694.113583292, 213662.113583292, 213662.113583292, 213630.113583292, 213630.113583292, 213630.113583292, 210398.113583292, 210398.113583292, 210398.113583292, 218590.113583292, 218590.113583292))"
