unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	selectie	gew_aantal_meetptn	geselecteerd	reserve
124	VDBP004	VDB	Vallei van de Drie Beken	198401	189278	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	54	1.12	20.43	13	1	1	0	2
128	VDBP531	VDB	Vallei van de Drie Beken	197880	189431	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	54	0.72	19.78	13	1	1	0	3
154	WEBP210	WEB	Webbekomsbroek	199320	186194	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	54	2.135	20.145	13	1	1	0	4
10	BUIP023	BUI	Buitengoor	206653	212114	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	118	2.33	31.384	11	1	1	0	2
9	BUIP015	BUI	Buitengoor	206639	212165	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	118	2	31.114	11	1	1	0	3
13	BUIP033	BUI	Buitengoor	206472	212059	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	118	1.8	30.675	11	1	1	0	4
16	DUNP010	DUN	Dunbergbroek	178354	180655	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	134	2.06	16.054	14	1	1	0	2
153	WEBP202	WEB	Webbekomsbroek	199709	184801	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	166	1.75	20.774	12	1	1	0	2
26	GOBP004	GOB	Gorenbroek	201885	184397	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	166	2.26	20.4131	12	1	1	0	3
152	WEBP036	WEB	Webbekomsbroek	200108	184654	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	166	2.26	20.57	12	1	1	0	4
174	WESP093	WES	Westhoek	22509	198809	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	2.09	5.66	14	1	1	0	2
173	WESP018	WES	Westhoek	23813	199363	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	1.8	5.44	14	1	1	0	3
179	WESP302	WES	Westhoek	23338	199132	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	1.75	5.38	14	1	1	0	4
170	WESP007	WES	Westhoek	23034	198650	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	2.07	5.98	14	1	1	0	5
169	WESP005	WES	Westhoek	23086	198942	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	1.97	5.57	14	1	1	0	6
175	WESP097	WES	Westhoek	23408	198956	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	1.97	6.57	14	1	1	0	7
172	WESP014	WES	Westhoek	22737	199289	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	0.84	6.07	14	1	1	0	8
177	WESP119	WES	Westhoek	23171	198331	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	2.14	5.9	14	1	1	0	9
176	WESP111	WES	Westhoek	23304	198193	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	1.6	5.39	14	1	1	0	10
168	WESP003	WES	Westhoek	23288	198961	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	1.91	5.99	14	1	1	0	11
178	WESP134	WES	Westhoek	22885	198920	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	177	0.9	5.69	14	1	1	0	12
6	BELP010	BEL	de Belv<e9>d<e8>re	27947	199669	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	177	1.6	4.73	15	1	1	0	2
5	BELP004	BEL	de Belv<e9>d<e8>re	28016	199778	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	177	2.47	5.47	15	1	1	0	3
92	SHHP035	SHH	Schietveld Houthalen Hechteren	225904	194393	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	210	2.16	78.211	13	1	1	0	2
53	MOEP011	MOE	Moenebroeken	116115	166574	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	217	2.59	0.45	13	1	1	0	2
47	LAVP080	LAV	Laanvallei	169110	164590	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	262	1.85	29.68	12	1	1	0	2
