loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	filterdepth	soilsurf_ost	polygon_id	description_orig	description	source.x	patch_id	phab	certain	type	source.y	groupnr	typegroup_name	rasterid	opp
AABP013	AAB	Aabeek	178315	209637	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.71	10.34	542556_v2016	100% 91E0_vn	100% 91E0_vn	habitatmap_stdized	1	100	1	105	habitatmap_stdized	3	13	982	10623
AABP013	AAB	Aabeek	178315	209637	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.71	10.34	555285_v2016	100% 91E0_vm	100% 91E0_vm	habitatmap_stdized	1	100	1	104	habitatmap_stdized	1	11	982	11958
AABP014	AAB	Aabeek	178310	209590	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.74	9.41	555285_v2016	100% 91E0_vm	100% 91E0_vm	habitatmap_stdized	1	100	1	104	habitatmap_stdized	1	11	982	11958
AABP017	AAB	Aabeek	178370	209461	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.72	9.31	417707_v2018	50% rbbhf; 50% gh	50% rbbhf; 50% gh	habitatmap_stdized	1	50	1	69	habitatmap_stdized	3	13	982	6132
AABP019	AAB	Aabeek	178417	209404	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.73	9.49	416155_v2018	60% rbbhc; 40% gh	60% rbbhc; 40% gh	habitatmap_stdized	1	60	1	68	habitatmap_stdized	3	13	982	4514
AABP059	AAB	Aabeek	177355	209634	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.45	9.275	462036_v2018	100% 91E0_vm	100% 91E0_vm	habitatmap_stdized	1	100	1	104	habitatmap_stdized	1	11	726	1669
AABP060	AAB	Aabeek	177751	209664	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.2	9.664	449439_v2018	50% rbbhc; 50% gh	50% rbbhc; 50% gh	habitatmap_stdized	1	50	1	68	habitatmap_stdized	3	13	982	6985
AABP063	AAB	Aabeek	178910	209535	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.91	9.875	552181_v2016	60% rbbhc; 40% gh	60% rbbhc; 40% gh	habitatmap_stdized	1	60	1	68	habitatmap_stdized	3	13	982	5742
ABEP011	ABE	Abeek	230541	195642	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.34	75.08	529602_v2018	100% 9190	100% 9190	habitatmap_stdized	1	100	1	99	habitatmap_stdized	5	15	978	7913
ABEP014	ABE	Abeek	230569	195670	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.864	75.504	529602_v2018	100% 9190	100% 9190	habitatmap_stdized	1	100	1	99	habitatmap_stdized	5	15	978	7913
ABEP021	ABE	Abeek	229808	202035	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.46	59.18	456018_v2018	70% rbbmr; 30% rbbhf	70% rbbmr; 30% rbbhf	habitatmap_stdized	1	70	1	88	habitatmap_stdized	2	12	978	17805
ABEP021	ABE	Abeek	229808	202035	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.46	59.18	456018_v2018	70% rbbmr; 30% rbbhf	70% rbbmr; 30% rbbhf	habitatmap_stdized	2	30	1	69	habitatmap_stdized	3	13	978	17805
ABEP022	ABE	Abeek	229849	202009	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.67	58.579	456018_v2018	70% rbbmr; 30% rbbhf	70% rbbmr; 30% rbbhf	habitatmap_stdized	1	70	1	88	habitatmap_stdized	2	12	978	17805
ABEP022	ABE	Abeek	229849	202009	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.67	58.579	456018_v2018	70% rbbmr; 30% rbbhf	70% rbbmr; 30% rbbhf	habitatmap_stdized	2	30	1	69	habitatmap_stdized	3	13	978	17805
ABEP023	ABE	Abeek	229904	201967	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.99	56.4	487026_v2018	90% 91E0_vm; 10% 91E0_va	90% 91E0_vm; 10% 91E0_va	habitatmap_stdized	1	90	1	104	habitatmap_stdized	1	11	978	6665
ABEP023	ABE	Abeek	229904	201967	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.99	56.4	487026_v2018	90% 91E0_vm; 10% 91E0_va	90% 91E0_vm; 10% 91E0_va	habitatmap_stdized	2	10	1	102	habitatmap_stdized	4	14	978	6665
ABEP024	ABE	Abeek	229859	202086	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.71	58.979	551428_v2018	70% rbbmr; 30% rbbhf	70% rbbmr; 30% rbbhf	habitatmap_stdized	1	70	1	88	habitatmap_stdized	2	12	978	4972
ABEP024	ABE	Abeek	229859	202086	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.71	58.979	551428_v2018	70% rbbmr; 30% rbbhf	70% rbbmr; 30% rbbhf	habitatmap_stdized	2	30	1	69	habitatmap_stdized	3	13	978	4972
ABEP025	ABE	Abeek	229890	202069	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.75	58.858	551428_v2018	70% rbbmr; 30% rbbhf	70% rbbmr; 30% rbbhf	habitatmap_stdized	1	70	1	88	habitatmap_stdized	2	12	978	4972
ABEP025	ABE	Abeek	229890	202069	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.75	58.858	551428_v2018	70% rbbmr; 30% rbbhf	70% rbbmr; 30% rbbhf	habitatmap_stdized	2	30	1	69	habitatmap_stdized	3	13	978	4972
