rasterid	groupnr	gew_aantal_meetptn	loc_code	n_tubes	n_tubes_lgl	aantal_cat1A	aantal_cat1B	area_code	area_name	x	y	typegroup_name	selectie	n_tubes_zondermodel	filterdepth	soilsurf_ost
486	2	1	ARHP009	4	0	0	1	ARH	Aronst Hoek	203834	177051	12	-1	4	2.1	24.31
486	2	1	ARHP010	4	0	0	1	ARH	Aronst Hoek	203804	177070	12	-1	4	2.3	24.191
89	4	1	BOEP003	5	0	0	1	BOE	Boembeke	107334	170403	14	-1	5	2.8	0.6
185	4	1	HALP001	3	0	0	1	HAL	Hallerbos	143431	155389	14	-1	3	2.02	74.902
185	4	1	HALP002	3	0	0	1	HAL	Hallerbos	143429	155341	14	-1	3	1.79	74.66
185	4	1	HALP005	3	0	0	1	HAL	Hallerbos	144281	156162	14	-1	3	1.96	68.673
217	4	1	KLUP003	4	0	0	1	KLU	Kluysbos	119864	161359	14	-1	4	0.93	45.12
54	2	1	MSBP001	9	0	0	1	MSB	Molenstedebroek	194922	187284	12	-1	9	2.78	19.019
54	2	1	MSBP002	9	0	0	1	MSB	Molenstedebroek	194917	187270	12	-1	9	2.0920000000001	19.1069999999999
54	2	1	MSBP003	9	0	0	1	MSB	Molenstedebroek	194861	187151	12	-1	9	1.97	19.154
54	2	1	MSBP006	9	0	0	1	MSB	Molenstedebroek	194955	187335	12	-1	9	2.136	18.91
54	2	1	MSBP007	9	0	0	1	MSB	Molenstedebroek	194938	187299	12	-1	9	1.914	19.073
54	2	1	MSBP008	9	0	0	1	MSB	Molenstedebroek	194883	187199	12	-1	9	1.6270000000001	19.3859999999999
54	2	1	MSBP009	9	0	0	1	MSB	Molenstedebroek	194851	187121	12	-1	9	2.766	19.452
54	2	1	MSBP013	9	0	0	1	MSB	Molenstedebroek	195275	186651	12	-1	9	2.215	19.3709999999999
54	2	1	MSBP014	9	0	0	1	MSB	Molenstedebroek	195268	186601	12	-1	9	2.2659999999999	19.376
57	4	1	NEIP001	2	0	0	1	NEI	Neigembos	128122	167393	14	-1	2	1.48	0.31
57	4	1	NEIP002	2	0	0	1	NEI	Neigembos	128078	167410	14	-1	2	1.1	0.45
217	4	1	RASP001	4	0	0	1	RAS	Raspaillebos	120085	162768	14	-1	4	2.57	69.404
217	4	1	RASP002	4	0	0	1	RAS	Raspaillebos	120111	162861	14	-1	4	1.06	56.755
217	4	1	RASP003	4	0	0	1	RAS	Raspaillebos	120002	163028	14	-1	4	1.32	40.862
694	1	1	SANP006	4	0	0	1	SAN	Schansbeemden	216032	191815	11	-1	4	2.14	36.79
89	4	1	SBBP002	5	0	0	1	SBB	Steenbergse bossen	109983	170962	14	-1	5	1.34	52.147
694	1	1	TLAP001	4	0	0	1	TLA	Terlaemen & Weijerman	213998	188072	11	-1	4	2.27	32.923
694	1	1	TLAP002	4	0	0	1	TLA	Terlaemen & Weijerman	214024	187912	11	-1	4	0.78	33.076
694	1	1	TLAP003	4	0	0	1	TLA	Terlaemen & Weijerman	214025	187912	11	-1	4	1.46	33.033
310	2	1	VIEP104	8	0	0	1	VIE	Vierkensbroek-Demervallei	192297	188970	12	-1	8	1.64	17.38
310	2	1	VIEP105	8	0	0	1	VIE	Vierkensbroek-Demervallei	192266	188817	12	-1	8	2.16	17.12
310	2	1	VIEP106	8	0	0	1	VIE	Vierkensbroek-Demervallei	192282	188686	12	-1	8	1.84	17.15
310	2	1	VIEP107	8	0	0	1	VIE	Vierkensbroek-Demervallei	192278	188526	12	-1	8	2.04	17.387
310	2	1	VIEP117	8	0	0	1	VIE	Vierkensbroek-Demervallei	192297	188970	12	-1	8	0.7	16.91
310	2	1	VIEP118	8	0	0	1	VIE	Vierkensbroek-Demervallei	192266	188817	12	-1	8	0.81	17.09
310	2	1	VIEP173	8	0	0	1	VIE	Vierkensbroek-Demervallei	192713	188703	12	-1	8	2.04	16.98
310	2	1	VIEP174	8	0	0	1	VIE	Vierkensbroek-Demervallei	192711	188697	12	-1	8	2.07	16.92
486	2	1	VINP044	4	0	0	1	VIN	Het Vinne	203993	170797	12	-1	4	1.46	26.181
486	2	1	VINP084	4	0	0	1	VIN	Het Vinne	203095	170251	12	-1	4	2.13	26.64
