unieknr	loc_code	x	y	rasterid	groupnr	ser_length	ser_firstyear	ser_lastyear	ser_nryears	rest_aantal_meetptn	rankclus	rankclus_lastyear	rankclus_nryears	beschikbaar_aantal_cluster	gew_aantal_meetptn	aantal_cat1A	aantal_cat1B	n
67	SCPP050	207566	205767	886	3	7	2008	2014	7	1	1	1	1	13	1	0	0	8
68	SHHP032	226069	192196	722	3	9	2008	2016	7	1	1	1	1	4	1	0	0	1
69	STAP050	242727	208039	146	1	8	2009	2016	8	1	1	1	1	2	1	0	0	1
70	TEUP019	222593	189365	722	3	5	2010	2014	5	1	1	1	1	4	1	0	0	1
71	TEUP026	224931	188926	722	3	9	2008	2016	9	1	1	1	1	4	1	0	0	1
72	TEUP043	223696	188700	722	1	10	2007	2016	10	1	1	1	1	4	1	0	0	1
73	TEUP044	223773	188744	722	1	9	2008	2016	9	1	1	1	1	4	1	0	0	2
74	TEUP045	225036	188792	722	3	7	2008	2014	7	1	1	1	1	4	1	0	0	1
75	TEUP046	225067	188690	722	1	9	2008	2016	7	1	1	1	1	4	1	0	0	1
76	TEUP047	225211	188652	722	1	9	2008	2016	9	1	1	1	1	4	1	0	0	2
77	TYDP004	33126	203530	817	4	9	2004	2012	7	1	1	1	1	13	1	0	0	4
78	TYDP012	33155	203402	817	4	9	2004	2012	8	1	1	1	1	13	1	0	0	1
79	TYDP031	33253	203328	817	5	9	2004	2012	8	1	1	1	1	3	1	0	0	1
80	TYDP050	32403	204128	817	5	12	2001	2012	10	1	1	1	1	3	1	0	0	1
81	TYDP055	32743	203672	817	4	12	2001	2012	10	1	1	1	1	13	1	0	0	3
82	TYDP057	32283	204089	817	4	12	2001	2012	10	1	1	1	1	13	1	0	0	3
83	TYDP058	32486	203672	817	4	12	2001	2012	10	1	1	1	1	13	1	0	0	3
84	TYDP059	32669	203788	817	4	10	2001	2010	9	1	1	1	1	13	1	0	0	2
85	TYDP071	33667	203943	817	4	6	2003	2008	6	1	1	1	1	13	1	0	0	1
86	TYDP072	33571	203880	817	4	10	2001	2010	9	1	1	1	1	13	1	0	0	2
87	TYDP203	33046	203477	817	4	8	2005	2012	6	1	1	1	1	13	1	0	0	2
88	TYDP204	33222	203448	817	4	8	2005	2012	7	1	1	1	1	13	1	0	0	4
89	TYDP206	33673	203910	817	4	8	2005	2012	7	1	1	1	1	13	1	0	0	4
90	TYDP207	33614	203986	817	4	8	2005	2012	7	1	1	1	1	13	1	0	0	4
91	TYDP211	32561	203740	817	4	7	2006	2012	6	1	1	1	1	13	1	0	0	2
92	VENP005	208256	206362	886	1	5	2012	2016	5	1	1	1	1	3	1	0	0	1
93	VENP006	208317	206290	886	3	5	2012	2016	5	1	1	1	1	13	1	0	0	3
94	VENP009	208455	206286	886	3	5	2012	2016	5	1	1	1	1	13	1	0	0	3
95	VENP010	208440	206098	886	3	5	2012	2016	5	1	1	1	1	13	1	0	0	3
96	VOTP003	179848	184688	134	1	6	2007	2012	6	1	1	1	1	4	1	0	0	1
97	VOTP020	180097	184819	134	1	9	2007	2015	9	1	1	1	1	4	1	0	0	2
98	VOTP055	179763	184526	134	1	9	2007	2015	9	1	1	1	1	4	1	0	0	2
99	WALP041	184838	179526	134	1	6	2006	2011	6	1	1	1	1	4	1	0	0	1
100	WESP002	23337	199132	177	4	10	2002	2011	10	1	1	1	1	20	1	0	0	2
101	WESP003	23288	198961	177	4	12	2001	2012	12	1	1	1	1	20	1	0	0	11
102	WESP005	23086	198942	177	4	12	2001	2012	12	1	1	1	1	20	1	0	0	11
103	WESP007	23034	198650	177	4	10	2003	2012	10	1	1	1	1	20	1	0	0	1
104	WESP008	22617	198715	177	4	12	2001	2012	12	1	1	1	1	20	1	0	0	11
105	WESP014	22737	199289	177	4	12	2001	2012	12	1	1	1	1	20	1	0	0	11
106	WESP018	23813	199363	177	4	12	2001	2012	11	1	1	1	1	20	1	0	0	3
107	WESP031	23984	198297	177	4	11	2001	2011	10	1	1	1	1	20	1	0	0	2
108	WESP050	23967	198392	177	4	12	2001	2012	12	1	1	1	1	20	1	0	0	11
109	WESP057	23258	199248	177	4	12	2001	2012	12	1	1	1	1	20	1	0	0	11
110	WESP073	23786	199218	177	4	12	2001	2012	12	1	1	1	1	20	1	0	0	11
111	WESP074	23953	199593	177	4	12	2001	2012	12	1	1	1	1	20	1	0	0	11
112	WESP076	24198	199292	177	4	12	2001	2012	12	1	1	1	1	20	1	0	0	11
113	WESP080	24394	199119	177	4	12	2001	2012	12	1	1	1	1	20	1	0	0	11
114	WESP093	22509	198809	177	4	11	2001	2011	11	1	1	1	1	20	1	0	0	1
115	WESP097	23408	198956	177	4	11	2002	2012	11	1	1	1	1	20	1	0	0	3
116	WESP111	23304	198193	177	4	11	2002	2012	11	1	1	1	1	20	1	0	0	3
117	WESP119	23171	198331	177	4	12	2001	2012	12	1	1	1	1	20	1	0	0	11
118	WESP134	22885	198920	177	4	10	2003	2012	9	1	1	1	1	20	1	0	0	1
