unieknr	polygon_id	description_orig	description	phab	certain	type	groupnr	typegroup_name	rasterid	opp	geselecteerd_basis	geselecteerd_reserve	source
54419	607114_v2014	70% gh; 30% 9160	70% gh; 30% 9160	30	1	9160	4	types van vochtig milieu	114	3409	0	1	habitatmap_stdized
54354	631330_v2014	100% 9160	100% 9160	100	1	9160	4	types van vochtig milieu	114	3815	0	1	habitatmap_stdized
54550	638284_v2014	100% 9160	100% 9160	100	1	9160	4	types van vochtig milieu	114	2488	0	1	habitatmap_stdized
54349	642511_v2014	100% 9160	100% 9160	100	1	9160	4	types van vochtig milieu	114	14672	0	1	habitatmap_stdized
55074	642902_v2014	100% 9160	100% 9160	100	1	9160	4	types van vochtig milieu	114	941	0	1	habitatmap_stdized
54322	643248_v2014	100% 9160	100% 9160	100	1	9160	4	types van vochtig milieu	114	1738	0	1	habitatmap_stdized
54338	643483_v2014	100% 9160	100% 9160	100	1	9160	4	types van vochtig milieu	114	12155	1	1	habitatmap_stdized
54539	648811_v2014	100% 9160	100% 9160	100	1	9160	4	types van vochtig milieu	114	968	0	1	habitatmap_stdized
54540	648812_v2014	100% 9160	100% 9160	100	1	9160	4	types van vochtig milieu	114	462	0	1	habitatmap_stdized
54543	648903_v2014	100% 9160	100% 9160	100	1	9160	4	types van vochtig milieu	114	987	0	1	habitatmap_stdized
54548	649186_v2014	100% 9160	100% 9160	100	1	9160	4	types van vochtig milieu	114	1865	0	1	habitatmap_stdized
54533	654891_v2014	100% 9160	100% 9160	100	1	9160	4	types van vochtig milieu	114	6535	0	1	habitatmap_stdized
54410	586790_v2014	60% rbbmc; 20% 6430; 20% gh	60% rbbmc; 20% 6430_hf; 20% gh	60	1	rbbmc	2	types van nat milieu	114	3947	0	1	habitatmap_stdized + interpretation
55100	600145_v2014	70% gh; 20% 6430,rbbhf,bos; 10% rbbmc	70% gh; 20% 6430_hf,rbbhf,bos; 10% rbbmc	10	1	rbbmc	2	types van nat milieu	114	6667	0	1	habitatmap_stdized + interpretation
54791	614289_v2014	100% rbbmc	100% rbbmc	100	1	rbbmc	2	types van nat milieu	114	5579	0	1	habitatmap_stdized
54810	614874_v2014	60% rbbmr; 20% rbbmc; 10% 6430,rbbhf; 10% gh	60% rbbmr; 20% rbbmc; 10% 6430_hf,rbbhf; 10% gh	20	1	rbbmc	2	types van nat milieu	114	11944	0	1	habitatmap_stdized + interpretation
54312	618974_v2014	70% rbbmc; 30% 91E0_va	70% rbbmc; 30% 91E0_va	70	1	rbbmc	2	types van nat milieu	114	1181	0	1	habitatmap_stdized
54445	619486_v2014	70% 6430,rbbhf; 30% rbbmc	70% 6430_hf,rbbhf; 30% rbbmc	30	1	rbbmc	2	types van nat milieu	114	3871	0	1	habitatmap_stdized + interpretation
54471	621296_v2014	70% 6430,rbbhf; 30% rbbmc	70% 6430_hf,rbbhf; 30% rbbmc	30	1	rbbmc	2	types van nat milieu	114	2696	0	1	habitatmap_stdized + interpretation
54805	624177_v2014	60% rbbmc; 20% 6430,rbbhf; 20% rbbsf	60% rbbmc; 20% 6430_hf,rbbhf; 20% rbbsf	60	1	rbbmc	2	types van nat milieu	114	4551	0	1	habitatmap_stdized + interpretation
54813	624373_v2014	70% rbbmc; 30% 6430,rbbhf	70% rbbmc; 30% 6430_hf,rbbhf	70	1	rbbmc	2	types van nat milieu	114	2577	0	1	habitatmap_stdized + interpretation
54785	624423_v2014	70% 6430,rbbhf,bos; 30% rbbmc	70% 6430_hf,rbbhf,bos; 30% rbbmc	30	1	rbbmc	2	types van nat milieu	114	6991	0	1	habitatmap_stdized + interpretation
54802	624745_v2014	70% rbbmc; 30% 6430,rbbhf	70% rbbmc; 30% 6430_hf,rbbhf	70	1	rbbmc	2	types van nat milieu	114	14361	1	1	habitatmap_stdized + interpretation
54656	628181_v2014	70% rbbhc; 25% rbbmc; 5% 6410_mo; 0% 7220	70% rbbhc; 25% rbbmc; 5% 6410_mo; 0% 7220	25	1	rbbmc	2	types van nat milieu	114	7390	0	1	habitatmap_stdized
54780	642607_v2014	70% rbbmc; 30% 91E0_vm	70% rbbmc; 30% 91E0_vm	70	1	rbbmc	2	types van nat milieu	114	5230	0	1	habitatmap_stdized
55073	401688_v2014	70% gh; 30% rbbmr	70% gh; 30% rbbmr	30	1	rbbmr	2	types van nat milieu	114	8133	0	1	habitatmap_stdized
54828	624159_v2014	60% rbbmc; 20% rbbmr; 20% 6430,rbbhf	60% rbbmc; 20% rbbmr; 20% 6430_hf,rbbhf	20	1	rbbmr	2	types van nat milieu	114	12226	0	1	habitatmap_stdized + interpretation
54788	627113_v2014	60% rbbmc; 20% 6430,rbbhf,bos; 20% rbbmr	60% rbbmc; 20% 6430_hf,rbbhf,bos; 20% rbbmr	20	1	rbbmr	2	types van nat milieu	114	5740	0	1	habitatmap_stdized + interpretation
54776	628154_v2014	100% rbbmr	100% rbbmr	100	1	rbbmr	2	types van nat milieu	114	2462	0	1	habitatmap_stdized
