unieknr	loc_code	x	y	rasterid	groupnr	ser_length	ser_firstyear	ser_lastyear	ser_nryears	rest_aantal_meetptn	rankclus	rankclus_lastyear	rankclus_nryears	beschikbaar_aantal_cluster	gew_aantal_meetptn	aantal_cat1A	n
71	GSCP003	167616	229839	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
72	GSCP006	167534	229824	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
73	GSCP007	167540	229836	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
74	GSCP008	167490	229826	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
75	GSCP009	167459	229809	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
76	GSCP010	167656	229861	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
77	GSCP011	167660	229863	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
78	GSCP012	167675	229876	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
79	GSCP017	167657	229201	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
80	GSCP018	167646	229194	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
81	GSCP019	167677	229190	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
82	GSCP020	167682	229188	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
83	GSCP021	167691	229182	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
84	GSCP024	168020	229769	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
85	GSCP034	165256	226975	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
86	GSCP035	165244	226881	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
87	GSCP042	165107	228843	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
88	GSCP050	165107	228842	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
89	GSCP068	165075	228761	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
90	GSCP168	165075	228761	478	3	NA	NA	0	0	1	1	1	1	22	1	0	22
91	HALP002	143429	155341	185	4	8	2008	2015	8	1	1	1	1	2	1	0	1
92	HALP005	144281	156162	185	4	5	2008	2012	5	1	1	1	1	2	1	0	1
93	HAYP001	107209	163506	985	4	NA	NA	0	0	1	1	1	1	7	1	0	7
94	HBTP007	212987	193133	694	3	NA	NA	0	0	1	1	1	1	4	1	0	4
95	HBTP008	212972	193186	694	3	NA	NA	0	0	1	1	1	1	4	1	0	4
96	HEIP005	70784	226290	693	5	NA	NA	0	0	1	1	1	1	8	1	0	8
97	HIPP003	142098	200326	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
98	HIPP004	142171	200253	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
99	HIPP005	142275	200052	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
100	HIPP008	143006	200372	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
101	HIPP009	143054	200215	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
102	HIPP011	143593	200953	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
103	HIPP012	143650	200788	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
104	HIPP015	144325	201199	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
105	HIPP016	144362	201030	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
106	HIPP021	144238	200533	745	3	NA	NA	0	0	2	1	1	1	22	2	0	22
107	IJSP003	163141	164523	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
108	IJSP011	165317	164191	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
109	IJSP017	165468	164008	262	2	NA	NA	0	0	1	1	1	1	9	1	0	9
110	IJSP018	166990	166250	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
111	IJSP020	167025	166227	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
112	IJSP021	167035	166210	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
113	ITTP003	237518	199947	850	1	NA	NA	0	0	1	1	1	1	5	1	0	5
114	ITTP212	242307	202672	146	1	5	2012	2016	5	1	1	1	1	2	1	0	1
115	KALP136	154423	234049	734	3	5	2011	2015	5	1	1	1	1	2	1	0	2
116	KALP137	154350	234337	734	3	5	2011	2015	5	1	1	1	1	2	1	0	2
117	KALP316	156088	229025	734	5	NA	NA	0	0	1	1	1	1	4	1	0	4
118	KALP319	155060	233988	734	5	NA	NA	0	0	1	1	1	1	4	1	0	4
119	KALP327	155590	232454	734	5	NA	NA	0	0	1	1	1	1	4	1	0	4
