loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	firstyear	lastyear	nryears	cat
DYLP109	DYL	Dijlevallei	169049	168137	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	262	2.97	28.13	14	2004	2016	10	3
DYLP156	DYL	Dijlevallei	169478	166091	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	262	1.99	28.432	13	2016	2016	1	3
GOBP004	GOB	Gorenbroek	201885	184397	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	166	2.26	20.4131	12	2014	2016	3	3
GROP001	GRO	Grotenhoutbos	187160	220275	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	46	1.71	20.38	15	NA	NA	0	3
GROP002	GRO	Grotenhoutbos	187160	220370	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	46	1.98	20.56	15	NA	NA	0	3
GSCP021	GSC	Groot Schietveld	167691	229182	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	478	1.92	18.89	13	2001	2010	3	3
HAGP019	HAG	Hageven	224064	217725	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	274	2.061	34.611	12	2002	2015	14	3
HALP002	HAL	Hallerbos	143429	155341	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	185	1.79	74.66	14	2008	2015	8	3
HALP005	HAL	Hallerbos	144281	156162	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	185	1.96	68.673	14	2008	2012	5	3
HBTP007	HBT	Helderbeekvallei Terril	212987	193133	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	694	1.76	33.971	13	2011	2014	2	3
HBTP008	HBT	Helderbeekvallei Terril	212972	193186	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	694	0.55	33.645	13	2011	2014	2	3
HEIP005	HEI	Heist	70784	226290	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	5	693	2.17	5.851	15	NA	NA	0	3
HOSP041	HOS	Houtsaegerduinen/oosthoek	26995	199413	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	177	2.54	5.94	15	2006	2006	1	3
HOSP088	HOS	Houtsaegerduinen/oosthoek	26803	199522	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	177	2.5	6.6	15	2005	2006	2	3
ITTP212	ITT	Itterbeekvallei	242307	202672	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	146	2.14	35.225	11	2012	2016	5	3
KALP022	KAL	Kalmthoutse heide	155356	230811	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	734	1.32	23.29	13	2014	2016	3	3
KALP136	KAL	Kalmthoutse heide	154423	234049	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	734	1.19	18.514	13	2011	2015	5	3
KALP137	KAL	Kalmthoutse heide	154350	234337	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	734	1.6	17.91	13	2011	2015	5	3
KALP252	KAL	Kalmthoutse heide	153253	233640	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	734	1.78	21.383	13	2014	2016	3	3
KALP316	KAL	Kalmthoutse heide	156088	229025	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	734	2.14	25.52	15	NA	NA	0	3
KALP319	KAL	Kalmthoutse heide	155060	233988	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	734	1.65	18.898	15	NA	NA	0	3
KALP327	KAL	Kalmthoutse heide	155590	232454	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	734	2.73	20.373	15	NA	NA	0	3
KALP357	KAL	Kalmthoutse heide	156460	234019	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	734	2.2	17.472	15	NA	NA	0	3
KBRP060	KBR	Potpolder Kruibeke Rupelmonde	145448	202168	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	233	2.14	2.233	12	2001	2012	11	2
LAVP080	LAV	Laanvallei	169110	164590	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	262	1.85	29.68	12	2011	2012	2	3
LDOP019	LDO	Langdonken	184754	191421	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	342	1.65	14.49	11	2004	2012	8	3
LDOP035	LDO	Langdonken	185221	191291	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	342	1.92	14.57	11	2005	2016	9	3
LDOP036	LDO	Langdonken	185321	190835	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	342	2	15.3	11	2005	2012	6	3
LDOP041	LDO	Langdonken	186424	191178	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	310	2.62	14.604	13	2005	2016	10	3
LDOP042	LDO	Langdonken	184750	191415	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	342	2.66	14.16	11	2007	2016	6	3
LEPP009	LEP	Lenspolder	34664	204521	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	2.16	5.19	14	2004	2013	6	3
LEPP011	LEP	Lenspolder	34654	204481	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	1.22	5.56	14	2004	2013	6	3
MANP029	MAN	Mangelbeekvallei	220497	193374	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	722	1.31	55.868	11	2008	2016	6	3
MATP003	MAT	De Maten	224779	181757	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	306	1.13	42.28	11	2011	2016	5	3
MATP010	MAT	De Maten	225128	182769	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	306	2.22	46.64	11	2012	2016	5	3
MATP013	MAT	De Maten	226425	182603	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	306	1.08	48.02	11	2012	2016	5	3
MATP015	MAT	De Maten	226040	183424	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	306	0.88	49.66	11	2012	2016	5	3
MECP050	MEC	Mechelse Heide	237195	185737	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	1010	0.68	89.382	11	2007	2016	10	3
MOGP003	MOG	Mosselgoren	188983	208897	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	758	1.63	14.721	11	NA	NA	0	2
MOLP018	MOL	Molenbeekvallei	167135	177145	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	454	1.49	25.82	14	2001	2013	9	3
MOLP022	MOL	Molenbeekvallei	166595	176767	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	454	1.49	27.886	14	2001	2013	9	3
MOLP023	MOL	Molenbeekvallei	166621	176753	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	454	1.66	27.339	14	2001	2013	9	3
MOLP024	MOL	Molenbeekvallei	166641	176739	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	454	1.58	27.234	14	2001	2013	9	3
MOLP025	MOL	Molenbeekvallei	166664	176724	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	454	1.62	27.095	14	2001	2013	9	3
MOSP001	MOS	De Most	210617	207077	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	630	1.18	35.95	11	2006	2014	9	3
MOSP003	MOS	De Most	210894	207017	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	630	1.085	37.179	11	2006	2014	9	3
MOSP004	MOS	De Most	210870	207068	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	630	1.42	37.265	11	2006	2014	9	3
MSBP001	MSB	Molenstedebroek	194922	187284	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	2	54	2.78	19.019	12	NA	NA	0	3
MSBP002	MSB	Molenstedebroek	194917	187270	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	54	2.0920000000001	19.1069999999999	12	NA	NA	0	3
MSBP003	MSB	Molenstedebroek	194861	187151	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	2	54	1.97	19.154	12	NA	NA	0	3
MSBP006	MSB	Molenstedebroek	194955	187335	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	54	2.136	18.91	12	NA	NA	0	3
MSBP007	MSB	Molenstedebroek	194938	187299	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	54	1.914	19.073	12	NA	NA	0	3
MSBP008	MSB	Molenstedebroek	194883	187199	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	54	1.6270000000001	19.3859999999999	12	NA	NA	0	3
MSBP009	MSB	Molenstedebroek	194851	187121	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	54	2.766	19.452	12	NA	NA	0	3
MSBP013	MSB	Molenstedebroek	195275	186651	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	54	2.215	19.3709999999999	12	NA	NA	0	3
