jaar	mean	p02.5	p50	p97.5	simulatienr	sd	intercept
1985	4.03548444395495	3.89906739617914	4.03406642726013	4.17993085405071	1	0.0715959792224812	4.65317161545067
1985	4.0656832407414	3.93000796308615	4.0643095364	4.20925294602837	2	0.0711332620450119	4.65205495725325
1985	4.05650647906926	3.92126736304287	4.05519891336356	4.19917657398487	3	0.0708140453274042	4.65351930389522
1985	4.08479414482557	3.94162077634504	4.08308599499562	4.23743940406901	4	0.0754643574488144	4.65017288514593
1985	4.14453988346087	3.9957460004047	4.14337572698444	4.29997730926032	5	0.0777281282770818	4.64983721395659
1985	4.08811997362209	3.93640577486107	4.08692402838611	4.24666007672978	6	0.0792894378124034	4.63892649889567
1985	4.02359517914271	3.89277367380967	4.02272605691049	4.1594248153452	7	0.0679447008594949	4.65959751396886
1985	4.03894581390569	3.90725623447404	4.03785589362918	4.17691592436025	8	0.0686770984393229	4.66022743933405
1985	4.07119352858787	3.92274273817726	4.06985331040286	4.22715447940574	9	0.0777820093779795	4.64035177771963
1985	4.12678053762665	3.97116516031551	4.12561394460268	4.28910216600637	10	0.0813224100783732	4.64197999031897
1985	4.09632594024108	3.95479078681874	4.09477075538202	4.24656905315303	11	0.0744104753240082	4.64650910936155
1985	4.03206585751533	3.90161146715376	4.03133323499466	4.1667294301243	12	0.0675643824291127	4.65874412790893
1985	4.08736193240258	3.93825770889926	4.08628111142995	4.24261173320406	13	0.0777538570040681	4.6466303517786
1985	4.07696857570371	3.94509054190163	4.0757801225132	4.21569435910363	14	0.0689166541641204	4.66180094517144
1985	4.15874358617503	4.00537897269759	4.15814831597207	4.31568229149138	15	0.0792287071246409	4.63074861569085
1985	4.03207993110937	3.88365978235273	4.03089765107561	4.18724488386116	16	0.0775724449641833	4.6406960100519
1985	4.06025565488607	3.92672410335058	4.05906143642873	4.20057077708522	17	0.0697761269717878	4.6604842461985
1985	4.15980845596548	4.00572512343332	4.15903387343846	4.31847542668882	18	0.0798903813124009	4.63203362747749
1985	4.09819693168949	3.96482738248393	4.0968876778722	4.23900886544735	19	0.0698735582959552	4.65906543765197
1985	4.11348460606689	3.96077611680509	4.11238501624147	4.27254113806775	20	0.0797011077093104	4.64351324015363
1986	4.07115574160538	3.96281210290214	4.0709977993769	4.18044742503234	1	0.0555420573016517	4.65317161545067
1986	4.11013947706426	3.99979334265297	4.11014759160388	4.22052763748541	2	0.0563343915501246	4.65205495725325
1986	4.1091511445024	4.00417482892832	4.10889606151394	4.21560267708897	3	0.053955990137463	4.65351930389522
1986	4.0875136168323	3.97624357767415	4.08713584503482	4.20087744305641	4	0.0573840767553286	4.65017288514593
1986	4.09289481960812	3.98569093807422	4.09236247665478	4.20300606966078	5	0.0554695906043081	4.64983721395659
1986	4.04288261045905	3.93574047017084	4.04233773033559	4.1530328450271	6	0.05545428118156	4.63892649889567
1986	4.09894346277835	3.98920433927474	4.09900033049446	4.20848795982175	7	0.0559434693427107	4.65959751396886
1986	4.10427175636541	3.99413910468018	4.10441082088534	4.2137709549013	8	0.0560197075044154	4.66022743933405
1986	4.04509857684017	3.93702432856721	4.04442994669768	4.15683964934339	9	0.0561296861934923	4.64035177771963
1986	4.06820452327096	3.95614726965937	4.06739705189918	4.18456068751511	10	0.058347881839963	4.64197999031897
1986	4.10406038581615	3.9967864570566	4.10376613198772	4.21299937688742	11	0.0551916164205053	4.64650910936155
1986	4.11743588502743	4.01087305074508	4.11731972217099	4.22471447696833	12	0.0545313350387553	4.65874412790893
1986	4.0406055094384	3.93600844579126	4.0401264324967	4.14786353125658	13	0.0540500477600212	4.6466303517786
1986	4.12651671037612	4.01471035286635	4.12668494594429	4.23755621774997	14	0.0568623705852968	4.66180094517144
1986	4.0097512354844	3.908200718038	4.00938089883819	4.11342516157361	15	0.0523335960832024	4.63074861569085
1986	4.01675691519744	3.90982764116611	4.0161500955767	4.12704178432756	16	0.0554579895165871	4.6406960100519
1986	4.1121948706668	4.00895759161614	4.11201358342369	4.21648687167856	17	0.0529296802470607	4.6604842461985
1986	4.04945010353385	3.9459077340604	4.04902678229851	4.15538304457809	18	0.0534240078163326	4.63203362747749
1986	4.13408096730194	4.02769662965795	4.13404333349324	4.24073470717569	19	0.0543639019494085	4.65906543765197
1986	4.0579070988093	3.94939623530137	4.0573116723233	4.16968767326946	20	0.0562413895333257	4.64351324015363
1987	4.12253505677164	3.9499195558308	4.12850934737798	4.2684553940705	1	0.0831343820882617	4.65317161545067
1987	4.16636179259922	3.98834208388563	4.17511447863521	4.3068167584335	2	0.0827391149242744	4.65205495725325
1987	4.16012034118544	3.98761370211738	4.16627216205034	4.30316455444665	3	0.0821905556076702	4.65351930389522
1987	4.10422790258416	3.91272687986511	4.10786737946933	4.27577209119767	4	0.0965909592224324	4.65017288514593
1987	4.05112301298656	3.8566454446701	4.04860865193215	4.24635054284842	5	0.102860766697328	4.64983721395659
1987	3.99938927822013	3.79910845932691	3.99628229881872	4.20092161050342	6	0.106388287902914	4.63892649889567
1987	4.18561030276364	4.03012752298307	4.19245713396056	4.30821192893569	7	0.0711511417222059	4.65959751396886
1987	4.17749073723461	4.00486817820758	4.18685647772812	4.30666948483826	8	0.077376756167015	4.66022743933405
1987	4.02553580760868	3.82646807690243	4.02296630833107	4.22544393112214	9	0.10594914874362	4.64035177771963
1987	4.01969079201939	3.80827716473341	4.01314834171074	4.23652958373228	10	0.11451266812613	4.64197999031897
1987	4.11729876945797	3.93346303696393	4.12152797805367	4.27963291924581	11	0.0912565016112944	4.64650910936155
