jaar	gem_jaar	gem_og	gem_bg	og_jaar	bg_jaar	lengte_onder_p01_mean	lengte_onder_p05_mean	lengte_onder_p10_mean	lengte_onder_p30_mean	lengte_onder_p01_median	lengte_onder_p05_median	lengte_onder_p10_median	lengte_onder_p30_median	var_sim
1985	0.390951756882904	-1.61977498097995	-0.171509375092968	0.175028123272583	0.873249814670044	0.155331388030943	0.349167922383794	0.68573917857675	5.55593730311032	1e-16	1e-16	0.0206620272088635	3.3316187130091	0.168115690403024
1986	0.688280179718008	-0.885788218907364	0.205008705922065	0.376092416852767	1.25960956553428	0.168176957797659	0.946440282030315	2.3056773943253	12.1107673408721	1e-16	0.377732301466665	1.48419422308109	11.0332505532646	0.0950781777061419
1987	1.19949929235905	-0.294732137768805	0.67203532072717	0.715046940010052	2.0121735677236	0.00292672958958136	0.0180496989459204	0.0542661883668468	0.878931481711523	1e-16	1e-16	1e-16	0.23914573015217	0.0696613344927516
1988	2.10934095001044	0.328630370308917	1.18096356248814	1.35431302390212	3.28529606144623	0.00181142388535975	0.0312396864917421	0.116581323540569	1.89525004297649	1e-16	1e-16	1e-16	0.806852948502378	0.0511039587323328
1989	3.49572722764131	0.890915352478683	1.65267679449599	2.36340707886738	5.17054762141487	3.67034093384364	8.85941931523159	14.1545168205386	35.7296102333787	1.69813054006115	6.29716936044393	11.6442307336119	33.0730520708853	0.0398852202533793
1990	4.62270140394002	1.17294407037243	1.92726395319183	3.14677000088671	6.79088978983768	6.62113668493471	12.3865381813205	17.7582707031965	40.4494768572228	2.67069638015467	7.30836647578181	12.248689224368	34.3452906850581	0.0385045957143504
1991	4.78403551091831	1.17280224207211	1.98582656710011	3.17331010689603	7.21234137186619	1.52613219188164	3.78844697602137	6.44048181505593	21.0598927076176	0.143433336612315	1.41428677552277	3.42828180349691	16.1262060612396	0.0438665665739651
1992	4.45162836529364	1.02169189390405	1.9558500694581	2.78146608791692	7.12465817533233	0.0791348621586431	0.415883927818328	1.01825567765814	6.97958488296022	1e-16	0.0371918456236742	0.381009030851947	5.60850887599776	0.0575735040067958
1993	4.18927026992598	0.940940461168243	1.9057776830187	2.57159493641612	6.82455278860676	0.526895294811943	1.84430516386099	3.82970937261147	17.4084124600651	0.034095149930782	0.833992451979129	2.45116185472228	14.9817130829798	0.0619909018353467
1994	4.08958136454603	0.970654706386641	1.85149715477417	2.61265588731457	6.40140778525285	0.529186882015249	1.79711103863158	3.40593283524651	12.2031699785255	0.0177993464333691	0.695754938366494	1.96945045817789	9.94111689324358	0.0522624676373738
1995	4.00533982015949	1.0165553561766	1.7879166119175	2.69834270441278	5.94540754542388	2.15251211057678	5.20558662604182	8.38855578572853	23.6363149671191	0.996295024273785	3.41470689211015	6.26158235788	19.72768208968	0.0406126658595685
1996	3.59906337503343	0.933193004989817	1.66105426326428	2.4717184403184	5.24058766816434	4.44030031976038	9.05820187354009	13.7005562905907	33.9746444858017	1.75994155971744	6.15562808505363	10.8395436090064	30.1052211223532	0.0367543682171632
1997	2.79982732854281	0.657331724764152	1.42357225851681	1.87465572417483	4.18158543382981	1.50716214885978	3.67136290648755	6.31877838597474	21.0539226176171	0.0990066957849076	1.43751732236799	3.55314862745123	17.177135195428	0.041885531429621
1998	2.06464986162108	0.263206089634004	1.19048029012528	1.26410804168146	3.37216354182971	0.313278114644293	1.01826020373636	2.02016485904942	9.1133277544629	1e-16	0.289001170474785	0.971615521387658	6.69352235816268	0.0626515931917216
1999	1.63112495148448	-0.0771866138341662	1.04148153957135	0.901261658138161	2.95204903407461	0.250624015792783	1.25582735904469	2.90435309686068	14.7191624198524	0.0087216250477482	0.569886025778766	1.86661326572476	12.4422829382486	0.0916080127313275
2000	1.48453511755956	-0.239499649446915	0.990817284705538	0.775983933851948	2.84006461877088	0.0126159617778137	0.117195198685358	0.3947639590504	3.93193857853644	1e-16	1e-16	0.0364160137374157	2.54150097521953	0.109549224115793
2001	1.64180916243865	-0.0912757229921899	1.04911917151706	0.90502978620254	2.97839625497614	0.159047554548666	0.817443593448819	1.88191589153298	9.40302152838797	1e-16	0.142625293450383	0.731290192443897	6.85605289705708	0.0923372883784697
2002	2.12102231005853	0.288559874203995	1.20939455636799	1.32073459331191	3.40623745493397	0.00652654608356437	0.0689058095951941	0.26998048482469	4.36966509589652	1e-16	1e-16	0.0131561322122273	3.00398747228832	0.058413489434349
2003	2.93518103255692	0.719553923031316	1.46142111586279	2.01619039982867	4.27305263164333	4.07931969235254	9.34233277455356	14.5691503298265	35.952228473484	2.6237598017482	7.07805749289266	11.9694137410025	31.5448186235277	0.0367151237151072
2004	3.62822052450442	0.929328722998728	1.68423884756153	2.48168668465377	5.30445049966961	0.916712632779172	2.52859309526067	4.66552143105372	18.9520576904346	1e-16	0.399261012137639	1.50016782783553	12.8566787284974	0.0375497137056267
2005	4.13699957166675	1.04626016544645	1.83374288543679	2.78517146572865	6.14495935584824	1.95016555322726	5.81000340846245	10.3404460207491	32.0449120288129	0.481619775217307	2.84196833323956	6.20820888964092	25.2275912183975	0.04075070278673
2006	4.36704024139505	1.08037172534187	1.90459346062417	2.88923873656476	6.60071465490551	2.29528127890149	5.38631343085948	8.66693721338607	25.5973102273522	1.52028624077942	4.13542865450506	6.98873014766313	21.144637377255	0.0444203872732447
2007	4.44017603637981	1.07353753729264	1.93460357559229	2.88724474697742	6.82836578183432	0.547446284443266	1.21705391282701	2.19669617775372	11.9435600440896	1e-16	0.0238942950419201	0.362048581427258	8.54670950606892	0.0482186367400095
