jaar	mean	p02.5	p50	p97.5	simulatienr
1985	34.5712163764549	27.2383589678037	34.4789756724885	44.5618109955943	1
1985	33.0779409343385	26.2491019716717	32.9956429519772	42.28969333123	2
1985	29.3615847321821	23.2829800622206	29.2890056539653	37.5625193584681	3
1985	32.8880730382427	25.8645471727972	32.7991530845101	42.4789934091727	4
1985	34.450668333818	27.174622213962	34.3593210716542	44.351144259151	5
1985	32.8960352553494	25.92948673612	32.8091356407899	42.3782850855623	6
1985	33.4942009196461	26.3556661373743	33.4040239101529	43.2354071828794	7
1985	33.6322971865224	26.5889972150465	33.5456307396672	43.1819031769481	8
1985	34.4713765945914	27.0974623756939	34.3768916438044	44.5534252018383	9
1985	32.6043362608313	25.7069578469794	32.5180489034032	41.9915129117366	10
1985	33.6620766105346	26.4132489088091	33.5690585029945	43.5921607074597	11
1985	34.5470216684178	27.3778503427715	34.4590117226742	44.2424231171847	12
1985	31.3514387934067	24.6751798041864	31.2676180574151	40.4560580958762	13
1985	32.1064346413359	25.3600083105316	32.0230069683421	41.2646939660013	14
1985	35.664875092694	28.1744297928346	35.5713911963673	45.8378544949671	15
1985	31.8234355270742	25.134491927672	31.7415427359171	40.8984970036592	16
1985	31.9400112883301	25.2741474864142	31.85860922935	40.9652050772369	17
1985	36.6017081824251	28.8581085982832	36.5042620013177	47.1448519768083	18
1985	35.5952638779014	28.0740638596495	35.5008041053683	45.8308097544085	19
1985	33.5124047137245	26.3836301464109	33.4219298559643	43.2382411182182	20
1986	14.1419414490414	11.086518730455	14.107139207835	18.299704391151	1
1986	15.7838384450438	12.4897308392637	15.7476143869224	20.2153979922314	2
1986	16.3055174117775	12.9224859417744	16.2684078568524	20.8490252141799	3
1986	15.8935047021078	12.4723005706286	15.8539267972059	20.5486726921328	4
1986	14.7223028905923	11.5735930821079	14.6865427645074	18.994376795391	5
1986	14.6621123340466	11.5188449321594	14.6265712540026	18.9284163947866	6
1986	15.5480546100172	12.2139882565004	15.5096465593113	20.0787557511274	7
1986	16.5377207601525	13.0570285808763	16.498690433324	21.2362279843136	8
1986	12.3122265356744	9.61185802510907	12.2815500824404	16.0017099956667	9
1986	15.9835836355577	12.5886264194305	15.944666137825	20.5837157342759	10
1986	18.5154547417626	14.528413508513	18.468374396647	23.9479908175136	11
1986	12.345409076637	9.70763034973967	12.3168876630319	15.9130179189101	12
1986	15.9656585166972	12.5348819956105	15.9260011059146	20.6313838248023	13
1986	16.3632850938593	12.9093335184398	16.3242394723881	21.0315689831577	14
1986	13.8850580274672	10.9088688216081	13.8516936503414	17.9223413607779	15
1986	12.8844621540242	10.1207140719969	12.8541285780733	16.6296506877432	16
1986	16.5352844442478	13.0601480697272	16.4963737172517	21.2240657719374	17
1986	17.6716293919471	13.9230348629258	17.6284578718819	22.7505701754984	18
1986	14.492649215269	11.3814062697049	14.4576569543989	18.7157711051729	19
1986	15.5024664266931	12.1789335213839	15.4642515605578	20.0180711942177	20
1987	10.7373912301074	8.38038988462713	10.7127805428194	13.9428916734501	1
1987	9.77021866363428	7.68076801038938	9.74911572906704	12.586234902249	2
1987	8.31845572387926	6.51917282315369	8.30098288222189	10.7459332966379	3
1987	8.99593770471883	6.99712589047892	8.9752226846797	11.7225700552563	4
1987	8.69655990652646	6.76326813415372	8.67780809559027	11.3249607336805	5
