jaar	gem_jaar	og_jaar	bg_jaar	gem_jaar_t	gem_og_t	gem_bg_t	var_sim	og_jaar_t	bg_jaar_t	rdag_onder_p01_mean	rdag_onder_p05_mean	rdag_onder_p10_mean	rdag_onder_p30_mean	rdag_onder_p01_median	rdag_onder_p05_median	rdag_onder_p10_median	rdag_onder_p30_median
1985	16.1184234851816	12.1003617900944	21.4707279133037	2.77996293360987	2.55801619713044	3.01283700293501	0.021400641910164	2.4932353521635	3.06669051505625	12.1236842105263	19.7508771929825	34.369298245614	82.3184210526316	4	10	26	82
1986	17.6284783342762	13.6929699444107	22.6950946101284	2.86951568152629	2.67460669180478	3.06901591517139	0.0166137793905761	2.61688255838754	3.12214880466503	2.42672413793103	6.02155172413793	15.5879310344828	63.1810344827586	0	3	12	62
1987	20.0911739257674	16.1282366562459	25.0278612794979	3.00028061045803	2.81580155574997	3.17644983374913	0.0125656144515163	2.78057156540766	3.2199896555084	1.8	3.93965517241379	9.35689655172414	32.626724137931	0	0	4	27
1988	23.8703458012446	20.1488014669729	28.2792705861429	3.17263692710147	3.02022075063227	3.32176749473664	0.00747802454435008	3.0031448060764	3.34212904812653	1.59913793103448	3.67844827586207	8.78362068965517	30.6931034482759	0	0	3	24
1989	28.4553689804774	24.2699846208803	33.3625272724111	3.34833685912889	3.21626885530458	3.48640438579859	0.00658883999886659	3.18924038607042	3.50743333218737	20.8456896551724	43.3551724137931	87.1413793103448	180.639655172414	17	40	88	192
1990	31.4158011514388	26.5258883702016	37.2071445152975	3.44731098772419	3.31407433942477	3.58407564677331	0.00745137246899143	3.278121175747	3.61650079970138	28.05	54.0974137931034	100.787068965517	208.198275862069	18	41	87	201
1991	31.5239153617777	27.0563460405072	36.7291739338611	3.45074647560573	3.32237393043332	3.58255147849164	0.00607961478228199	3.29792158186255	3.60357136934891	15.2181034482759	32.5577586206897	65.8241379310345	153.577586206897	10	27	59	151
1992	30.3345345411103	25.797047967456	35.6701273334323	3.41228681732106	3.26476878242985	3.55481821477884	0.00683378495959959	3.25026006551507	3.57431356912704	4.69137931034483	10.8810344827586	26.3086206896552	82.3922413793103	2	8	23	81
1993	29.8356188621089	25.0512720901703	35.533690651754	3.3957029435814	3.23663705215566	3.54474801937183	0.00795175616650594	3.22092460828424	3.57048127887857	6.33448275862069	15.6663793103448	36.873275862069	107.987068965517	3	11	32	108
1994	30.4083380928734	25.9303832719419	35.6595973099647	3.4147168501753	3.27167187465908	3.55544995940991	0.00660583044874092	3.25541538046493	3.57401831988567	2.92844827586207	6.44827586206897	15.3939655172414	55.975	0	1	8.5	53.5
1995	31.4129955880396	27.0377581410658	36.4962319237351	3.44722167952328	3.31957319149289	3.58120040110039	0.00585594606185674	3.29723433875337	3.59720902029319	15.7603448275862	29.7163793103448	53.7862068965517	116.143103448276	11	26	54	124
1996	30.8035370410378	26.282061975277	36.1028710430393	3.42762952238077	3.29865479043272	3.56458178889824	0.00655958423554402	3.26888665230698	3.58637239245457	38.2	67.576724137931	112.239655172414	203.525862068966	27	56	105	201
1997	26.9507851610608	23.3339313815267	31.1282659111914	3.29401243092174	3.17239504853748	3.41853571315445	0.00540553904287055	3.14990858368965	3.43811627815384	14.0784482758621	31.9810344827586	68.6387931034483	170.089655172414	10	26	60	159
