jaar	mean	p02.5	p50	p97.5	simulatienr	sd
1985	-1.68449170700617	-2.68594424542663	-1.74642609403797	-0.385549662688087	1	0.59283291349449
1985	-1.54026968102684	-2.42868037774506	-1.58141536731043	-0.433333594324464	2	0.510185803533791
1985	-2.57313842364516	-3.54881394090199	-2.60818436378638	-1.40569975716364	3	0.547171677282829
1985	-2.87836305656617	-3.77054504426703	-2.91151976560159	-1.80213843787025	4	0.502018797117729
1985	-1.9601202587332	-2.97932075542341	-2.00087818648774	-0.732031844075256	5	0.574690759524313
1985	-1.94926431347727	-2.93834711566824	-1.99217242913509	-0.740764917581197	6	0.563052206412274
1985	-1.9513257487298	-2.9838969197739	-1.98824210464398	-0.730907098738653	7	0.57599625784192
1985	-1.64741522376178	-2.6709270299802	-1.69547633017945	-0.39487605846117	8	0.585075191098224
1985	-2.05426841284122	-3.20388434737551	-2.07744049295646	-0.790899063088825	9	0.619540960281664
1985	-1.74051843069163	-2.69143505669122	-1.79012938420765	-0.532595130202055	10	0.553041188455515
1985	-2.18279245202519	-3.06088087693273	-2.21739602001082	-1.11465368968573	11	0.496660464352959
1985	-1.76177591276115	-2.73337038994053	-1.80777450657064	-0.549899052220119	12	0.558709164415275
1985	-2.36708944584213	-3.23962484605956	-2.40118195807264	-1.30651354876946	13	0.493202435697612
1985	-1.86159167962878	-2.94452454019127	-1.9096809691827	-0.554425511986932	14	0.614468230517923
1985	-1.68891350747502	-2.61746107241758	-1.73396482167292	-0.522064614793212	15	0.536072525967687
1985	-1.94250727228426	-2.90284525911721	-1.96999695883605	-0.834160201337899	16	0.526815625672667
1985	-2.78993445851971	-3.6705532417944	-2.82292974187471	-1.72662733746134	17	0.495863783251417
1985	-1.88021798733621	-2.82372543136717	-1.92453704354979	-0.701804904325859	18	0.54277845917013
1985	-1.56422607921162	-2.53045675285834	-1.61242763829603	-0.349892276561437	19	0.558979232067585
1985	-1.68908185113675	-2.75158342289603	-1.74870490880111	-0.348381026556615	20	0.618005699246108
1986	-1.17663037655538	-1.95348891204616	-1.21888026573681	-0.187977731040657	1	0.452848284469042
1986	-1.06595003367228	-1.78553096915542	-1.09261780073934	-0.201979452405573	2	0.403995106000283
1986	-1.80772415843246	-2.52915156568768	-1.8343154465155	-0.939225585463611	3	0.405457149363595
1986	-2.0662782662486	-2.76388528519748	-2.08921300031915	-1.24023995105879	4	0.388124759076945
1986	-1.38968318944481	-2.1891861018612	-1.41754919833754	-0.44290503672079	5	0.445863847267626
1986	-1.38440915490789	-2.14052159883456	-1.41472662154696	-0.468463641709045	6	0.427331895679562
1986	-1.36451825127684	-2.15235740655255	-1.3912119313164	-0.435452955278904	7	0.438524175121515
1986	-1.13794212853248	-1.92169318896878	-1.17159052485099	-0.185342945264546	8	0.444767855810135
1986	-1.49280728106644	-2.41353539819786	-1.50745242771333	-0.495322295010385	9	0.492152613301301
1986	-1.21590111041591	-1.96813230078353	-1.24996508316625	-0.282764919437869	10	0.43060483925931
1986	-1.5392439029751	-2.23071647513016	-1.56305830910989	-0.715320376808995	11	0.386226283401683
1986	-1.18387271753247	-1.92466466118572	-1.21593234716918	-0.27065831170834	12	0.422343054625145
1986	-1.6797052030516	-2.37449144762735	-1.70266781272953	-0.856632969103052	13	0.386814310666596
1986	-1.32053680683599	-2.14751092214575	-1.35443143305932	-0.325933268261581	14	0.466965025741968
1986	-1.15420438953918	-1.88293406740501	-1.18453205191742	-0.26158611982821	15	0.413802287226589
1986	-1.39103236692306	-2.14730410133665	-1.41051118738648	-0.526937084569646	16	0.412772360889313
1986	-2.0068194157359	-2.69971895326679	-2.02945525194807	-1.18714975419312	17	0.385379279433371
1986	-1.30872177682368	-2.03697388987566	-1.33924612302662	-0.414964812990859	18	0.41405495627761
1986	-1.03367761546399	-1.76701025200103	-1.06798348903846	-0.118044258681424	19	0.421448404790076
1986	-1.17415990976814	-2.00734895271618	-1.21389965604794	-0.146644114961757	20	0.476750466840649
1987	-0.664722319337679	-1.28222876494639	-0.682066962540924	0.0460417980186155	1	0.33856122274018
1987	-0.572297105354229	-1.18698719397269	-0.580623397961444	0.0896018970169216	2	0.324692036646181
1987	-1.05747308033302	-1.6550649214514	-1.06820876910224	-0.398774376278631	3	0.319629157763407
1987	-1.2506126607393	-1.86115945915668	-1.25902965437401	-0.59223807111243	4	0.322504951902046
1987	-0.809675473209265	-1.46278420237328	-0.81945252711855	-0.101605247928417	5	0.346569849045983
1987	-0.820757242685706	-1.43547849173576	-0.832175745469805	-0.14209475311324	6	0.329409652596077
1987	-0.777244292864921	-1.40854418568946	-0.787515637848635	-0.0880457273895651	7	0.336264998987406
1987	-0.628368556453894	-1.25434516929683	-0.641116143724502	0.0668494923839652	8	0.336796554329993
1987	-0.913271013599324	-1.65393939963841	-0.915998971940316	-0.154603394530562	9	0.383100552538782
1987	-0.681985314206304	-1.30411304327024	-0.695410165417835	0.0146796645331549	10	0.335741573777709
1987	-0.887587698740116	-1.48508441308623	-0.896061835276778	-0.241797841666508	11	0.31609756047816
1987	-0.607161756584798	-1.20791310444768	-0.619646018515401	0.0638238986925352	12	0.323723322278493
1987	-0.980873230983339	-1.58845524710302	-0.988806256944228	-0.328200436578982	13	0.320305900772991
1987	-0.779224255647056	-1.43057612934417	-0.792341608362206	-0.0567516777198139	14	0.350424954063126
1987	-0.611346915919817	-1.21918010500527	-0.622086027191493	0.0569287636006226	15	0.324662166557186
1987	-0.829024421983322	-1.46655259152882	-0.83520283195438	-0.155358105300021	16	0.333584862465068
1987	-1.21631958566096	-1.82249175627695	-1.22457660697299	-0.563143870783419	17	0.320091491721949
1987	-0.734102035933671	-1.3373677924066	-0.745363945758824	-0.0673605503914938	18	0.32318520257649
1987	-0.506057522323292	-1.10251397215348	-0.519667020670051	0.166324511357033	19	0.32305469161213
1987	-0.651049823260048	-1.31422046658121	-0.666119877813736	0.0923330306141791	20	0.358709567641058
1988	-0.171073500312758	-0.650775918309049	-0.177462169247247	0.344762425136341	1	0.253354740884477
1988	-0.0799323688144633	-0.57635145999342	-0.0846439484889858	0.443148089830199	2	0.259091455287131
1988	-0.344263797965425	-0.843470491786722	-0.350302311662795	0.18905196980709	3	0.262709551868954
1988	-0.459330521693592	-0.970934531209267	-0.464962490170149	0.0841065611280957	4	0.26828594389502
1988	-0.243559570819749	-0.759995704938359	-0.247883342211745	0.297849945326864	5	0.269057129239605
1988	-0.27710502593186	-0.773361452640112	-0.28233714097823	0.24909997885845	6	0.260136247982573
1988	-0.211032883067294	-0.712877274084856	-0.215769763003639	0.31795691997869	7	0.262224742825714
1988	-0.13584999392599	-0.630858427044556	-0.14060490396095	0.386485972928584	8	0.258861308701614
1988	-0.339205930183001	-0.903220442401853	-0.339974332528011	0.231170212308533	9	0.288771947890353
1988	-0.158716473479362	-0.6582929321796	-0.164398635184123	0.37289668456713	10	0.262255691704685
1988	-0.248772940923649	-0.745853353305705	-0.254017931231875	0.277933529512324	11	0.260284297765555
1988	-0.0555749668997497	-0.537411750779159	-0.0616132032150869	0.460286798621036	12	0.253832716325618
1988	-0.295045557597809	-0.800024062809219	-0.300196421333221	0.238883396001144	13	0.264120868797336
1988	-0.257872702559852	-0.76343801407536	-0.262528774110573	0.274707756645554	14	0.264168150683257
1988	-0.0826782673317557	-0.572396166963547	-0.0882517797968919	0.438569795714009	15	0.257055607860042
1988	-0.271316492511855	-0.794273697622655	-0.274898585007566	0.271977342695641	16	0.271105525332174
1988	-0.446297381247999	-0.953560000356969	-0.451812656393414	0.0921476524642472	17	0.265899440499952
1988	-0.179251697249481	-0.667220926955949	-0.185229099574139	0.342487119752148	18	0.256813133549027
1988	0.000614794586388101	-0.482582652448982	-0.00562826030292537	0.518968432669779	19	0.254803057885453
1988	-0.143645500681125	-0.653598571267843	-0.148372818668219	0.393714582485895	20	0.266526391550937
1989	0.255174215484027	-0.150394985055037	0.246578932770891	0.709432091098649	1	0.219067072711059
1989	0.349670610464015	-0.0690202288261625	0.340540280181227	0.820148940312259	2	0.226627879810788
1989	0.260806784566864	-0.174629805738522	0.252056278415635	0.745980834774603	3	0.234575146297911
1989	0.219831567288971	-0.210179098292454	0.210770275574152	0.701259843764431	4	0.232160661934284
1989	0.246830458739422	-0.18627728706057	0.238852659550819	0.725110973536551	5	0.232127886860397
1989	0.190842254871467	-0.23887767399619	0.182495098431675	0.667920690615744	6	0.231034502418356
1989	0.276387091809925	-0.155120130549263	0.269114911119871	0.749427913110302	7	0.230374481215025
1989	0.290782384816318	-0.134652125283196	0.28305768854006	0.759839251389579	8	0.227859172273096
1989	0.168624312002099	-0.278850309552924	0.163131760495249	0.647685848694148	9	0.235697036796591
1989	0.30311721656748	-0.116903024580269	0.294333625000463	0.772898662550125	10	0.226690715847603
1989	0.307920758393289	-0.114062973754092	0.298968513402208	0.780638447902483	11	0.227929067923549
1989	0.409544111024462	-0.00498511278399616	0.40068774975037	0.874393840552312	12	0.22417026324853
1989	0.300313054070345	-0.123744489078388	0.291360328481462	0.775119392533501	13	0.228983687623629
1989	0.19219805150816	-0.23254870197041	0.184710481270666	0.659323319034959	14	0.227151380768928
1989	0.369486550697035	-0.048690506020684	0.360294925546493	0.839940454105307	15	0.226541075450991
1989	0.224223845054739	-0.222368648276999	0.216754154630561	0.71359456201318	16	0.238379064508773
1989	0.219920876108201	-0.206683267487698	0.210898316678277	0.697703993890937	17	0.230381315940815
1989	0.292233686299402	-0.127127686784771	0.28296389971774	0.764258382697304	18	0.22725999349741
1989	0.434362506549873	0.0151133132830132	0.425163810110427	0.905867245041539	19	0.227089704166094
1989	0.29483582230365	-0.124588035408426	0.286992173772076	0.758704219518731	20	0.224983485560097
1990	0.535016378752279	0.115680878143526	0.525851597502937	1.00690150448608	1	0.227826855820728
1990	0.607794316948601	0.179942080327742	0.598844938604405	1.08709471635409	2	0.231788344056557
1990	0.630108685069346	0.190544872460681	0.62117339659719	1.12052837154288	3	0.237194965270524
1990	0.628067996004817	0.199842439793844	0.618939708546811	1.10826714607349	4	0.231636581308871
1990	0.556892475521222	0.117551458652249	0.548688137930215	1.04325775867469	5	0.236414727285877
1990	0.48620353116859	0.0487444493178331	0.477523783675116	0.973168244088085	6	0.23608346689855
1990	0.587949473760295	0.146406574362227	0.580580531478413	1.07189801767597	7	0.236086992629619
1990	0.5680815767287	0.130255250859033	0.560073123214847	1.05183236879865	8	0.235589594102082
1990	0.509851721014651	0.0682329015323798	0.503054710881399	0.990226606704426	9	0.234796511230936
1990	0.61727813608337	0.190575374327086	0.608148703880794	1.09636893211618	10	0.23139932689897
1990	0.655520962385407	0.232033033486065	0.646469399308766	1.13043837870705	11	0.229191124371833
1990	0.684247387701057	0.260352060023667	0.675534793504771	1.15829981644438	12	0.229421446632044
1990	0.665311873367647	0.240258727807663	0.65617433632311	1.14228694652261	13	0.230069066946446
1990	0.486917279495773	0.0534361451850689	0.479003100076187	0.965957636512143	14	0.233099658626072
1990	0.637072312513783	0.209652983928181	0.628059721201382	1.11627768342469	15	0.23162559280839
1990	0.551213717506897	0.0997208578863361	0.543943717621824	1.04492110786829	16	0.241187590491049
