jaar	gem_jaar	og_jaar	bg_jaar	gem_jaar_t	gem_og_t	gem_bg_t	var_sim	og_jaar_t	bg_jaar_t	rdag_onder_p01_mean	rdag_onder_p05_mean	rdag_onder_p10_mean	rdag_onder_p30_mean	rdag_onder_p01_median	rdag_onder_p05_median	rdag_onder_p10_median	rdag_onder_p30_median
1985	13.9670264117412	10.8459237286926	17.9862805295416	2.63669929533217	2.42341145145708	2.85504361513314	0.0166502128151516	2.38378931618804	2.8896092744763	12.1236842105263	19.7508771929825	34.369298245614	82.3184210526316	4	10	26	82
1986	14.1078375499405	11.2778323760159	17.6479906510032	2.64673049755988	2.46023779769451	2.83902604270554	0.0130485669401319	2.42283906235699	2.87062193276277	2.42672413793103	6.02155172413793	15.5879310344828	63.1810344827586	0	3	12	62
1987	14.2537035364256	11.6775439666027	17.3981845056943	2.65701677024023	2.49241739583377	2.82707337866943	0.0103446637845845	2.45766767845685	2.85636586202362	1.8	3.93965517241379	9.35689655172414	32.626724137931	0	0	4	27
1988	14.3973369144574	12.0290211824076	17.2319349251416	2.66704325298308	2.51924542648077	2.81904889261825	0.00840786926285374	2.4873221619554	2.84676434401076	1.59913793103448	3.67844827586207	8.78362068965517	30.6931034482759	0	0	3	24
1989	14.5236575085733	12.3150967772428	17.1282963700399	2.67577887220639	2.54010632675246	2.8142720107773	0.00708285254321096	2.51082589002662	2.84073185438616	20.8456896551724	43.3551724137931	87.1413793103448	180.639655172414	17	40	88	192
1990	14.6097636956796	12.5238208368789	17.0431370764317	2.68169005148257	2.55463912191301	2.81098855944149	0.00617808461400691	2.52763249777887	2.83574760518627	28.05	54.0974137931034	100.787068965517	208.198275862069	18	41	87	201
1991	14.6454415252915	12.6611288024963	16.940745238169	2.68412912836	2.56360404063591	2.8073677309269	0.00551780284333811	2.53853657565565	2.82972168106434	15.2181034482759	32.5577586206897	65.8241379310345	153.577586206897	10	27	59	151
1992	14.6453014957708	12.7455041412779	16.8282755648237	2.68411956701014	2.56858034759052	2.8033871287994	0.00502514427449735	2.5451785930503	2.82306054096998	4.69137931034483	10.8810344827586	26.3086206896552	82.3922413793103	2	8	23	81
1993	14.6258554656648	12.7924914814425	16.7219691654932	2.68279088478604	2.57086643114828	2.79935790633782	0.00466938557046373	2.5488583957944	2.81672337377767	6.33448275862069	15.6663793103448	36.873275862069	107.987068965517	3	11	32	108
1994	14.5925442684631	12.8104789324915	16.6225126593016	2.6805107317361	2.57107178908284	2.79497694006271	0.00441595707444214	2.55026350260175	2.81075796087046	2.92844827586207	6.44827586206897	15.3939655172414	55.975	0	1	8.5	53.5
1995	14.5411532775254	12.8015227409114	16.5171865035046	2.67698278653386	2.56917872821858	2.78943042863973	0.00422623764752939	2.5495641279836	2.80440144508413	15.7603448275862	29.7163793103448	53.7862068965517	116.143103448276	11	26	54	124
1996	14.4592385173215	12.7577974117905	16.3875919763059	2.67133355402457	2.56432246652763	2.78163537917293	0.00407974889509771	2.54614264638584	2.79652446166329	38.2	67.576724137931	112.239655172414	203.525862068966	27	56	105	201
1997	14.339083359587	12.6667044104486	16.2322657046913	2.66298891120279	2.55539365967515	2.77153876830996	0.00400327757155204	2.53897685082609	2.78700097157949	14.0784482758621	31.9810344827586	68.6387931034483	170.089655172414	10	26	60	159
1998	14.2162747900464	12.5436712060648	16.1119073982418	2.65438742029739	2.54422170569685	2.76281230038824	0.00407846245564291	2.52921625201332	2.77955858858145	4.92931034482759	11.1318965517241	25.1793103448276	74.4112068965517	2	8	22	67
1999	14.1248492752936	12.4212210135411	16.0621380806494	2.6479356061999	2.5337632194003	2.75801029694101	0.00430022945863271	2.51940638194221	2.77646483045759	4.29396551724138	10.1862068965517	24.373275862069	80.2663793103448	1	5	17	80
2000	14.08665775613	12.334602748549	16.0875814798072	2.64522809096849	2.52694555652264	2.75795427119743	0.00459210537114184	2.51240854423767	2.7780476376993	1.9051724137931	4.48965517241379	11.2758620689655	43.0413793103448	0	1	6	38
2001	14.1152148498832	12.3131838494456	16.1809725814607	2.64725328297701	2.52597923219978	2.7626722208267	0.00485600896308747	2.51067054602758	2.78383601992644	1.97241379310345	4.68793103448276	11.8974137931034	45.2543103448276	0	1	5	37.5
2002	14.2169403238975	12.3731144265148	16.3355308296616	2.65443423412752	2.5318650685777	2.77186500312726	0.00502278157897989	2.51552592727077	2.79334254098427	1.56810344827586	3.71120689655172	9.54827586206897	39.2560344827586	0	0	4	34
2003	14.3911938373096	12.515454382434	16.5480576041812	2.66661648043994	2.54424242055554	2.78514904986839	0.00507672602653802	2.52696423125094	2.80626872962895	19.9836206896552	41.5629310344828	80.7965517241379	175.097413793103	15	36.5	78	175.5
2004	14.6304498483867	12.7270188222803	16.8185547420921	2.6831049629111	2.56157400277266	2.8021162145551	0.00505678904948766	2.54372719993396	2.82248272588824	7.43965517241379	18.2758620689655	44.8991379310345	138.797413793103	4	13	35	124
2005	14.9387945046229	13.0098950205122	17.1536804024546	2.7039614873342	2.58357710284886	2.82283187099392	0.00497537796548639	2.56571022335367	2.84221275131472	21.3258620689655	40.2551724137931	77.7525862068966	190.027586206897	16	34	72	187
2006	15.3100362688171	13.3496542733168	17.5582981966062	2.72850857862936	2.60894783192182	2.8469947576079	0.00488701513153889	2.59149048738109	2.86552666987764	20.6396551724138	41.0318965517241	77.2905172413793	179.364655172414	18	40	75	176.5
