jaar	gem_jaar	og_jaar	bg_jaar	gem_jaar_t	gem_og_t	gem_bg_t	var_sim	og_jaar_t	bg_jaar_t	rdag_onder_p01_mean	rdag_onder_p05_mean	rdag_onder_p10_mean	rdag_onder_p30_mean	rdag_onder_p01_median	rdag_onder_p05_median	rdag_onder_p10_median	rdag_onder_p30_median
1985	71.0195771236848	60.0687166448829	83.9668402547214	4.26295557317005	4.10699423241161	4.42439373776608	0.0073003413678801	4.09548918430695	4.43042196203315	12.1236842105263	19.7508771929825	34.369298245614	82.3184210526316	4	10	26	82
1986	56.8074843904919	49.6927442717036	64.940874770999	4.03966808448478	3.92028960380307	4.16120439960764	0.00466078959439704	3.90585893193595	4.17347723703361	2.42672413793103	6.02155172413793	15.5879310344828	63.1810344827586	0	3	12	62
1987	51.782426968431	43.3441233656234	61.8635130793198	3.94705084399423	3.79063933984659	4.10590889806485	0.00823646191790787	3.76917113153709	4.12493055645137	1.8	3.93965517241379	9.35689655172414	32.626724137931	0	0	4	27
1988	67.8765208902198	57.7227580084531	79.8163886674603	4.21769018522545	4.070333068483	4.36496484536557	0.00683479033436667	4.05565151530835	4.37972885514255	1.59913793103448	3.67844827586207	8.78362068965517	30.6931034482759	0	0	3	24
1989	117.879066937724	104.585409417488	132.862456622797	4.76965924248123	4.66252326690448	4.87962520574695	0.00372692744407768	4.65000405258472	4.88931443237774	20.8456896551724	43.3551724137931	87.1413793103448	180.639655172414	17	40	88	192
1990	155.945694983872	137.046753582502	177.45082716872	5.04950783756776	4.93382777570159	5.16811092968391	0.00434426953408561	4.92032213463534	5.17869354050018	28.05	54.0974137931034	100.787068965517	208.198275862069	18	41	87	201
1991	143.808011025841	127.682488597381	161.97008894791	4.96847915323343	4.85728066125778	5.08281281725429	0.00368204560946684	4.84954662440583	5.08741168206103	15.2181034482759	32.5577586206897	65.8241379310345	153.577586206897	10	27	59	151
1992	113.121839850319	99.6675883120047	128.392297514637	4.7284654666051	4.60837833741962	4.84926295399703	0.00417374897816504	4.60184053195746	4.85509040125274	4.69137931034483	10.8810344827586	26.3086206896552	82.3922413793103	2	8	23	81
1993	98.3386699206083	86.0309097036502	112.40720381856	4.58841733657819	4.46369496818363	4.71539263420787	0.00465393287973194	4.45470664683808	4.72212802631831	6.33448275862069	15.6663793103448	36.873275862069	107.987068965517	3	11	32	108
1994	96.6945347427795	83.7260306185411	111.671758233957	4.57155688320725	4.43659216046589	4.70705008170067	0.00539827236008853	4.42754992817203	4.71556383824247	2.92844827586207	6.44827586206897	15.3939655172414	55.975	0	1	8.5	53.5
1995	120.554574910183	106.983079210401	135.847702637092	4.79210255421968	4.67834538583717	4.90724799208281	0.00371302886484435	4.67267068373619	4.91153442470317	15.7603448275862	29.7163793103448	53.7862068965517	116.143103448276	11	26	54	124
1996	148.336546513207	131.802063894945	166.945269149983	4.9994836551503	4.88781666777324	5.11415234913503	0.00363574383151008	4.88130128123977	5.11766602906084	38.2	67.576724137931	112.239655172414	203.525862068966	27	56	105	201
1997	135.965217580807	120.459282865134	153.467129739547	4.91239909994336	4.79860521242285	5.02925719936406	0.003816674195436	4.79131179429497	5.03348640559175	14.0784482758621	31.9810344827586	68.6387931034483	170.089655172414	10	26	60	159
1998	96.8220922304217	85.7260411131992	109.35437379521	4.57287519376393	4.45964572700237	4.68840941591697	0.00385657163190718	4.45115664307779	4.69459374445008	4.92931034482759	11.1318965517241	25.1793103448276	74.4112068965517	2	8	22	67
1999	69.4009019006723	61.4531642200753	78.376520489295	4.23989986311524	4.12664933521713	4.35476096577003	0.00385061633599642	4.11827532728318	4.3615243989473	4.29396551724138	10.1862068965517	24.373275862069	80.2663793103448	1	5	17	80
2000	52.8961470898693	46.1945664239987	60.5699456354132	3.96833050237184	3.84125752111521	4.09741747476963	0.00477708923723583	3.83286218130095	4.10379882344273	1.9051724137931	4.48965517241379	11.2758620689655	43.0413793103448	0	1	6	38
2001	51.9988533226286	45.0344620483878	60.0402585904774	3.95122166685038	3.81680677725354	4.08801598702351	0.0053822919829707	3.80742801997479	4.09501531372596	1.97241379310345	4.68793103448276	11.8974137931034	45.2543103448276	0	1	5	37.5
2002	68.4467522904167	60.0139657393473	78.0644611864741	4.22605610415766	4.09961862243262	4.35253165044849	0.00449986375748211	4.09457729745961	4.35753491085571	1.56810344827586	3.71120689655172	9.54827586206897	39.2560344827586	0	0	4	34
2003	112.539240843388	100.260903115237	126.321231268477	4.72330196832207	4.61549132293181	4.83410036008578	0.00347414906690128	4.60777581952705	4.83882811711708	19.9836206896552	41.5629310344828	80.7965517241379	175.097413793103	15	36.5	78	175.5
2004	149.389954663715	132.775147458503	168.083854408084	5.00656003257815	4.89374600790468	5.12273909625914	0.00361857219864144	4.88865707689721	5.12446298825908	7.43965517241379	18.2758620689655	44.8991379310345	138.797413793103	4	13	35	124
2005	168.041232900363	149.893163865943	188.386549635635	5.12420938322001	5.01317067286211	5.23842910765484	0.00339999563526866	5.0099227994385	5.23849596700152	21.3258620689655	40.2551724137931	77.7525862068966	190.027586206897	16	34	72	187
2006	157.536818069721	140.70135957237	176.386703888013	5.05965919646882	4.94968893843115	5.17181123007336	0.00332502683390085	4.94663962699029	5.17267876594736	20.6396551724138	41.0318965517241	77.2905172413793	179.364655172414	18	40	75	176.5
2007	135.512406172832	118.930287947047	154.40652287773	4.90906319459962	4.78424179304971	5.03415797760166	0.00443485928124099	4.77853750588351	5.03958888331573	9.49051724137931	19.5172413793103	38.8396551724138	102.877586206897	6	15	34	96.5
2008	133.185156018509	117.112492759167	151.463651449655	4.89174031059376	4.76776899121203	5.01588717214953	0.00430532562346409	4.76313494944929	5.02034567173823	5.53879310344828	12.2991379310345	28.0827586206897	91.5939655172414	3	8	23	83
2009	151.11994910152	135.378978911859	168.691174952018	5.01807388638484	4.91030760584313	5.12825787110049	0.00314948817048691	4.90807809666658	5.12806967610309	23.876724137931	45.3051724137931	87.1879310344828	204.128448275862	18	39	78	198
2010	152.288612205787	135.975678262606	170.558600654853	5.02577748498333	4.91590865109625	5.13839301670771	0.00334163341372106	4.91247603343856	5.13907893652809	15.2646551724138	31.5620689655172	61.1818965517241	143.365517241379	12	27	55	140
2011	142.890662561123	127.538507731677	160.090797754297	4.96207974033151	4.85235906348458	5.07440434547894	0.00336289926825035	4.84841834042411	5.07574114023892	34.0120689655172	54.4672413793103	86.4474137931035	169.148275862069	33	52	82	162
2012	124.194919407908	110.132900978393	140.052408224158	4.8218522621241	4.70657414456243	4.93845971548522	0.00375871808970533	4.70168782723003	4.94201669701817	4.61293103448276	11.0215517241379	27.2672413793103	100.787068965517	1	6	21	95
2013	116.905622709825	103.78394477171	131.686309006991	4.76136696578005	4.64727883675869	4.87694300332988	0.00368967496226587	4.6423112841221	4.88042264743801	4.40689655172414	10.8491379310345	28.6956896551724	109.168103448276	2	6	22	104
2014	118.175281543548	105.493835169083	132.381168487367	4.77216895910547	4.66228864005553	4.88422882037211	0.00335432701879341	4.65865251679249	4.88568540141845	11.2655172413793	23.073275862069	47.7258620689655	126.09224137931	5	16	43	128
2015	120.070085320292	107.036844375392	134.690306622462	4.7880756166303	4.67716122469677	4.90118354698888	0.00343674116176036	4.67317311514744	4.90297811811316	8.63534482758621	21.2612068965517	50.8241379310345	147.4	6	18	46	146
2016	121.825526423881	107.159749008774	138.498447651651	4.80258990986844	4.67934166621462	4.92611695640856	0.00428284817999187	4.67432070246364	4.93085911727325	6.18620689655172	13.6379310344828	23.6103448275862	73.2439655172414	1	6	16	71
2017	149.848103575326	132.840703223087	169.032936444282	5.00962213819595	4.89526590244992	5.12634551538127	0.00377794923185259	4.8891506902546	5.1300935861373	16.1629310344828	36.4922413793103	64.1784482758621	169.416379310345	13	32	56	164
2018	191.31557342361	163.137841067231	224.360261205865	5.25392428151542	5.09986907337749	5.41365416340217	0.00660809623037347	5.09459549416485	5.41325306886599	78.9112068965517	111.296551724138	137.004310344828	199.894827586207	81	119	150	206
