jaar	mean	p02.5	p50	p97.5	simulatienr	sd	intercept
1985	2.61525801225251	2.39990343121482	2.61503083551372	2.83177205476408	1	0.109793842762754	2.80946445884822
1985	2.62518464812191	2.41131420927522	2.62514086314952	2.83883919803844	2	0.108611857865077	2.8126488737905
1985	2.52481935271635	2.25931349759168	2.52777592382786	2.77508734630184	3	0.131578646151201	2.79809979556575
1985	2.61420694301724	2.41433040119769	2.61250345731135	2.82360396493257	4	0.104280637667108	2.79959999988438
1985	2.63473278056512	2.43274098765908	2.63323291291183	2.84513135513494	5	0.105000417032836	2.78008197607257
1985	2.53273573291302	2.32756054172074	2.53133456280709	2.7455565611664	6	0.106407668569809	2.7612623172936
1985	2.60223310003617	2.40005254540726	2.59980437815029	2.81775908786619	7	0.106507740602018	2.79816336458929
1985	2.70244468924359	2.49279312240682	2.70177326717865	2.91585834676325	8	0.107657735441991	2.81019499629082
1985	2.64845712323317	2.40637555883781	2.64911371382127	2.88674671634785	9	0.122167061230262	2.77313025858456
1985	2.5758232497276	2.37816569342259	2.57357581242608	2.78568796223153	10	0.103868959957348	2.79955816085512
1985	2.60774427633038	2.39025900487241	2.60756823662613	2.82575669373843	11	0.110633148326224	2.80441567477495
1985	2.73841243427971	2.52549929101864	2.73751472907964	2.9562573481964	12	0.109584829565777	2.81199149105109
1985	2.71020548136535	2.4991779917357	2.70862830460391	2.93009575932628	13	0.109709424619721	2.8276987837535
1985	2.53044560865676	2.33276049332386	2.52863331953779	2.73792380206007	14	0.103161869559211	2.7748325347027
1985	2.66278148703416	2.44108445257486	2.66214714922079	2.88775512075347	15	0.113570255055221	2.7724501709097
1985	2.66370333547631	2.44978442040635	2.66281693931163	2.88237266977103	16	0.110004037014421	2.80696102818064
1985	2.62211947296226	2.41121332563957	2.62058631748544	2.84153584518241	17	0.10957354118963	2.77829918747254
1985	2.68541511703623	2.47760244409549	2.68350132468326	2.90410405575178	18	0.10868099971215	2.79994934120616
1985	2.75770250752694	2.55070106114212	2.75665050503282	2.97052845648636	19	0.106833909210533	2.84678927951856
1985	2.67956055414865	2.46759655559892	2.67830117298541	2.89849995784951	20	0.10969907497205	2.79750271887937
1986	2.62927012289539	2.44315205085502	2.62867309020278	2.81875018403965	1	0.0956408239023636	2.80946445884822
1986	2.64083831709158	2.4561046902985	2.64027506623814	2.82858684674824	2	0.0947958518236789	2.8126488737905
1986	2.56485589563292	2.3456263358717	2.56609682987238	2.77759941386268	3	0.110105892573743	2.79809979556575
1986	2.62031470241038	2.44236296056604	2.61890782457477	2.80622323053234	4	0.0927647221205958	2.79959999988438
1986	2.63969142968917	2.46101745235996	2.63838010613962	2.82586835268449	5	0.0929937576088066	2.78008197607257
1986	2.54529991100901	2.36356537151994	2.5440288130772	2.73420848216714	6	0.0944548461313448	2.7612623172936
1986	2.61286572405272	2.43115691931527	2.61091358380794	2.80550057204953	7	0.0955504431714687	2.79816336458929
1986	2.70615296549551	2.52440331851041	2.70534892249143	2.89250667510971	8	0.0937558002163689	2.81019499629082
1986	2.66366629138661	2.45901161175714	2.66346892535619	2.86942504801875	9	0.104470616956302	2.77313025858456
1986	2.58949491157122	2.41226267824011	2.58763597425417	2.77718815060429	10	0.0931411196096522	2.79955816085512
1986	2.62373747617545	2.43520751759103	2.62307309062407	2.81582174998674	11	0.0968745449770873	2.80441567477495
1986	2.74039175706419	2.55528604659859	2.73935734200401	2.93134284093782	12	0.0957994192945055	2.81199149105109
1986	2.71346854677862	2.52696912426369	2.71206905459893	2.90798172131571	13	0.0971096285841386	2.8276987837535
1986	2.54551561613799	2.36944136134801	2.54394512125575	2.73041939203032	14	0.0920337362092321	2.7748325347027
1986	2.67128937843375	2.47806916361775	2.67036105775064	2.86973786196461	15	0.0997294761952442	2.7724501709097
1986	2.67204192291894	2.48489663062092	2.67100700743519	2.86494886317287	16	0.0967773356431945	2.80696102818064
1986	2.62927480814866	2.44204044414417	2.62792882055231	2.82417591967531	17	0.097392653607177	2.77829918747254
1986	2.68396029696538	2.49879141207185	2.68246643313407	2.87774584104766	18	0.0966355323386294	2.79994934120616
1986	2.75920990949242	2.57856361086686	2.7581351152365	2.94596473068018	19	0.0935870020818858	2.84678927951856
1986	2.68326996784772	2.49682725347324	2.68206854976977	2.8765249774827	20	0.0967247769568289	2.79750271887937
1987	2.64376665489937	2.48134977345015	2.64303267688328	2.81042899386437	1	0.0838536269157234	2.80946445884822
1987	2.65684480404902	2.49551545561901	2.65607845653092	2.8226022054004	2	0.0833546282610119	2.8126488737905
1987	2.60504311452702	2.42438981027573	2.60513339894248	2.78536903618922	3	0.0919676948865993	2.79809979556575
1987	2.62671050692948	2.46705666095903	2.62564039847173	2.79256100832618	4	0.0830077982544873	2.79959999988438
1987	2.64481142205604	2.48514298458432	2.64377976135484	2.81042310459847	5	0.0829264041540198	2.78008197607257
1987	2.55826033040643	2.39572119349014	2.55723565574278	2.726692100305	6	0.0844040215942323	2.7612623172936
1987	2.62370904526324	2.45905017210358	2.62227770072083	2.7965404985806	7	0.0861809862890069	2.79816336458929
1987	2.71044091747875	2.55132397285828	2.70966140248769	2.87401380118161	8	0.0822246096301266	2.81019499629082
1987	2.67909855997155	2.5044392645132	2.67847086219013	2.85735335855111	9	0.0899217187736594	2.77313025858456
1987	2.60321892081703	2.44255256461141	2.60184345401127	2.77174641141627	10	0.0840536603239772	2.79955816085512
1987	2.63989666078258	2.47472645893332	2.63905477142091	2.80990159834319	11	0.0854115479239901	2.80441567477495
