jaar	gem_jaar	gem_og	gem_bg	og_jaar	bg_jaar	rdag_onder_p01_mean	rdag_onder_p05_mean	rdag_onder_p10_mean	rdag_onder_p30_mean	rdag_onder_p01_median	rdag_onder_p05_median	rdag_onder_p10_median	rdag_onder_p30_median
1985	33.4126200013911	26.3606669938616	43.00277451122	22.8513727825266	52.9406876807909	12.1236842105263	19.7508771929825	34.369298245614	82.3184210526316	4	10	26	82
1986	15.3026079931308	12.0394170183978	19.7260217392494	8.5231452976291	28.6752219116329	2.42672413793103	6.02155172413793	15.5879310344828	63.1810344827586	0	3	12	62
1987	9.13744314371705	7.13678146554621	11.855013036339	4.09552241776074	19.5202827232517	1.8	3.93965517241379	9.35689655172414	32.626724137931	0	0	4	27
1988	8.96588831643271	6.95664564090891	11.7152691841421	4.37690831459792	18.2132005903798	1.59913793103448	3.67844827586207	8.78362068965517	30.6931034482759	0	0	3	24
1989	83.3960345866351	66.4005692927746	106.279809533588	43.7223741500346	155.850474170262	20.8456896551724	43.3551724137931	87.1413793103448	180.639655172414	17	40	88	192
1990	101.486846213389	80.5042167759853	129.815936709459	47.550228503992	207.164896521834	28.05	54.0974137931034	100.787068965517	208.198275862069	18	41	87	201
1991	66.2773769462914	52.5341503096971	84.8429475280543	39.2122463682167	119.217076046949	15.2181034482759	32.5577586206897	65.8241379310345	153.577586206897	10	27	59	151
1992	27.1257247529613	21.3705121713569	34.9425146676664	11.7867365619612	59.8628499239968	4.69137931034483	10.8810344827586	26.3086206896552	82.3922413793103	2	8	23	81
1993	35.7502398713516	28.3623230433955	45.7192980917163	22.4983249580349	61.287725679717	6.33448275862069	15.6663793103448	36.873275862069	107.987068965517	3	11	32	108
1994	15.6455283210369	12.2248288107135	20.3164056947003	8.40461766917437	30.5119060027888	2.92844827586207	6.44827586206897	15.3939655172414	55.975	0	1	8.5	53.5
1995	52.7513605975098	41.8508978229416	67.4773961432346	35.8067881265451	83.4999987202638	15.7603448275862	29.7163793103448	53.7862068965517	116.143103448276	11	26	54	124
1996	111.435421419348	88.5152585779751	142.338948889618	57.3518217950648	225.353970888208	38.2	67.576724137931	112.239655172414	203.525862068966	27	56	105	201
1997	68.773950376741	54.5402398102288	87.9995510185445	31.1741892055163	146.627500890246	14.0784482758621	31.9810344827586	68.6387931034483	170.089655172414	10	26	60	159
1998	25.7800879577751	20.3218425175109	33.1866283288551	13.2471712001722	52.1938146614018	4.92931034482759	11.1318965517241	25.1793103448276	74.4112068965517	2	8	22	67
1999	23.3185741322061	18.4288025789706	29.9280960906969	15.042458033062	38.3053940233902	4.29396551724138	10.1862068965517	24.373275862069	80.2663793103448	1	5	17	80
2000	11.1485471711705	8.72485380122337	14.4420984403621	7.0152978737311	18.8849519955467	1.9051724137931	4.48965517241379	11.2758620689655	43.0413793103448	0	1	6	38
2001	11.3939127226058	8.93543681292027	14.7260597176698	7.21571212619319	19.1308426998628	1.97241379310345	4.68793103448276	11.8974137931034	45.2543103448276	0	1	5	37.5
2002	9.760708069781	7.58542762722676	12.7361392719679	6.0478193796092	16.5790803132488	1.56810344827586	3.71120689655172	9.54827586206897	39.2560344827586	0	0	4	34
2003	76.5309840238801	60.965758465056	97.4760125290353	52.7599192626356	115.957050205758	19.9836206896552	41.5629310344828	80.7965517241379	175.097413793103	15	36.5	78	175.5
2004	46.7892783588252	36.9165141108928	60.1873798382033	31.417708932217	74.8324502695629	7.43965517241379	18.2758620689655	44.8991379310345	138.797413793103	4	13	35	124
2005	78.1385363199607	61.979612005206	99.9584573967409	46.1914707076679	136.54434606817	21.3258620689655	40.2551724137931	77.7525862068966	190.027586206897	16	34	72	187
2006	77.0400319998304	61.1511460187114	98.4893505522349	54.4415690005829	118.996365794256	20.6396551724138	41.0318965517241	77.2905172413793	179.364655172414	18	40	75	176.5
2007	39.1344569384605	30.9452456315321	50.225629582809	25.6913950537908	64.4917675562674	9.49051724137931	19.5172413793103	38.8396551724138	102.877586206897	6	15	34	96.5
2008	29.0506230112	22.8778774071111	37.441897767087	18.1630114395548	50.6480887414971	5.53879310344828	12.2991379310345	28.0827586206897	91.5939655172414	3	8	23	83
2009	85.5389012122194	67.9961452960999	109.18492737989	62.7257469007733	121.361716301169	23.876724137931	45.3051724137931	87.1879310344828	204.128448275862	18	39	78	198
2010	62.7782071985848	49.6625772680143	80.5463709613812	44.6011872922148	94.7511244609166	15.2646551724138	31.5620689655172	61.1818965517241	143.365517241379	12	27	55	140
2011	84.2980880767005	67.0407358669251	107.558955413591	62.5673497009251	120.272740191486	34.0120689655172	54.4672413793103	86.4474137931035	169.148275862069	33	52	82	162
2012	28.0114688009508	22.0741735762688	36.074693311738	19.8472053400655	42.1070291403004	4.61293103448276	11.0215517241379	27.2672413793103	100.787068965517	1	6	21	95
2013	28.802410778487	22.7427253636249	37.0139011889542	20.0847510529717	44.2882339575866	4.40689655172414	10.8491379310345	28.6956896551724	109.168103448276	2	6	22	104
2014	47.4791811137629	37.6402144681984	60.7716715770268	31.7558792880928	75.4027235246812	11.2655172413793	23.073275862069	47.7258620689655	126.09224137931	5	16	43	128
2015	49.9901910829235	39.6761503584582	63.9130173294578	31.0207490870234	87.5204706646357	8.63534482758621	21.2612068965517	50.8241379310345	147.4	6	18	46	146
2016	24.0034909799369	18.8522331631959	31.0199338691975	15.5283402907598	39.3143856286388	6.18620689655172	13.6379310344828	23.6103448275862	73.2439655172414	1	6	16	71
