jaar	gem_jaar	gem_og	gem_bg	og_jaar	bg_jaar	lengte_onder_p01_mean	lengte_onder_p05_mean	lengte_onder_p10_mean	lengte_onder_p30_mean	lengte_onder_p01_median	lengte_onder_p05_median	lengte_onder_p10_median	lengte_onder_p30_median
1985	0.0805887879549745	0.0237974555744236	0.319093353132445	0.0236012229728246	0.340787017575585	0.155331388030943	0.349167922383794	0.68573917857675	5.55593730311032	1e-16	1e-16	0.0206620272088635	3.3316187130091
1986	0.152329664616439	0.0610691497508689	0.455724169228863	0.0608900889159869	0.472936226045733	0.168176957797659	0.946440282030315	2.3056773943253	12.1107673408721	1e-16	0.377732301466665	1.48419422308109	11.0332505532646
1987	0.00205499290533782	0.00054698743862408	0.00865845027227559	0.0005461545967052	0.00884628355945824	0.00292672958958136	0.0180496989459204	0.0542661883668468	0.878931481711523	1e-16	1e-16	1e-16	0.23914573015217
1988	0.00200855752111916	0.000530941651606579	0.00952387480814275	0.000529623221733345	0.00980665060992838	0.00181142388535975	0.0312396864917421	0.116581323540569	1.89525004297649	1e-16	1e-16	1e-16	0.806852948502378
1989	3.16455878957388	1.31508392292227	9.15034781859387	1.25148949294221	16.3055423968313	3.67034093384364	8.85941931523159	14.1545168205386	35.7296102333787	1.69813054006115	6.29716936044393	11.6442307336119	33.0730520708853
1990	5.53494023319651	2.20763693180881	16.9539374630195	2.16526549173473	23.587502570766	6.62113668493471	12.3865381813205	17.7582707031965	40.4494768572228	2.67069638015467	7.30836647578181	12.248689224368	34.3452906850581
1991	1.23833828999226	0.482007789996932	3.8962810635623	0.466959355500216	4.98984502604228	1.52613219188164	3.78844697602137	6.44048181505593	21.0598927076176	0.143433336612315	1.41428677552277	3.42828180349691	16.1262060612396
1992	0.0867420769177793	0.0294237545364864	0.319521579297373	0.0289041330439171	0.381059816689272	0.0791348621586431	0.415883927818328	1.01825567765814	6.97958488296022	1e-16	0.0371918456236742	0.381009030851947	5.60850887599776
1993	0.410690988606395	0.158065339497568	1.29885640087533	0.153239502070632	1.56537627549988	0.526895294811943	1.84430516386099	3.82970937261147	17.4084124600651	0.034095149930782	0.833992451979129	2.45116185472228	14.9817130829798
1994	0.628967124160223	0.235385443069399	2.07237813878111	0.231175445825332	2.42928785522515	0.529186882015249	1.79711103863158	3.40593283524651	12.2031699785255	0.0177993464333691	0.695754938366494	1.96945045817789	9.94111689324358
1995	2.2774608158346	0.884054369505386	7.18027563260294	0.858839442290274	8.40685927838422	2.15251211057678	5.20558662604182	8.38855578572853	23.6363149671191	0.996295024273785	3.41470689211015	6.26158235788	19.72768208968
1996	3.99858381701211	1.58595491326884	12.3282392002658	1.56175847864475	14.6070959479827	4.44030031976038	9.05820187354009	13.7005562905907	33.9746444858017	1.75994155971744	6.15562808505363	10.8395436090064	30.1052211223532
1997	1.25949885195623	0.480789233154625	4.03818455538706	0.47286644956798	4.64819327897109	1.50716214885978	3.67136290648755	6.31877838597474	21.0539226176171	0.0990066957849076	1.43751732236799	3.55314862745123	17.177135195428
1998	0.254659646521591	0.0926365998715038	0.861199638969799	0.0901667940829755	1.07965990938944	0.313278114644293	1.01826020373636	2.02016485904942	9.1133277544629	1e-16	0.289001170474785	0.971615521387658	6.69352235816268
1999	0.234897560775626	0.0917062688583578	0.730254335769595	0.0906854005283483	0.78493062576304	0.250624015792783	1.25582735904469	2.90435309686068	14.7191624198524	0.0087216250477482	0.569886025778766	1.86661326572476	12.4422829382486
2000	0.0175546381911894	0.00576937590554718	0.0664680806303427	0.00574017899783523	0.0695831295795765	0.0126159617778137	0.117195198685358	0.3947639590504	3.93193857853644	1e-16	1e-16	0.0364160137374157	2.54150097521953
2001	0.140028637119795	0.0551350820619853	0.427693994930475	0.0548298558793587	0.449163714422625	0.159047554548666	0.817443593448819	1.88191589153298	9.40302152838797	1e-16	0.142625293450383	0.731290192443897	6.85605289705708
2002	0.0113646769654922	0.00300674987150288	0.0532970156397648	0.00298308715210532	0.0597598400857345	0.00652654608356437	0.0689058095951941	0.26998048482469	4.36966509589652	1e-16	1e-16	0.0131561322122273	3.00398747228832
2003	3.35126438667475	1.40089416473523	9.63379631290061	1.34721999922407	18.0375252324126	4.07931969235254	9.34233277455356	14.5691503298265	35.952228473484	2.6237598017482	7.07805749289266	11.9694137410025	31.5448186235277
2004	0.722285382974686	0.258041985211135	2.49382462266203	0.255505687549907	2.7117922591911	0.916712632779172	2.52859309526067	4.66552143105372	18.9520576904346	1e-16	0.399261012137639	1.50016782783553	12.8566787284974
2005	1.7601281565092	0.676875027649304	5.61624971673614	0.661893493710533	7.05343536072239	1.95016555322726	5.81000340846245	10.3404460207491	32.0449120288129	0.481619775217307	2.84196833323956	6.20820888964092	25.2275912183975
2006	2.17008845982186	0.86475800887487	6.63216045857775	0.850623341917843	7.63467494968972	2.29528127890149	5.38631343085948	8.66693721338607	25.5973102273522	1.52028624077942	4.13542865450506	6.98873014766313	21.144637377255
2007	0.238609137765115	0.0764925583766864	0.886273063825393	0.0750997835690989	1.01928858254622	0.547446284443266	1.21705391282701	2.19669617775372	11.9435600440896	1e-16	0.0238942950419201	0.362048581427258	8.54670950606892
2008	0.132154100455187	0.0413147206994262	0.516791532356737	0.0407969854155905	0.593471445446889	0.260048529859774	0.849874252386133	1.77008255841568	10.2663840112033	1e-16	1e-16	0.222528711391746	6.06863853755195
2009	3.9986664827156	1.62529573016045	11.9585699968265	1.59666807781988	15.4648242197493	5.13110416056169	10.6470417325678	16.0352305173359	38.3567659908388	2.17081578044793	7.50203918226225	12.7581081965142	35.5470790489701
