jaar	mean	p02.5	p50	p97.5	simulatienr	sd
1985	1.84438334033302	1.43027062410721	1.83801157552273	2.29480955832266	1	0.220222940765719
1985	1.93035489263846	1.50810595417632	1.92366873365799	2.39063802772169	2	0.224773010884985
1985	1.7928380949948	1.37615206465869	1.78625265440657	2.24694623217463	3	0.221805304748311
1985	1.89667438751689	1.48123692367067	1.88999964301532	2.35004117527479	4	0.221274825962844
1985	1.95356384088767	1.55132761830343	1.94743237676347	2.39069249808816	5	0.213852150854263
1985	1.80104549937643	1.39115189895551	1.79462765546377	2.24742679574427	6	0.218115581022334
1985	1.79127613773156	1.37307479300035	1.78474053362272	2.24667571919193	7	0.222513866711154
1985	1.81875224903161	1.39802384804048	1.81202000734699	2.27773082052246	8	0.224061033539055
1985	1.86235912473374	1.4537864387317	1.85610740625376	2.30653547287366	9	0.217245973845201
1985	1.97570186713961	1.54791511163799	1.96867112026319	2.44342304660034	10	0.228058655977844
1985	1.87699254553059	1.46026915166036	1.8704351034893	2.33100447682769	11	0.22178542470381
1985	1.77849840209246	1.35433930784306	1.77178798589325	2.24084802235361	12	0.225778309738688
1985	1.81178584094409	1.41256061128254	1.80566015053247	2.24586945063668	13	0.212295001476451
1985	1.88216270881481	1.46235475433126	1.87559788778336	2.33935781780977	14	0.223371820074752
1985	1.84058911380556	1.43540441165666	1.83428528291012	2.28162941047796	15	0.215562186222422
1985	1.78537543348675	1.36880818479385	1.77891538699486	2.23870376663106	16	0.221591898778703
1985	1.78647880073036	1.38255900760258	1.78035777267344	2.22523336468225	17	0.21470851244632
1985	1.91384439388742	1.49651093809521	1.9071305704744	2.36932398401553	18	0.222297349495204
1985	1.91563594501224	1.50936443484262	1.90954869420782	2.35656904610968	19	0.215874698254332
1985	1.82365492262572	1.40582952781837	1.81691946556671	2.27974286577396	20	0.222580882837462
1986	1.87626045994463	1.58631504242229	1.87307418698322	2.18433456779297	1	0.152382404575688
1986	1.89644621199706	1.60240944474484	1.89330060428145	2.20840979091562	2	0.154414604208974
1986	1.957385057913	1.66606217557583	1.95429118964856	2.26631585320281	3	0.152970997709562
1986	1.88176352917804	1.5891125039506	1.87846646715712	2.19317175310366	4	0.15393784001297
1986	1.95668101424254	1.66779891337915	1.95365646299482	2.26278461737837	5	0.151627365731461
1986	1.92496622616091	1.63294413221705	1.92178828485884	2.23507690182116	6	0.153433751171242
1986	1.84840288372662	1.55709671073216	1.84527807704808	2.15750596030477	7	0.152995891865996
1986	1.9163055982621	1.6243875617067	1.91310165154658	2.22646269330313	8	0.153420648261854
1986	1.82794581827768	1.53710509341763	1.82486668215331	2.1363286121466	9	0.152697711476315
1986	1.85693484926283	1.56139325954494	1.8536226203544	2.17132292049475	10	0.155415967546573
1986	1.94741628794776	1.65600031981876	1.94430549610052	2.2565497616608	11	0.153034082393732
1986	1.85168299384679	1.56019470504036	1.84848636207282	2.16136901072903	12	0.153183128549934
1986	1.85761135989444	1.56999961521166	1.85446176077615	2.16315313650801	13	0.151142743783712
1986	1.85947242092295	1.56848495677772	1.85643601256581	2.16778186816666	14	0.152715218095423
1986	1.85908576800932	1.56770340877918	1.85607467573311	2.16760249543465	15	0.15289675374168
1986	1.80700927768293	1.51372378821055	1.80383701360991	2.11836079684514	16	0.154069212946159
1986	1.92201430299922	1.63120623516206	1.91894586147472	2.23028846842653	17	0.152674968634405
1986	1.92122953864477	1.62845086648444	1.91803646322834	2.23218770096876	18	0.153847528072528
1986	1.97391678565297	1.68659674474693	1.97102954762936	2.27771689529258	19	0.150666020871446
