meetpunt	p01	p05	p10	p30	p50	p70	p90	p95	p99	groep3	ampl	groep3n
1	15.7423262446004	15.9135907643335	16.0312058494405	16.3585232547572	16.6672522082214	16.9962813607519	17.2450662734893	17.3220787168067	17.4551187465322	4	1.7127925019318	4
2	75.1419922967542	75.1920926029967	75.2218297972813	75.2857078076125	75.3300666281075	75.3718580446018	75.426784814591	75.4528779426468	75.4994932738906	3	0.357500977136354	3
3	65.9532344585527	66.1127949694229	66.2195998750762	66.5901365242609	66.9848434026657	67.2841463366539	67.458115424377	67.5208941963552	67.6292222155518	4	1.67598775699905	4
4	1.41793977720895	1.51773819020207	1.57879512352986	1.7442345007805	1.86645258476515	1.97157835792949	2.07967921938828	2.11933709993698	2.18734746379105	2	0.769407686582098	4
5	2.54770939560229	2.67358988084865	2.76456172162486	3.03930298954471	3.28844338604846	3.53805177662516	3.77252514454092	3.8399831253518	3.93958746515306	3	1.39187806955077	4
6	8.89937303647023	9.00975150101905	9.0812200763143	9.25805421766207	9.40035403666159	9.56599959723	9.7716225413397	9.84403015270335	9.95342677252958	4	1.05405373605935	4
7	17.5236452439345	17.6262365560728	17.6871560758028	17.8494508521203	18.003285512154	18.1515212234867	18.2911127886035	18.3406095936223	18.4227420630257	4	0.899096819091202	4
9	26.2474331153321	26.4061228704746	26.5019041872963	26.7171007057444	26.8374236440856	26.9317502331894	27.0601012485049	27.1201314224046	27.2330941514189	2	0.985661036086764	4
10	27.1070944828804	27.2458726024954	27.3469034732145	27.6837497666131	27.8475569798675	27.9341285227821	28.0266390514222	28.0695967024293	28.1520802426718	4	1.04498575979146	4
11	16.8205707149084	16.9611943720909	17.0520278513449	17.2787861352539	17.4645262391117	17.6637779013009	17.8899267166265	17.97455799343	18.1146673312403	3	1.29409661633187	4
12	33.1849261923216	33.2903729625437	33.3542560216212	33.5682233182555	33.7259771393895	33.8604944777665	34.0036450898842	34.0610219114646	34.160308339403	2	0.975382147081397	4
13	35.357499136305	35.4176866681949	35.4559564561881	35.5480680400389	35.6133577200445	35.6818526390234	35.7687766380925	35.8047603998863	35.8678712600493	3	0.510372123744304	4
14	32.7390623375358	32.7877551811776	32.818558826425	32.8957024789803	32.9589014313177	33.0234811322768	33.0929416096391	33.1201274090447	33.1684823234114	3	0.429419985875597	4
15	34.9286110261853	35.0525302230182	35.1365086359233	35.3430584988075	35.4399145578076	35.4985222164552	35.5736206105569	35.6100538532189	35.6780010385298	4	0.749390012344534	4
16	33.8497483608894	33.959077308771	34.0337371686535	34.2479726154572	34.4637430528007	34.7089832518081	34.9315105865242	35.0006340794544	35.1091506559706	2	1.25940229508126	4
18	17.0246623104055	17.0424366785627	17.0536089171151	17.0844738987609	17.1113401351969	17.1315379104178	17.1532475740402	17.1618525250037	17.1759526139766	3	0.151290303571106	2
19	0.620994833742622	0.741910157154759	0.823120663281206	1.03809287158319	1.20880162692455	1.35839406528187	1.49346471010868	1.54427104511324	1.63008899696744	2	1.00909416322481	4
20	0.50757584138098	0.650859762505498	0.737270420834102	0.967427818214544	1.16649289026505	1.35132934357812	1.55734218867276	1.64328785564421	1.78388635027584	2	1.27631050889486	4
22	28.448624127077	28.5687126828612	28.647263313872	28.8777364369236	29.007694800283	29.0896089786123	29.1815811518176	29.2241202723617	29.3196871556101	3	0.871063028533143	4
23	13.4250991775948	13.5358573937391	13.6147316795772	13.8315038097782	14.0037245956157	14.1337891578396	14.2647372932686	14.318794319938	14.412259455987	2	0.987160278392187	4
24	13.8309396444318	13.9501345567609	14.0230256102997	14.2135810731434	14.3749463129333	14.5460115160466	14.7056501915348	14.7653117219205	14.8715809573237	3	1.04064131289192	4
25	9.75151477621564	9.88501046448121	9.97932785018039	10.2401435296563	10.4583459067667	10.6461448811683	10.7900759596745	10.8422417343135	10.9311938801897	4	1.17967910397401	4
26	55.1472285141479	55.2075623284588	55.2497023699341	55.3434903094728	55.3859541303176	55.4172365840893	55.4572298461692	55.4762976928895	55.5105710264919	2	0.363342512343962	3
27	45.7121636649788	45.8258705612842	45.9069443423463	46.1736044466272	46.3038663056862	46.3672983972913	46.4373239528335	46.4675778138138	46.5215549530724	2	0.809391288093536	4
28	44.3115234415496	44.418890464035	44.4865309256989	44.6632190513138	44.7717646996678	44.8580231551294	44.9614880813802	45.0068861681496	45.0887881550035	3	0.777264713453924	4
29	22.3453277346842	22.3822906488097	22.4063111296347	22.4744969499599	22.5321044097392	22.5805148159296	22.617611186894	22.6324360840932	22.6583925737455	3	0.313064839061258	3
30	26.4106770163203	26.4921205042422	26.5525392900996	26.7268150457385	26.8526889192295	26.9264247490178	26.9992898880544	27.0306091766669	27.0855585733816	4	0.674881557061241	4
31	32.9712561354801	33.0605664834786	33.120618841095	33.296217731273	33.4234123308982	33.5243153034725	33.6284780536666	33.6674688186647	33.7313366938653	3	0.760080558385233	4
32	39.3919236341956	39.4171245314862	39.4364917164928	39.4851175511108	39.5194644010859	39.5493714628516	39.5769279808512	39.5871037449895	39.6036260631934	2	0.211702428997761	2
33	4.19314242487638	4.30345424601792	4.36647945672128	4.51812041820294	4.63901534327259	4.75924910944837	4.90624198740355	4.96519803994202	5.06495092270493	3	0.871808497828545	4
34	4.08674398293521	4.20624238568685	4.27710160690137	4.44499751001589	4.57649923058499	4.70594833597773	4.86234792108985	4.92345095014319	5.02802179638153	3	0.94127781344632	4
35	53.6555196449707	53.7281670082518	53.7722757200749	53.8812700969116	53.9663358992789	54.0500268664787	54.1555165235876	54.2008611675131	54.2786320132462	4	0.623112368275486	4
36	18.8268442693436	18.9155991692186	18.9685841449742	19.0954303132819	19.1937030374039	19.298756536212	19.4351289604582	19.4953282522675	19.5976623158843	2	0.770818046540754	4
37	27.8960073602779	28.0545906526246	28.164006290857	28.4905546047416	28.8030409925936	29.0320674147776	29.1957426648061	29.2601753595376	29.3746978366083	3	1.47869047633039	4
38	30.2692117833547	30.329851483117	30.3694070411773	30.4695551432726	30.541884570405	30.6001150820836	30.675896691651	30.7121677053689	30.7761862862199	2	0.506974502865209	4
