loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	firstyear	lastyear	nryears	cat	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
ALMP001	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109770	185010	2	1	1	1	4	601	1.44	13.9	14	2004	2006	3	3	4	2	14.68	2.37	0.3
ALMP002	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109744	185010	2	1	1	1	4	601	1.05	13.42	14	2004	2008	5	3	4	2	13.8	1.58	0.3
ALMP003	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	110287	185136	2	1	1	1	4	601	0.7	17.63	14	2004	2008	5	3	4	2	18.33	1.55	0.3
ASBP003	ASB	Asbeek	238036	179497	2	1	1	1	3	1010	0.95	75.391	13	2008	2018	11	3	3	1	75.931	1.64	0.3
BEBP012	BEB	Bellebeek	133244	174908	2	1	1	1	3	505	1.7	13.91	13	2001	2001	1	3	7	7	13.91	2.2	1
BEBP013	BEB	Bellebeek	133268	174873	2	1	1	1	3	505	0.94	13.21	13	2001	2001	1	3	4	2	13.9	1.78	0.3
BELP001	BEL	de Belv̩d̬re	28357	199975	2	1	1	1	4	177	1.85	4.371	14	2000	2016	7	3	3	1	5.341	2.97	0.3
BRAP009	BRA	Bos van Ranst	165408	210432	2	1	1	1	4	918	0.61	9.24	14	2001	2001	1	3	5	4	9.93	1.9	1.2
BRAP102	BRA	Bos van Ranst	163992	210550	2	1	1	1	4	918	1.525	9.17	14	2001	2001	1	3	4	2	9.62	2.25	0.55
BTRP001	BTR	Bos ter Rijst	101924	164018	2	1	1	1	4	25	2.02	68.02	14	2003	2003	1	2	4	2	68.17	2.32	0.3
BUCP010	BUC	Buckenslinde	229690	170679	2	1	1	1	3	818	1.33	0	13	2003	2003	1	2	4	2	0.57	3.8	3.8
COOP001	COO	Coolhembos	146113	196127	2	1	1	1	1	233	1.25	1.96	11	2006	2015	8	2	3	1	2.56	2	0.3
DORP016	DOR	Dorent	158521	186074	2	1	1	1	3	790	1.81	7.35	13	2005	2005	1	3	4	2	8.07	2.68	0.3
DORP024	DOR	Dorent	154823	182431	2	1	1	1	4	710	2.56	9.8	14	2005	2019	6	3	1	6	10.17	3.08	0.3
DPBP007	DPB	Diepenbeek	221649	179772	2	1	1	1	2	306	2.01	-0.55	12	NA	NA	0	2	3	1	0	2.76	0.4
DUNP010	DUN	Dunbergbroek	178354	180655	2	1	1	1	4	134	1.81	15.714	14	2004	2017	7	3	3	1	16.054	2.4	0.5
DUNP011	DUN	Dunbergbroek	178562	180199	2	1	1	1	4	134	1.82	16.05	14	2007	2017	5	3	3	1	16.54	2.31	0
DUNP012	DUN	Dunbergbroek	178707	179625	2	1	1	1	4	134	1.53	18.29	14	2004	2013	6	3	3	1	19.08	2.32	0
