loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
ABEP119	ABE	Abeek	240908	208538	2	1	1	1	1	146	0.6	33.44	5	3	1	34.34	2	1
ABEP121	ABE	Abeek	240946	209037	2	1	1	1	1	146	1.58	33.81	5	3	1	34.68	2.95	1
ABEP122	ABE	Abeek	240978	209184	2	1	1	1	1	146	2.15	33.53	5	3	1	33.88	3	1
ABEP126	ABE	Abeek	239178	208571	2	1	1	1	1	146	1.44	34.88	5	3	1	35.89	2.95	1
ALMP001	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109770	185010	2	1	1	1	4	601	1.44	13.9	4	4	2	14.68	2.37	0.3
ALMP002	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109744	185010	2	1	1	1	4	601	1.05	13.42	4	4	2	13.8	1.58	0.3
ALMP003	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	110287	185136	2	1	1	1	4	601	0.7	17.63	4	4	2	18.33	1.55	0.3
ARHP009	ARH	Aronst Hoek	203834	177051	1	2	1	1	2	486	1.95	24.01	3	6	3	24.31	2.4	0.3
ARHP010	ARH	Aronst Hoek	203804	177070	1	2	1	1	2	486	2.15	23.791	3	6	3	24.191	2.7	0.3
ASBP003	ASB	Asbeek	238036	179497	2	1	1	1	3	1010	0.95	75.391	2	3	1	75.931	1.64	0.3
AVEP007	AVE	Averbode	194071	191836	2	1	1	1	3	54	1.73	21.94	2	7	7	22.46	2.5	0.5
AVEP010	AVE	Averbode	194417	192701	2	1	1	1	3	54	2.83	21.69	2	4	2	22.61	4	0.5
AVEP032	AVE	Averbode	192603	192680	2	1	1	1	3	310	0.97	19.8	2	3	1	20.15	1.47	0.3
AVEP036	AVE	Averbode	194308	192708	2	1	1	1	3	54	2.5	21.981	2	1	6	22.731	3.5	0.5
BABP012	BAB	Barebeek	160190	180988	2	1	1	1	4	710	2.55	12.39	4	4	2	12.39	3.05	1
BEBP012	BEB	Bellebeek	133244	174908	2	1	1	1	3	505	1.7	13.91	2	7	7	13.91	2.2	1
BEBP013	BEB	Bellebeek	133268	174873	2	1	1	1	3	505	0.94	13.21	2	4	2	13.9	1.78	0.3
BELP001	BEL	de Belv̩d̬re	28357	199975	2	1	1	1	4	177	1.85	4.371	4	3	1	5.341	2.97	0.3
BELP013	BEL	de Belv̩d̬re	27594	199720	2	1	1	1	4	177	1.1	6.41	4	3	1	6.94	1.88	0.5
BOEP003	BOE	Boembeke	107334	170403	2	1	1	1	4	89	2.8	0	4	4	2	0.6	3.4	0
BRAP002	BRA	Bos van Ranst	163992	210550	2	1	1	1	4	918	0.24	9.19	4	4	2	9.56	1.22	1.22
BRAP003	BRA	Bos van Ranst	163755	210701	2	1	1	1	4	918	1.125	8.84	4	4	2	9.4	2.17	0.97
BRAP009	BRA	Bos van Ranst	165408	210432	2	1	1	1	4	918	0.61	9.24	4	5	4	9.93	1.9	1.2
BRAP102	BRA	Bos van Ranst	163992	210550	2	1	1	1	4	918	1.525	9.17	4	4	2	9.62	2.25	0.55
BTRP001	BTR	Bos ter Rijst	101924	164018	2	1	1	1	4	25	2.02	68.02	4	4	2	68.17	2.32	0.3
BUCP010	BUC	Buckenslinde	229690	170679	2	1	1	1	3	818	1.33	0	2	4	2	0.57	3.8	3.8
COOP001	COO	Coolhembos	146113	196127	2	1	1	1	1	233	1.25	1.96	5	3	1	2.56	2	0.3
DEMP007	DEM	de Merode-Herselt	190806	194941	2	1	1	1	1	822	2.07	15.85	5	3	1	16.34	2.71	0.3
DEMP011	DEM	de Merode-Herselt	190657	194916	2	1	1	1	1	822	1.85	15.76	5	3	1	15.76	2	0.3
DMLP048	DML	Dommel	221817	199801	2	1	1	1	3	210	1.39	65.524	2	3	1	66.114	2.23	0.5
DMLP049	DML	Dommel	221853	199865	2	1	1	1	3	210	0.81	65.318	2	3	1	65.838	1.58	0.5
DMLP050	DML	Dommel	221941	199986	2	1	1	1	3	210	1.72	65.665	2	3	1	66.265	2.57	0.5
DMLP248	DML	Dommel	221817	199801	2	1	1	1	3	210	0.805	65.514	2	3	1	66.114	2.21	1.61
DORP002	DOR	Dorent	154427	193391	2	1	1	1	3	790	1.15	3.8	2	4	2	4.94	2.44	0.3
DORP004	DOR	Dorent	154347	192887	2	1	1	1	3	790	1.67	3.58	2	2	5	3.98	2.22	0.3
DORP005	DOR	Dorent	154407	193044	2	1	1	1	3	790	1.13	3.56	2	4	2	4.25	1.97	0.3
DORP016	DOR	Dorent	158521	186074	2	1	1	1	3	790	1.81	7.35	2	4	2	8.07	2.68	0.3
DORP024	DOR	Dorent	154823	182431	2	1	1	1	4	710	2.56	9.8	4	1	6	10.17	3.08	0.3
DPBP007	DPB	Diepenbeek	221649	179772	2	1	1	1	2	306	2.01	-0.55	3	3	1	0	2.76	0.4
DUNP010	DUN	Dunbergbroek	178354	180655	2	1	1	1	4	134	1.81	15.714	4	3	1	16.054	2.4	0.5
DUNP011	DUN	Dunbergbroek	178562	180199	2	1	1	1	4	134	1.82	16.05	4	3	1	16.54	2.31	0
DUNP012	DUN	Dunbergbroek	178707	179625	2	1	1	1	4	134	1.53	18.29	4	3	1	19.08	2.32	0
DYLP018	DYL	Dijlevallei	169471	167314	2	1	1	1	4	262	2.03	28.16	4	3	1	28.55	2.57	0.3
DYLP020	DYL	Dijlevallei	169378	167510	2	1	1	1	3	262	1.74	27.24	2	3	1	27.48	2.23	0.5
DYLP021	DYL	Dijlevallei	169440	167581	2	1	1	1	3	262	2.06	27.89	2	3	1	28.21	2.53	0.3
DYLP029	DYL	Dijlevallei	169238	167404	2	1	1	1	2	262	1.29	27	3	3	1	27.42	1.86	0.3
