target_groupnr	habitatgroep	aandeel
1	7	3
1	8	19
1	10	79
2	7	4
2	8	95
2	10	1
3	1	3
3	5	17
3	7	63
3	8	7
3	10	10
4	2	13
4	7	13
4	10	75
