loc_code	x	y	target_groupnr	description	type	certain	phab	groupnr	group_name	type_name	type_shortname	typeclass_name	selectie	typelevel	main_type	typeclass	hydr_class	hydr_class_name	hydr_class_shortname	groundw_dep	groundw_dep_name	groundw_dep_shortname	flood_dep	flood_dep_name	flood_dep_shortname	tag_1	tag_1_name	tag_1_shortname	tag_2	tag_2_name	tag_2_shortname	tag_3	tag_3_name	tag_3_shortname
WESP008	22617	198715	4	60% 2190_overig; 20% 2170; 15% 2160; 5% 2130_hd	2170	1	20	4	4	18	18	2	1	1	11	2	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WESP008	22617	198715	4	63% 2170; 37% 2130_hd	2170	1	63	4	4	18	18	2	1	1	11	2	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WESP008	22617	198715	4	60% 2190_overig; 20% 2170; 15% 2160; 5% 2130_hd	2190_overig	1	60	4	4	23	23	2	1	2	13	2	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WESP093	22509	198809	4	60% 2190_overig; 22% 2170; 18% 2130_hd	2130_hd	1	18	5	1	15	15	2	1	2	8	2	2	2	2	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WESP093	22509	198809	4	60% 2190_overig; 22% 2170; 18% 2130_hd	2170	1	22	4	4	18	18	2	1	1	11	2	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WESP093	22509	198809	4	60% 2190_overig; 22% 2170; 18% 2130_hd	2190_overig	1	60	4	4	23	23	2	1	2	13	2	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZABP014	191421	198803	3	40% rbbhf; 40% gh; 20% rbbhc	rbbhc	1	20	3	2	68	68	7	1	1	36	7	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZABP014	191421	198803	3	40% rbbhf; 40% gh; 20% rbbhc	rbbhf	1	40	3	2	69	69	7	1	1	37	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZEBP009	69111	219114	2	100% rbbmr	rbbmr	1	100	2	3	88	88	8	1	1	49	8	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZUVP019	142606	164589	4	60% rbbvos; 40% rbbhc	rbbhc	1	40	3	2	68	68	7	-1	1	36	7	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZUVP019	142606	164589	4	60% rbbvos; 40% rbbhc	rbbvos	1	60	4	4	73	73	7	-1	1	40	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZWAP141	216785	198435	1	100% 91E0_vm	91E0_vm	1	100	1	5	104	104	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZWAP228	217381	197149	3	70% 7150; 30% 4010	4010	1	30	3	2	38	38	5	1	1	24	5	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZWAP228	217381	197149	3	100% 4010	4010	1	100	3	2	38	38	5	1	1	24	5	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZWAP228	217381	197149	3	70% 7150; 30% 4010	7150	1	70	3	2	83	83	8	1	1	44	8	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZWAP231	220110	198031	3	100% 4010	4010	1	100	3	2	38	38	5	1	1	24	5	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZWAP303	213435	204022	3	70% 4010; 30% 7140_oli	4010	1	70	3	2	38	38	5	1	1	24	5	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZWAP303	213435	204022	3	70% 4010; 30% 7140_oli	7140_oli	1	30	1	5	82	82	8	1	2	43	8	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
