meetpunt	p01	p05	p10	p30
1	15.725213557093	15.8973290862365	16.0153214619572	16.342848483308
2	75.1399943157202	75.1906312744615	75.2207739110522	75.2848693234425
3	65.9377012262907	66.0977588496538	66.2042945516128	66.5775242640169
4	1.41156104990098	1.51088532024724	1.57216944914784	1.73842368846762
5	8.89449971271312	9.00401113001844	9.07457749320739	9.25297827515684
6	17.5219348310095	17.6238387822834	17.6848812708749	17.847267239712
7	2.99288904791057	3.09475761259376	3.16194479072025	3.35356405405268
8	26.240570756773	26.3984221327174	26.4939976006093	26.7164135862043
9	27.1049762737552	27.2423744540278	27.3425623934334	27.6860297741417
10	16.8149922849407	16.9558297266778	17.0469004564249	17.2752346364776
11	33.1816535973192	33.2869796743308	33.3506610998886	33.5657027692757
12	32.7375275406751	32.7860785555131	32.8169478282089	32.8942358568486
13	34.922910597657	35.0465963979226	35.1311230482923	35.3405503174809
14	33.8504522847316	33.9582096536494	34.0322030664389	34.2421373697973
15	22.363120939317	22.5120056688782	22.5999006655339	22.8141479146701
16	17.0230392552013	17.0410108881956	17.0523644117264	17.0840479805673
17	0.507975007788045	0.646675576618224	0.730327826613647	0.959734985368914
18	28.4425957509796	28.562420426683	28.6408550714359	28.8724398785135
19	13.4164078273558	13.527765418281	13.606520163288	13.8231717750393
20	13.8318107877105	13.9498129399962	14.0229588058308	14.2116664161646
21	9.74239546508828	9.87447949040302	9.9677056012518	10.2301061267397
22	55.1461850136915	55.2065338662505	55.2486887450975	55.3436319123931
23	45.7044319338504	45.8189998980167	45.9002003313028	46.1752972064133
24	44.3083723627892	44.415179158743	44.4847602506756	44.6644358561101
25	22.341166189273	22.3782053520373	22.4022503580795	22.4709163217485
26	26.4068648624703	26.4881533073104	26.5482888849479	26.723414694995
27	39.3908594928954	39.4160426017128	39.4354100047795	39.4847961500684
28	4.19120660462327	4.30100580992625	4.36398638881156	4.51587134356348
29	4.08603139927429	4.20530252804423	4.27590792719767	4.44352429211672
30	53.6506049545072	53.7235365109766	53.767636160959	53.8765449865279
31	18.8244460671049	18.9126250024677	18.9668717531991	19.0949422386574
32	27.890776116398	28.0493093735077	28.1579582492165	28.4840882626532
33	30.2681022580852	30.3282413385003	30.3675961366232	30.4695114934896
34	20.0395386238397	20.1387377809824	20.2072976625125	20.3674066598819
35	55.9988006142548	56.0943563587133	56.1632515819409	56.3171566091515
36	9.05547812698153	9.17976843614486	9.25716779111542	9.47192179680268
37	62.0578271215428	62.0773219720537	62.0893892883098	62.1160512469833
38	16.5709267909642	16.6995432303689	16.7815015501636	17.008091469386
39	15.8769128374327	15.9228974495123	15.9495094955899	16.0124271268064
40	4.73160725541157	4.81145838410377	4.86774985265228	5.03899771519335
41	1.00858109370763	1.17217806476809	1.26734859540569	1.51017278170009
42	20.768994141707	20.8616046671688	20.9195807933965	21.0590932646898
43	30.9363542564818	31.0146380009203	31.0624949612612	31.1847405436361
44	21.1220537400147	21.1828808484728	21.2288179670456	21.364569348742
45	0.812514446693566	0.915584356907776	0.980611914935593	1.1438194889129
46	7.35660956721025	7.4110968309625	7.44838123383376	7.54931336774654
47	5.29997012402251	5.37192032574063	5.41944542305715	5.54681386900476
48	24.9922687332469	25.0392344091577	25.0759625140424	25.1820135888673
49	-1.37646772910966	-1.30254777544691	-1.25445054627081	-1.13432827781649
50	4.48997866587065	4.56847389867129	4.6177564398496	4.75856281787708
51	4.3650710382538	4.44593476682588	4.49646118912305	4.64371158382703
52	13.9214006109597	14.068599107926	14.1584523797694	14.3830710912248
53	2.70209164639503	2.75737107702413	2.78974487628381	2.87103323479447
54	51.9055112106089	51.9770215887021	52.0223890010229	52.119848727064
55	65.6329748250928	65.7670120996604	65.8694353580581	66.1332887307674
56	45.4097456371381	45.4775278406604	45.5165778694795	45.6126038845732
