jaar	droogte_ind_j	droogte_ind_j_var	lcl	ucl
1985	3.44736842105263	2.4464754915914	0.381690641425831	6.51304620067943
1986	15.4612068965517	6.91590922721489	10.3067760950695	20.615637698034
1987	0.468965517241379	0.244899972881073	-0.500986922736958	1.43891795721972
1988	0.841379310344828	0.439924692826001	-0.458626343473788	2.14138496416344
1989	70.8431034482759	32.4846161107287	59.6720291377641	82.0141777587876
1990	73.751724137931	34.1851697019004	62.2919794668303	85.2114688090317
1991	36.0818965517241	25.8109923571563	26.1242106639663	46.039582439482
1992	7.50862068965517	4.13888150071969	3.52114941412669	11.4960919651837
1993	23.7086206896552	11.6495784571417	17.0188508430195	30.3983905362908
1994	20.3387931034483	7.78951062071052	14.8684929288215	25.809093278075
1995	41.1836206896552	12.9642060543004	34.1264758010901	48.2407655782203
1996	64.7543103448276	29.6725945642197	54.0776891902719	75.4309314993833
1997	36.8818965517241	30.2623989950351	26.0996875025855	47.6641056008628
1998	12.6094827586207	8.46071084183408	6.90837174672224	18.3105937705191
1999	18.2586206896552	7.93539124267268	12.7373346983438	23.7799066809666
2000	3.13189655172414	0.850621036464526	1.32420582217936	4.93958728126891
2001	11.4491379310345	4.02334753165613	7.51771428588885	15.3805615761801
2002	1.775	0.572917279450112	0.291450533101256	3.25854946689874
2003	68.9698275862069	19.0531628100423	60.414441548683	77.5252136237308
2004	27.9094827586207	35.2210555651167	16.2774061143171	39.5415594029242
2005	58.4491379310345	37.0082297729311	46.525597538362	70.372678323707
2006	44.1844827586207	14.6970050795836	36.6704948218638	51.6984706953776
2007	10.776724137931	11.5493290282037	4.11580059875516	17.4376476771069
2008	9.73103448275862	9.2466973319148	3.7709914904402	15.691077475077
2009	72.7344827586207	25.3801965079166	62.8602454258029	82.6087200914385
2010	51.9327586206897	10.9025615391034	45.4610292993552	58.4044879420241
2011	49.2836206896552	31.8778127672779	38.2173744640024	60.349866915308
2012	17.8965517241379	7.41356676471202	12.5598900257241	23.2332134225518
2013	34.6896551724138	11.8086425934038	27.9543688840055	41.424941460822
2014	14.7534482758621	6.31755392494315	9.82703830935892	19.6798582423652
2015	54.8672413793103	16.4779383878841	46.9110080927045	62.8234746659162
2016	7.54741379310345	3.67802773692555	3.78848956479381	11.3063380214131
2017	62.6129310344828	33.5598756831883	51.2584773521369	73.9673847168286
2018	113.131896551724	30.1981897203621	102.361132157785	123.902660945663
