jaar	gem_jaar_t	var_sim	og_jaar_t	bg_jaar_t	gem_jaar	og_jaar	bg_jaar	droogte_ind_j	droogte_ind_j_var	lcl	ucl	tijdvenster
1995	3.45920543670654	0.00240054100352475	3.36317461707482	3.55523625633827	31.7917059538799	28.8807307613348	34.9960870384586	30.8715517241379	2.83327462346413	27.5724142923992	34.1706891558767	10
1995	3.40422855615616	0.00220847906694281	3.31211941880504	3.49633769350728	30.0910731944603	27.4432275713986	32.9943948334289	30.1112068965517	2.65465216064835	26.9177586442159	33.3046551488875	20
1995	3.39463973045349	0.00216152103931857	3.30351509479087	3.48576436611612	29.8039140979027	27.2081101133379	32.6473721201135	30.1112068965517	2.65465216064835	26.9177586442159	33.3046551488875	30
1996	3.58880081176758	0.00340563261227679	3.47441952726997	3.70318209626519	36.1906504918519	32.2790859682072	40.5762165729664	64.7543103448276	29.6725945642197	54.0776891902719	75.4309314993833	0
1996	3.68544002771378	0.00520962903184637	3.54397161820571	3.82690843722184	39.8626592660577	34.6040808311484	45.9203529062235	56.5612068965517	13.7900700007301	49.282750129159	63.8396636639444	2
1996	3.63269712924957	0.0035152226780205	3.51649007507521	3.74890418342394	37.8146702524285	33.6660555179165	42.4745122142067	44.2456896551724	6.09418331612325	39.40715530816	49.0842240021848	4
1996	3.53561202287674	0.00270310234755592	3.43370894157705	3.63751510417643	34.3160104720788	30.9913750499066	37.9972999850282	37.5215517241379	4.1989186979786	33.5052641260998	41.537839322176	6
1996	3.54030199050903	0.00241222497927216	3.44403775270302	3.63656622831504	34.4773294451485	31.3131379629256	37.9612623645926	38.4991379310345	3.92834002179944	34.614410009063	42.383865853006	8
1996	3.52946456670761	0.00233878210538881	3.4346770921339	3.62425204128132	34.105701397032	31.0213938959552	37.496666709589	37.3594827586207	3.5337833119511	33.6750042376911	41.0439612795503	10
1996	3.48626337051392	0.00217267942731926	3.39490383194246	3.57762290908537	32.66366736774	29.81178639549	35.7883674515985	35.3637931034483	3.08936087990488	31.9187838500148	38.8088023568818	20
1996	3.49278525114059	0.00210243952663034	3.40291461252317	3.58265588975802	32.8773920931517	30.0515611843884	35.9689436503674	35.3637931034483	3.08936087990488	31.9187838500148	38.8088023568818	30
1997	3.57325086593628	0.00400463296635822	3.4492178138753	3.69728391799726	35.6322407099837	31.4757627726578	40.3375952215885	36.8818965517241	30.2623989950351	26.0996875025855	47.6641056008628	0
1997	3.5299444437027	0.00519454942508661	3.38868092728245	3.67120796012294	34.1220718661253	29.6268465194237	39.2993492464235	45.8456896551724	23.2437028939024	36.3961918358587	55.2951874744862	2
1997	3.64614709615707	0.00372493995777971	3.52652381522144	3.76577037709271	38.3267120696142	34.005552333889	43.1969710017975	43.9974137931034	10.4376587109122	37.6651701382967	50.3296574479102	4
1997	3.54862704277039	0.00291972802480984	3.44271940763434	3.65453467790643	34.7655530884122	31.2718836415979	38.6495324488694	38.8448275862069	6.67157727851138	33.7822658559038	43.90738931651	6
1997	3.52002130746841	0.00254980915003357	3.42104986294643	3.6189927519904	33.7851483321612	30.6015255700632	37.2999785652117	37.3094827586207	5.55538332863967	32.6897900637218	41.9291754535196	8
1997	3.53692538738251	0.00245722124325619	3.43976746887818	3.63408330588683	34.3611095114684	31.1797070730258	37.8671244118441	37.8844827586207	4.81904650895968	33.5818267104547	42.1871388067867	10
1997	3.50341736078262	0.00211901909305117	3.41319306390054	3.5936416576647	33.2288129929687	30.3620375696591	36.3662685809028	35.5112068965517	3.8274197514446	31.6767035757617	39.3457102173417	20
1997	3.51008157730103	0.00203104083806743	3.42175011923811	3.59841303536394	33.4509965146544	30.6229619854953	36.5402004010399	35.5112068965517	3.8274197514446	31.6767035757617	39.3457102173417	30
1998	3.5606946349144	0.00510094725518611	3.42070963937729	3.7006796304515	35.187631214942	30.5911159807071	40.4748029231636	12.6094827586207	8.46071084183408	6.90837174672224	18.3105937705191	0
1998	3.17371598482132	0.00597339648038688	3.02223199253483	3.32519997710781	23.8961171840612	20.53707917392	27.8045583619081	20.376724137931	10.5667740080731	14.0054354904584	26.7480127854037	2
1998	3.42238223552704	0.00398741624692189	3.29861609211869	3.54614837893538	30.6423253778945	27.0751434770768	34.6794876769434	32.7206896551724	8.85376577591422	26.8886551384062	38.5527241719386	4
1998	3.44461451768875	0.0031058475213414	3.33538346057593	3.55384557480158	31.3312034937779	28.089152241418	34.9474524518068	33.1965517241379	6.04568871644033	28.3773072010745	38.0157962472014	6
1998	3.42492623329163	0.00259717883311519	3.32503968662344	3.52481277995981	30.7203786267067	27.8001019129532	33.9474173844121	31.6594827586207	4.82372312879404	27.354739471086	35.9642260461554	8
