mean	sd	p02.5	p50	p97.5	jaar	simulatienr	intercept
3.62981200218201	0.0971784219145775	3.43996941116146	3.62931214890563	3.82213402349509	1985	1	3.7223174571991
3.60089182853699	0.134403049945831	3.31116755808721	3.60804444679914	3.84379125677471	1985	2	3.70737457275391
3.6211564540863	0.103052236139774	3.41298735805838	3.62254749082162	3.82025319471878	1985	3	3.71592688560486
3.59568047523499	0.0956308394670486	3.41082835181455	3.59448917867885	3.78708907066667	1985	4	3.69567036628723
3.64300394058228	0.101305775344372	3.44007323858956	3.64388320707993	3.83978123015208	1985	5	3.69287395477295
3.633784532547	0.096027247607708	3.44535740668008	3.63351232373306	3.82322237548651	1985	6	3.72149610519409
3.64837217330933	0.0978040546178818	3.45632446162474	3.64816307055996	3.84139661162788	1985	7	3.71941351890564
3.67105937004089	0.0988127887248993	3.47534314765215	3.67131562604955	3.86454689076733	1985	8	3.73004460334778
3.43056535720825	0.146362066268921	3.10711030547362	3.43964952279737	3.69371166660082	1985	9	3.67714214324951
3.62408590316772	0.116456389427185	3.38041404579259	3.62889266644327	3.84032404028914	1985	10	3.70199537277222
3.41499662399292	0.19440433382988	3.010991677189	3.44777401929215	3.72725274464015	1985	11	3.68804025650024
3.32081532478333	0.192940771579742	2.87931595903914	3.34491524084086	3.64362117283783	1985	12	3.68760991096497
3.61199808120728	0.105621375143528	3.39940921038326	3.61358745893354	3.8149210317546	1985	13	3.72119665145874
3.62505340576172	0.101026378571987	3.42431324962896	3.62537890133666	3.8228923688571	1985	14	3.70295977592468
3.67845106124878	0.0984528139233589	3.49135062286847	3.67630490609948	3.87744286011203	1985	15	3.71337366104126
3.61599826812744	0.112307883799076	3.38280902923286	3.61941726914047	3.82669909322156	1985	16	3.70851516723633
3.65790963172913	0.0971534699201584	3.46987708987458	3.65684176916576	3.85178313251424	1985	17	3.71745824813843
3.32843804359436	0.162197798490524	2.97330033284266	3.33961380359011	3.61846724637724	1985	18	3.67099618911743
3.71557664871216	0.095559373497963	3.53059655198865	3.71456929576703	3.90611905868533	1985	19	3.72992753982544
3.67381477355957	0.0996961668133736	3.47749710672282	3.67372807356883	3.87004589852966	1985	20	3.7100567817688
3.63591241836548	0.0869548693299294	3.46743504586557	3.63509275980522	3.80892265062379	1986	1	3.7223174571991
3.63479709625244	0.108372397720814	3.41076395827415	3.63797633161037	3.83848654284911	1986	2	3.70737457275391
3.63351249694824	0.0900593474507332	3.45600208240305	3.63353304971693	3.81052853977308	1986	3	3.71592688560486
3.60222959518433	0.0865813121199608	3.43618390422054	3.60081572768922	3.77636261956707	1986	4	3.69567036628723
3.65009737014771	0.0889951884746552	3.47555111643142	3.64987265242705	3.82548677373678	1986	5	3.69287395477295
3.64084410667419	0.0863111764192581	3.47322673072508	3.64014101134054	3.81226895851126	1986	6	3.72149610519409
3.65452122688293	0.0876973867416382	3.4839794072048	3.65388621833535	3.82861487320052	1986	7	3.71941351890564
3.67561483383179	0.087727926671505	3.50455292583805	3.67510369060469	3.84936207669336	1986	8	3.73004460334778
3.49292850494385	0.116953112185001	3.24689439870029	3.49734334696915	3.71089106969284	1986	9	3.67714214324951
3.64331412315369	0.0974484011530876	3.44533216103635	3.64534015504091	3.82959382586476	1986	10	3.70199537277222
3.48183584213257	0.144329026341438	3.18271389852909	3.49735286118051	3.72979800216615	1986	11	3.68804025650024
3.44236922264099	0.141272321343422	3.13500209618891	3.45335112122001	3.69400692596443	1986	12	3.68760991096497
3.62655258178711	0.0922985076904297	3.44397268765491	3.62699893489816	3.80644302551181	1986	13	3.72119665145874
3.63374948501587	0.0898137241601944	3.45874388946	3.63315449357832	3.81187785942262	1986	14	3.70295977592468
3.67760825157166	0.089471697807312	3.50698189193143	3.67591155811285	3.85765853008306	1986	15	3.71337366104126
3.62961220741272	0.096347838640213	3.43539479551584	3.63102748040578	3.81481793259884	1986	16	3.70851516723633
3.66077780723572	0.0874837189912796	3.49223206628835	3.65962842241194	3.8357619761023	1986	17	3.71745824813843
3.43252515792847	0.124222040176392	3.17312346026838	3.43738508944877	3.66394532302255	1986	18	3.67099618911743
3.7138512134552	0.0860282182693481	3.54792865518209	3.71280766769974	3.88566153390224	1986	19	3.72992753982544
3.67705154418945	0.0886150151491165	3.50468271021151	3.67639756567499	3.85291945100016	1986	20	3.7100567817688
3.64157462120056	0.0787306502461433	3.48960811380587	3.64071024021738	3.79846012276931	1987	1	3.7223174571991
3.66712427139282	0.0875975713133812	3.49366260386572	3.66756089732986	3.83783814991328	1987	2	3.70737457275391
3.64520263671875	0.0799688994884491	3.48998700343894	3.64454634973625	3.80402694089075	1987	3	3.71592688560486
3.60838532447815	0.0794817879796028	3.45629046342645	3.60700109468884	3.76837438327331	1987	4	3.69567036628723
3.6566321849823	0.0794410482048988	3.50277851610899	3.65590580788086	3.81460782195688	1987	5	3.69287395477295
3.64754724502563	0.0785734727978706	3.49568008581594	3.64673298984091	3.80401569664607	1987	6	3.72149610519409
3.6602942943573	0.0794844031333923	3.50645547439152	3.65950846602991	3.81858697925442	1987	7	3.71941351890564
3.67971730232239	0.0790717154741287	3.52679445164866	3.67890187747818	3.8372292585926	1987	8	3.73004460334778
3.55326271057129	0.0927379131317139	3.36799626707932	3.55422149274077	3.73270498067769	1987	9	3.67714214324951
3.66155028343201	0.0825033113360405	3.49896021272451	3.66166062387325	3.82351407876198	1987	10	3.70199537277222
3.54636025428772	0.102102153003216	3.33866679374854	3.55020095380835	3.73678601317638	1987	11	3.68804025650024
