jaar,gem_jaar,og_jaar_trend,bg_jaar_trend,aantal dagen onder kritisch minimum,og_jaar_indicator,bg_jaar_indicator,tijdvenster
1985,36.25670682725753,25.913550915618405,50.72823845092603,3.4473684210526314,0.38169064142583053,6.513046200679432,0
1986,37.07789494433712,28.704208867765637,47.89438022265594,15.461206896551724,10.306776095069498,20.61563769803395,0
1987,37.8763117803187,31.270987815431315,45.87686844263899,0.4689655172413793,-0.5009869227369581,1.4389179572197168,0
1988,38.55289640566054,33.01714650953831,45.01678607617438,0.8413793103448276,-0.4586263434737875,2.141384964163443,0
1989,38.99283382036503,33.665767801399554,45.162822315889514,70.84310344827587,59.672029137764135,82.01417775878761,0
1990,39.05965093249392,33.70585509324286,45.26383700243604,73.75172413793103,62.29197946683035,85.21146880903171,0
1991,38.77963752340592,33.64329888070859,44.70014346033947,36.081896551724135,26.124210663966302,46.03958243948197,0
1992,38.30862669173473,33.550742761851964,43.74123367174252,7.508620689655173,3.5211494141266857,11.496091965183659,0
1993,37.78120879611026,33.38517093172482,42.75610093518647,23.708620689655174,17.018850843019536,30.398390536290812,0
1994,37.25776934301731,33.13528451907798,41.89314794077727,20.338793103448275,14.868492928821517,25.809093278075032,0
1995,36.73654529430179,32.79380665221942,41.15331210166022,41.18362068965517,34.126475801090066,48.24076557822028,0
1996,36.190650491851855,32.27908596820722,40.576216572966395,64.75431034482759,54.07768919027188,75.43093149938329,0
1997,35.632240709983655,31.47576277265783,40.33759522158852,36.88189655172414,26.099687502585507,47.66410560086277,0
1998,35.18763121494199,30.591115980707052,40.47480292316364,12.60948275862069,6.9083717467222385,18.31059377051914,0
1999,34.97447638603796,30.033737704140496,40.727997644758446,18.25862068965517,12.737334698343785,23.779906680966555,0
2000,35.035939691599715,30.005564526761216,40.90964757482301,3.1318965517241377,1.324205822179362,4.9395872812689134,0
2001,35.38003651508397,30.53226405835593,40.997515985589104,11.449137931034484,7.517714285888848,15.380561576180119,0
2002,35.97140513006433,31.44736518286183,41.14627662785531,1.775,0.29145053310125557,3.258549466898744,0
2003,36.72570146581558,32.44674872438348,41.56894607879812,68.96982758620689,60.414441548683,77.52521362373078,0
2004,37.512191525669486,33.27654757578946,42.28697432789874,27.90948275862069,16.27740611431713,39.54155940292425,0
2005,38.34075761401102,34.04451726803731,43.17916106263801,58.449137931034485,46.52559753836201,70.37267832370696,0
2006,39.17453008933043,34.796543289371755,44.10334081053955,44.18448275862069,36.67049482186378,51.6984706953776,0
2007,40.04534380891305,35.59500053135958,45.05210104888848,10.776724137931035,4.115800598755159,17.43764767710691,0
2008,41.0107152346425,36.4796680362854,46.10455233265872,9.73103448275862,3.7709914904402,15.69107747507704,0
2009,42.06856049684718,37.42746001093346,47.285169278382774,72.73448275862069,62.860245425802894,82.60872009143847,0
2010,43.15760052102389,38.290391331963704,48.64349561184702,51.932758620689654,45.46102929935524,58.40448794202407,0
2011,44.34104692635137,39.0307699389573,50.373806245683774,49.28362068965517,38.217374464002376,60.34986691530797,0
2012,45.74092164802953,39.845695701658,52.50835445004208,17.896551724137932,12.559890025724055,23.23321342255181,0
2013,47.513388238024376,41.149073761187914,54.86203832822459,34.689655172413794,27.954368884005543,41.42494146082205,0
2014,49.75540353540872,43.17902340924712,57.33339907917401,14.75344827586207,9.827038309358915,19.679858242365224,0
2015,52.553714388208654,45.946655093515744,60.11085878560903,54.86724137931034,46.911008092704456,62.82347466591623,0
2016,55.903557596217574,48.85257972970578,63.97221537132608,7.547413793103448,3.7884895647938133,11.306338021413083,0
2017,59.820401475064685,51.07547528467442,70.06259682739888,62.612931034482756,51.25847735213695,73.96738471682856,0
2018,64.20621297390657,52.25065497933217,78.89734178607496,113.13189655172414,102.36113215778519,123.90266094566309,0
1985,8.690829905755612,6.047129824771249,12.490309723693303,3.4473684210526314,0.38169064142583053,6.513046200679432,2
1986,12.025304206367844,9.61119774652936,15.045777339032131,11.160344827586206,7.64048217799456,14.680207477177852,2
1987,16.97353063093808,13.95410890644681,20.646301674361336,5.196551724137931,3.3884274936295347,7.004675954646328,2
1988,27.151964638755185,22.7188899254528,32.450053068757875,0.6474137931034483,-0.2464440520610739,1.5412716382679705,2
