jaar	mean	sd	p02.5	p50	p97.5	intercept	tijdvenster	gem_jaar	og_jaar	bg_jaar
1985	3.0837664604187	0.0449364632368088	2.99543744590366	3.08377257135653	3.172024706936	3.08434915542603	0	21.8405090863305	19.9941043161414	23.85573636674
1986	3.47314786911011	0.0439779944717884	3.38673146403156	3.47313983465483	3.55960021144122	3.08434915542603	0	32.2380640935717	29.5691463313661	35.1491421109061
1987	3.83320212364197	0.0437638834118843	3.74719634700786	3.83319728621335	3.91923011780017	3.08434915542603	0	46.210272582494	42.4020346030603	50.3616573055756
1988	4.15091371536255	0.0436446517705917	4.06511684426935	4.15091906096152	4.23667472105169	3.08434915542603	0	63.4919874065252	58.2717168409661	69.1774346831661
1989	3.00110602378845	0.0451786108314991	2.91229832035547	3.00111406625595	3.08982525438578	3.08434915542603	0	20.1077642945634	18.3990368908326	21.9732379133007
1990	2.6689441204071	0.0469315573573112	2.57679147584817	2.66893087567798	2.7611435948782	3.08434915542603	0	14.4247303706066	13.1548626803537	15.8179219032623
1991	2.9891791343689	0.0459807738661766	2.89888975976629	2.98915984683668	3.07955482494291	3.08434915542603	0	19.8693657161127	18.1539788989256	21.7487182538973
1992	3.1126492023468	0.045035295188427	3.02418079284999	3.11263589940081	3.2011695920112	3.08434915542603	0	22.4805210322211	20.5771408637246	24.5612400345678
1993	3.32862710952759	0.0441042892634869	3.24198241813985	3.32861160412837	3.41534911246039	3.08434915542603	0	27.9000117375399	25.584390467222	30.4275702174347
1994	4.06849336624146	0.0436533354222775	3.9826948551092	4.06849213155073	4.15429519111045	3.08434915542603	0	58.4688051224394	53.6614493821688	63.7070474273257
1995	4.00494766235352	0.0436713136732578	3.91912648323016	4.00494141303758	4.0908027106077	3.08434915542603	0	54.8689526120747	50.3564383673117	59.7878648005999
1996	2.57084083557129	0.0476032570004463	2.47741011506378	2.57081953709429	2.6643786623839	3.08434915542603	0	13.0768152709856	11.9103779305023	14.3590249713516
1997	2.38090753555298	0.0488051436841488	2.285113835724	2.38089399241546	2.4767908301195	3.08434915542603	0	10.8147131483444	9.82680480178835	11.9030042961953
1998	3.97910904884338	0.043939683586359	3.89279375327531	3.9790906688255	4.06552467841886	3.08434915542603	0	53.4693743983901	49.0477225271712	58.2954868838321
1999	4.1457896232605	0.043772716075182	4.05976937387042	4.14578344941422	4.23183933380469	3.08434915542603	0	63.1674807263992	57.9609422296425	68.8437424135617
2000	3.47653841972351	0.0439012013375759	3.39024724048138	3.47654019078475	3.5628073092638	3.08434915542603	0	32.3475543928697	29.6732878014714	35.2620498042686
2001	4.09039306640625	0.0436448343098164	4.00457351976853	4.09040831677152	4.17612003987304	3.08434915542603	0	59.7633780642343	54.8484276401815	65.1127276859009
2002	3.96519136428833	0.0436656214296818	3.87935788538597	3.96519460918157	4.05099976274392	3.08434915542603	0	52.730359131857	48.3931311559612	57.4548695792699
2003	3.35832452774048	0.0440004616975784	3.27184280727088	3.35832471269444	3.44479134813629	3.08434915542603	0	28.7409957746053	26.3598707740169	31.3367442943903
2004	2.76800465583801	0.0461190454661846	2.67746053364992	2.76798138812582	2.85866333879377	3.08434915542603	0	15.9268227903093	14.5481019312853	17.4382023829082
2005	2.41674089431763	0.0479103513062	2.32268538926326	2.41672760702089	2.51086616793214	3.08434915542603	0	11.2092675315192	10.2030366754645	12.3155928135367
2006	2.21529960632324	0.0503415577113628	2.11651526562833	2.21528762617564	2.31419034893575	3.08434915542603	0	9.16415433893165	8.30215621188071	10.1167285818512
2007	2.90440583229065	0.0451639853417873	2.81560844698362	2.9044206729024	2.9930809072919	3.08434915542603	0	18.2543942577267	16.70333578338	19.9470429101019
2008	2.50227952003479	0.0473950356245041	2.4091708209338	2.50228253317348	2.59535545520318	3.08434915542603	0	12.2102958752325	11.1247329240125	13.4013500945093
2009	2.45427513122559	0.0500429831445217	2.35610206404308	2.45425531241886	2.55260148269091	3.08434915542603	0	11.6379944718478	10.5497489564636	12.8404646164755
2010	2.64328122138977	0.0460277907550335	2.55287398890269	2.643270216377	2.73371701231804	3.08434915542603	0	14.0592595497	12.843964199653	15.3899856021578
2011	2.63618612289429	0.0455874539911747	2.5466202494809	2.6361798672414	2.72574963432685	3.08434915542603	0	13.9598607575129	12.7638920306091	15.267854946198
2012	2.75646209716797	0.0461560525000095	2.66577260886356	2.75646139235744	2.84711522151724	3.08434915542603	0	15.7440434040333	14.379054640562	17.2379822843791
2013	2.90466928482056	0.0460029058158398	2.81418249644746	2.90470282514978	2.99494927161929	3.08434915542603	0	18.259204057625	16.6795346264333	19.9843460906263
2014	2.59389400482178	0.0482161976397038	2.49908048155659	2.59392973575204	2.68849829679976	3.08434915542603	0	13.3817789908842	12.1712970814773	14.7095699180495
2015	2.85951089859009	0.045893520116806	2.76932184992591	2.85951374048332	2.94964161844127	3.08434915542603	0	17.4529885673705	15.9478153297169	19.0991077335659
2016	3.53499531745911	0.0445374175906181	3.44748837271596	3.5349858234883	3.62253764130961	3.08434915542603	0	34.294854126796	31.4213743373527	37.4324374982534
2017	2.77506971359253	0.0471927598118782	2.68240789239411	2.7750569986326	2.86778205648373	3.08434915542603	0	16.0397451449374	14.6202549468426	17.597943638278
2018	3.06442666053772	0.0450148060917854	2.97592069181498	3.06444165787401	3.15280837598063	3.08434915542603	0	21.4221762865467	19.6076675607306	23.4016931358886
1985	3.0894136428833	0.0403089262545109	3.01021358066632	3.0894172780456	3.1685742784464	3.08980321884155	2	21.9641953369707	20.29173338439	23.7735656978715
