jaar	gem_jaar_t	var_sim	og_jaar_t	bg_jaar_t	gem_jaar	og_jaar	bg_jaar	tijdvenster	nat_ind_j	nat_ind_j_var	lcl	ucl
1985	3.49067132472992	0.0110569454853763	3.28457338253587	3.69676926692397	32.807965113309	26.6975922259337	40.3168407760207	0	20.6429824561404	14.2663624782177	13.2398980924227	28.046066819858
1985	3.39752054214478	0.0112087064222834	3.1900130324208	3.60502805186875	29.8898973534007	24.2887439821643	36.782715666684	2	20.6429824561404	14.2663624782177	13.2398980924227	28.046066819858
1985	3.25577977895737	0.0107942011714431	3.05214529459822	3.45941426331651	25.9398339863229	21.1606916810925	31.7983456013028	4	20.6429824561404	14.2663624782177	13.2398980924227	28.046066819858
1985	3.23698905706406	0.00935797581403242	3.04738525993123	3.42659285419689	25.45695679367	21.0602054039286	30.7716205405049	6	20.6429824561404	14.2663624782177	13.2398980924227	28.046066819858
1985	3.23427497148514	0.00881488427547316	3.0502552458233	3.41829469714697	25.3879581108733	21.1207347139074	30.5173293339572	8	20.6429824561404	14.2663624782177	13.2398980924227	28.046066819858
1985	3.23032137155533	0.00854529623716518	3.04913745939784	3.41150528371282	25.2877824392191	21.0971394330475	30.310836344551	10	20.6429824561404	14.2663624782177	13.2398980924227	28.046066819858
1985	3.17390247583389	0.0096004823234231	2.98185765582132	3.36594729584647	23.9005740107176	19.7244238232034	28.9609188669834	20	20.6429824561404	14.2663624782177	13.2398980924227	28.046066819858
1985	3.13820852041245	0.00869448065238053	2.95544989031749	3.3209671505074	23.0625138054864	19.2103633324822	27.6871152212366	30	20.6429824561404	14.2663624782177	13.2398980924227	28.046066819858
1986	3.50973243713379	0.00726766280486524	3.34264128407304	3.67682359019454	33.4393194667189	28.2937599557493	39.520660673806	0	31.073275862069	18.374811014978	22.6715692500086	39.4749824741294
1986	3.44945571422577	0.00640464188963062	3.2925988613847	3.60631256706684	31.4832517584336	26.9127152657191	36.8299939823418	2	27.1887931034483	9.85673875346809	21.0352861687546	33.3423000381419
1986	3.39483661651611	0.0053996665815584	3.25081106621439	3.53886216681784	29.8097826508994	25.8112660756604	34.4277238896011	4	27.1887931034483	9.85673875346809	21.0352861687546	33.3423000381419
1986	3.38452258110046	0.00479699688885964	3.24877228368553	3.5202728785154	29.5039036320176	25.7586961248957	33.7936487664864	6	27.1887931034483	9.85673875346809	21.0352861687546	33.3423000381419
1986	3.37929482460022	0.0045118390349483	3.24764118493668	3.51094846426376	29.3500668689476	25.7295769673627	33.4800073201512	8	27.1887931034483	9.85673875346809	21.0352861687546	33.3423000381419
1986	3.376023042202	0.00432953724576788	3.24705657259326	3.50498951181073	29.2541967553748	25.7145395350391	33.2810947921521	10	27.1887931034483	9.85673875346809	21.0352861687546	33.3423000381419
1986	3.36026804447174	0.00409974685324288	3.23477068389624	3.48576540504724	28.7969086970167	25.4005463566184	32.6474060385022	20	27.1887931034483	9.85673875346809	21.0352861687546	33.3423000381419
1986	3.35117005109787	0.00404336006681578	3.22653870659465	3.47580139560109	28.5361028165712	25.1923079185569	32.3237222484921	30	27.1887931034483	9.85673875346809	21.0352861687546	33.3423000381419
1987	3.52234263420105	0.00530435300350445	3.37959389515841	3.66509137324369	33.863665797238	29.3588459225419	39.0597050119926	0	45.7560344827586	32.2424045231241	34.6266849412969	56.8853840242203
1987	3.48473621606827	0.0046291910836993	3.35138142437656	3.61809100775998	32.6138229726402	28.5421352237069	37.2663586852901	2	40.5370689655172	15.426023126708	32.8389776148277	48.2351603162068
1987	3.5056024312973	0.00408358784772259	3.38035263658365	3.63085222601095	33.3014996763213	29.3811301480541	37.7449701595456	4	36.3189655172414	10.1098705071239	30.086945095246	42.5509859392367
1987	3.50675719976425	0.00349338054369748	3.39091173935829	3.62260266017021	33.3399774102107	29.6930122205914	37.4348713918127	6	36.3189655172414	10.1098705071239	30.086945095246	42.5509859392367
1987	3.50054730176926	0.003235311420296	3.38906289769313	3.61203170584538	33.1335810647324	29.6381652597301	37.0412333068687	8	36.3189655172414	10.1098705071239	30.086945095246	42.5509859392367
1987	3.49794911146164	0.00313276560124468	3.38824572804188	3.60765249488139	33.0476054544176	29.6139557435494	36.8793765928668	10	36.3189655172414	10.1098705071239	30.086945095246	42.5509859392367
1987	3.51919007301331	0.00310792472000851	3.40992249500233	3.62845765102428	33.7570766214995	30.262898642614	37.6546951264335	20	36.3189655172414	10.1098705071239	30.086945095246	42.5509859392367
1987	3.53799697160721	0.00308553070556045	3.4291237666462	3.64687017656821	34.3979500697194	30.8495994552951	38.3544353862208	30	36.3189655172414	10.1098705071239	30.086945095246	42.5509859392367
1988	3.52097729444504	0.00452837263653154	3.38908265346027	3.6528719354298	33.8174619372019	29.6387507902054	38.5853216273887	0	67.4310344827586	42.7397407013372	54.6174093954441	80.2446595700732
1988	3.47627551555634	0.0040102746650706	3.35215512579972	3.60039590531296	32.3390512038327	28.5642268594124	36.6127267477398	2	59.8844827586207	27.2868730312702	49.6460624001412	70.1229031171002
1988	3.53899009227753	0.00391683670708352	3.41632420503119	3.66165597952387	34.4321283537212	30.4572543851547	38.9257497729341	4	48.6344827586207	13.3259678327805	41.4795517298539	55.7894137873875
1988	3.55938980579376	0.00329655956112823	3.44685508577354	3.67192452581399	35.1417473108837	31.40148189075	39.3275199036317	6	48.6344827586207	13.3259678327805	41.4795517298539	55.7894137873875
1988	3.55701007843018	0.00306122192961646	3.44856659008341	3.66545356677694	35.058218959974	31.4552716799402	39.0738547468752	8	48.6344827586207	13.3259678327805	41.4795517298539	55.7894137873875
