jaar	tijdvenster	droogte_ind_j	droogte_ind_j_var	nat_ind_j	nat_ind_j_var	verdroging_ind_j	lcl	ucl
1986	6	11.1603448275862	3.22507108287961	27.1887931034483	9.85673875346809	-16.0284482758621	-21.041186084052	-11.0157104676722
1986	8	11.1603448275862	3.22507108287961	27.1887931034483	9.85673875346809	-16.0284482758621	-21.041186084052	-11.0157104676722
1986	10	11.1603448275862	3.22507108287961	27.1887931034483	9.85673875346809	-16.0284482758621	-21.041186084052	-11.0157104676722
1986	20	11.1603448275862	3.22507108287961	27.1887931034483	9.85673875346809	-16.0284482758621	-21.041186084052	-11.0157104676722
1986	30	11.1603448275862	3.22507108287961	27.1887931034483	9.85673875346809	-16.0284482758621	-21.041186084052	-11.0157104676722
1987	0	0.468965517241379	0.244899972881073	45.7560344827586	32.2424045231241	-45.2870689655172	-53.1865382183169	-37.3875997127176
1987	2	5.19655172413793	0.851029058973236	40.5370689655172	15.426023126708	-35.3405172413793	-40.9320252524848	-29.7490092302739
1987	4	5.64396551724138	0.844219405156768	36.3189655172414	10.1098705071239	-30.675	-35.2620051126534	-26.0879948873466
1987	6	5.64396551724138	0.844219405156768	36.3189655172414	10.1098705071239	-30.675	-35.2620051126534	-26.0879948873466
1987	8	5.64396551724138	0.844219405156768	36.3189655172414	10.1098705071239	-30.675	-35.2620051126534	-26.0879948873466
1987	10	5.64396551724138	0.844219405156768	36.3189655172414	10.1098705071239	-30.675	-35.2620051126534	-26.0879948873466
1987	20	5.64396551724138	0.844219405156768	36.3189655172414	10.1098705071239	-30.675	-35.2620051126534	-26.0879948873466
1987	30	5.64396551724138	0.844219405156768	36.3189655172414	10.1098705071239	-30.675	-35.2620051126534	-26.0879948873466
1988	0	0.841379310344828	0.439924692826001	67.4310344827586	42.7397407013372	-66.5896551724138	-75.6967678481804	-57.4825424966472
1988	2	0.647413793103448	0.207981530446211	59.8844827586207	27.2868730312702	-59.2370689655172	-66.5042635165214	-51.9698744145131
1988	4	3.5448275862069	0.408602540834846	48.6344827586207	13.3259678327805	-45.0896551724138	-50.2259342510504	-39.9533760937772
1988	6	3.5448275862069	0.408602540834846	48.6344827586207	13.3259678327805	-45.0896551724138	-50.2259342510504	-39.9533760937772
1988	8	3.5448275862069	0.408602540834846	48.6344827586207	13.3259678327805	-45.0896551724138	-50.2259342510504	-39.9533760937772
