jaar	tijdvenster	nat_ind_j	nat_ind_j_var	lcl	ucl
1985	0	20.6429824561404	14.2663624782177	13.2398980924227	28.046066819858
1985	2	20.6429824561404	14.2663624782177	13.2398980924227	28.046066819858
1985	4	20.6429824561404	14.2663624782177	13.2398980924227	28.046066819858
1985	6	20.6429824561404	14.2663624782177	13.2398980924227	28.046066819858
1985	8	20.6429824561404	14.2663624782177	13.2398980924227	28.046066819858
1985	10	20.6429824561404	14.2663624782177	13.2398980924227	28.046066819858
1985	20	20.6429824561404	14.2663624782177	13.2398980924227	28.046066819858
1985	30	20.6429824561404	14.2663624782177	13.2398980924227	28.046066819858
1986	0	31.073275862069	18.374811014978	22.6715692500086	39.4749824741294
1986	2	27.1887931034483	9.85673875346809	21.0352861687546	33.3423000381419
1986	4	27.1887931034483	9.85673875346809	21.0352861687546	33.3423000381419
1986	6	27.1887931034483	9.85673875346809	21.0352861687546	33.3423000381419
1986	8	27.1887931034483	9.85673875346809	21.0352861687546	33.3423000381419
1986	10	27.1887931034483	9.85673875346809	21.0352861687546	33.3423000381419
1986	20	27.1887931034483	9.85673875346809	21.0352861687546	33.3423000381419
1986	30	27.1887931034483	9.85673875346809	21.0352861687546	33.3423000381419
1987	0	45.7560344827586	32.2424045231241	34.6266849412969	56.8853840242203
1987	2	40.5370689655172	15.426023126708	32.8389776148277	48.2351603162068
1987	4	36.3189655172414	10.1098705071239	30.086945095246	42.5509859392367
1987	6	36.3189655172414	10.1098705071239	30.086945095246	42.5509859392367
1987	8	36.3189655172414	10.1098705071239	30.086945095246	42.5509859392367
1987	10	36.3189655172414	10.1098705071239	30.086945095246	42.5509859392367
1987	20	36.3189655172414	10.1098705071239	30.086945095246	42.5509859392367
1987	30	36.3189655172414	10.1098705071239	30.086945095246	42.5509859392367
1988	0	67.4310344827586	42.7397407013372	54.6174093954441	80.2446595700732
1988	2	59.8844827586207	27.2868730312702	49.6460624001412	70.1229031171002
1988	4	48.6344827586207	13.3259678327805	41.4795517298539	55.7894137873875
1988	6	48.6344827586207	13.3259678327805	41.4795517298539	55.7894137873875
1988	8	48.6344827586207	13.3259678327805	41.4795517298539	55.7894137873875
1988	10	48.6344827586207	13.3259678327805	41.4795517298539	55.7894137873875
1988	20	48.6344827586207	13.3259678327805	41.4795517298539	55.7894137873875
1988	30	48.6344827586207	13.3259678327805	41.4795517298539	55.7894137873875
1989	0	18.1948275862069	13.2060127354653	11.0721722860703	25.3174828863435
1989	2	34.2637931034483	12.7636978221416	27.2614348183033	41.2661513885933
1989	4	39.325	10.0192319215846	33.1209786146436	45.5290213853564
1989	6	38.2879310344828	8.6297313661681	32.5301557682648	44.0457063007007
1989	8	38.2879310344828	8.6297313661681	32.5301557682648	44.0457063007007
1989	10	38.2879310344828	8.6297313661681	32.5301557682648	44.0457063007007
1989	20	38.2879310344828	8.6297313661681	32.5301557682648	44.0457063007007
1989	30	38.2879310344828	8.6297313661681	32.5301557682648	44.0457063007007
1990	0	9.73965517241379	3.72584105179715	5.95637736281747	13.5229329820101
1990	2	12.2491379310345	3.86619960834011	8.39525775445927	16.1030181076097
1990	4	26.9568965517241	5.09626410705718	22.5322148463728	31.3815782570755
1990	6	29.9681034482759	4.64629296003087	25.7432722048704	34.1929346916813
1990	8	29.9681034482759	4.64629296003087	25.7432722048704	34.1929346916813
1990	10	29.9681034482759	4.64629296003087	25.7432722048704	34.1929346916813
1990	20	29.9681034482759	4.64629296003087	25.7432722048704	34.1929346916813
1990	30	29.9681034482759	4.64629296003087	25.7432722048704	34.1929346916813
1991	0	14.1594827586207	6.46351337432463	9.1764883798555	19.1424771373859
1991	2	12.4112068965517	3.85953742672675	8.56064862812967	16.2617651649738
1991	4	18.5137931034483	2.72438971984062	15.278670919088	21.7489152878085
1991	6	24.8293103448276	2.87316357928114	21.5070302232595	28.1515904663957
1991	8	25.8862068965517	2.86870955629263	22.566502898986	29.2059108941174
1991	10	25.8862068965517	2.86870955629263	22.566502898986	29.2059108941174
1991	20	25.8862068965517	2.86870955629263	22.566502898986	29.2059108941174
1991	30	25.8862068965517	2.86870955629263	22.566502898986	29.2059108941174
1992	0	18.4784482758621	13.7040254005257	11.2227343910221	25.734162160702
1992	2	16.7387931034483	7.62732170609341	11.3257422939575	22.151843912939
1992	4	14.9637931034483	4.30908364102885	10.8951599526989	19.0324262541976
1992	6	21.2431034482759	3.26823523583036	17.6997642771033	24.7864426194484
1992	8	24.1327586206897	2.92524526983332	20.7805023314731	27.4850149099062
1992	10	24.1327586206897	2.92524526983332	20.7805023314731	27.4850149099062
1992	20	24.1327586206897	2.92524526983332	20.7805023314731	27.4850149099062
1992	30	24.1327586206897	2.92524526983332	20.7805023314731	27.4850149099062
1993	0	25.6103448275862	8.85935352650354	19.7764702568214	31.444219398351
1993	2	22.9077586206897	6.5702087244717	17.8838046165281	27.9317126248512
1993	4	19.1543103448276	4.06091089607193	15.2045767717432	23.104043917912
1993	6	20.2620689655172	2.9326828963014	16.9055537168655	23.6185842141689
1993	8	23.573275862069	2.5637970800217	20.4349510123105	26.7116007118274
1993	10	24.3284482758621	2.5018510884077	21.2282690647152	27.4286274870089
1993	20	24.3284482758621	2.5018510884077	21.2282690647152	27.4286274870089
1993	30	24.3284482758621	2.5018510884077	21.2282690647152	27.4286274870089
1994	0	60.4344827586207	35.8904628992219	48.6923874484279	72.1765780688135
1994	2	48.4827586206897	16.719080251163	40.4685201233109	56.4969971180684
1994	4	36.5137931034483	6.61953230281411	31.4710165572893	41.5565696496072
