loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength	firstyear	lastyear	nryears	cat	gew_aantal_meetptn	n	rankclus_lastyear	rankclus_nryears	rankclus	beschikbaar_aantal_cluster	unieknr	geselecteerd	reserve	selectie
ALMP003	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	110287	185136	2	1	1	1	4	601	0.7	17.63	4	4	2	18.33	1.55	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	3	1	0	1
ARHP009	ARH	Aronst Hoek	203834	177051	1	2	1	1	2	486	1.95	24.01	3	6	3	24.31	2.4	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	4	1	0	-1
ASBP003	ASB	Asbeek	238036	179497	2	1	1	1	3	1010	0.95	75.391	2	3	1	75.931	1.64	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	6	1	0	1
BOEP003	BOE	Boembeke	107334	170403	2	1	1	1	4	89	2.8	0	4	4	2	0.6	3.4	0	NA	NA	NA	3	1	NA	NA	NA	NA	NA	9	1	0	-1
BRAP009	BRA	Bos van Ranst	165408	210432	2	1	1	1	4	918	0.61	9.24	4	5	4	9.93	1.9	1.2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	12	1	0	-1
BTRP001	BTR	Bos ter Rijst	101924	164018	2	1	1	1	4	25	2.02	68.02	4	4	2	68.17	2.32	0.3	2003	2019	100	2	1	1	1	1	1	1	NA	NA	NA	1
BUCP010	BUC	Buckenslinde	229690	170679	2	1	1	1	3	818	1.33	0	2	4	2	0.57	3.8	3.8	2003	0	0	2	1	1	1	1	1	1	NA	NA	NA	-1
COOP001	COO	Coolhembos	146113	196127	2	1	1	1	1	233	1.25	1.96	5	3	1	2.56	2	0.3	2006	2019	100	2	1	1	1	1	1	1	NA	NA	NA	1
DORP002	DOR	Dorent	154427	193391	2	1	1	1	3	790	1.15	3.8	2	4	2	4.94	2.44	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	16	1	0	1
DORP024	DOR	Dorent	154823	182431	2	1	1	1	4	710	2.56	9.8	4	1	6	10.17	3.08	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	18	1	0	1
DPBP007	DPB	Diepenbeek	221649	179772	2	1	1	1	2	306	2.01	-0.55	3	3	1	0	2.76	0.4	NA	0	0	2	1	1	1	1	1	1	NA	NA	NA	-1
DUNP012	DUN	Dunbergbroek	178707	179625	2	1	1	1	4	134	1.53	18.29	4	3	1	19.08	2.32	0	NA	NA	NA	3	1	NA	NA	NA	NA	NA	21	1	0	1
DYLP029	DYL	Dijlevallei	169238	167404	2	1	1	1	2	262	1.29	27	3	3	1	27.42	1.86	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	24	1	0	1
DYLP037	DYL	Dijlevallei	169802	167510	2	1	1	1	4	582	0.97	27.99	4	3	1	28.42	1.55	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	25	1	0	1
GSCP017	GSC	Groot Schietveld	167657	229201	2	1	1	1	3	478	1.66	18.51	2	4	2	19.01	2.41	0.5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	38	1	0	1
HAGP019	HAG	Hageven	224064	217725	2	1	1	1	2	274	1.811	34.401	3	4	2	34.611	2.271	0.5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	42	1	0	1
HAGP023	HAG	Hageven	222955	217220	2	1	1	1	3	274	1.87	35.77	2	4	2	36.08	2.33	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	43	1	0	1
HALP001	HAL	Hallerbos	143431	155389	2	1	1	1	4	185	1.87	74.762	4	4	2	74.902	2.16	0.3	NA	NA	NA	3	2	NA	NA	NA	NA	NA	44	1	0	-1
HALP005	HAL	Hallerbos	144281	156162	2	1	1	1	4	185	1.81	68.573	4	3	1	68.673	2.06	0.3	NA	NA	NA	3	2	NA	NA	NA	NA	NA	46	1	0	-1
HBTP007	HBT	Helderbeekvallei Terril	212986	193133	2	1	1	1	3	694	1.75	33.026	2	3	1	33.586	2.46	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	47	1	0	1
IJSP023	IJS	Ijsevallei	166813	166073	2	1	1	1	4	262	1.28	35.804	4	3	1	36.094	1.72	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	50	1	0	1
ITTP212	ITT	Itterbeekvallei	242307	202672	2	1	1	1	1	146	1.99	34.995	5	3	1	35.225	2.37	0.3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	51	1	0	1
